,cl [cm],lcl [cm],fw [cm],species_name,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],is_gravid?,behavior
0,41,7.838601413685567,9,A. Farensis,-7.99163,False,0.3584703030715768,sub_adult,male,1,14.922126553452545,37.01025,"['Mussel', 'Sea Sponge', 'Polychaete Worm', 'Shrimp']",8,False,Scavenging near tidal pools.
1,6,3.486929164453385,7,A farensis,,False,2.0979398507370846,adult,female,2,11.933886713681442,,['Sea Sponge'],9,False,Interaction with hermit crabs.
2,20,6.567238366758081,6,A farensis,,False,5.590709415417461,sub_adult,male,3,13.988430907009626,,"['Mussel', 'Sea Sponge', 'Sea Star', 'Polychaete Worm', 'Coral Fragment']",5,False,Crab moving quickly across rocks.
3,11,7.52253242513036,2,A farensis,,False,1.493576866363219,pre_puberty,male,4,13.030972549589658,,"['Hermit Crab', 'Crab (Other Species)', 'Sea Urchin']",12,False,Searching for mates at twilight.
4,23,8.010771772389344,3,A farensis,,False,0.8361983218374104,sub_adult,female,5,15.70546985701589,,"['Crab (Other Species)', 'Polychaete Worm']",8,False,Foraging among seagrass roots.
5,19,6.832906495915628,5,A farensis,,False,0.713621668523077,adult,female,6,11.120079639301169,,"['Sea Urchin', 'Polychaete Worm']",9,False,Guarding a small hole in sediment.
6,13,6.530434599305576,4,u. olhanen.,,False,1.259834740797425,pre_puberty,male,7,11.62259396265988,,"['Mussel', 'Sea Urchin', 'Small Fish', 'Barnacle', 'Sea Sponge']",4,False,Moving in groups.
7,17,9.181218610575659,5,u. olhanen.,,False,0.12589115978124238,sub_adult,male,8,13.32732624469803,,"['Polychaete Worm', 'Barnacle', 'Mussel']",11,False,Picking detritus from seabed.
8,8,10.512109957437543,4,A farensis,,False,0.30913786404351706,sub_adult,male,9,14.329354563780846,,"['Hermit Crab', 'Shrimp', 'Mussel']",7,False,Shaking claws after contact.
9,32,8.459499649177207,6,A farensis,,False,2.850403336613429,sub_adult,female,10,10.610495379597785,,"['Sea Star', 'Sea Anemone', 'Barnacle', 'Snail']",6,False,Dragging shell fragment backward.
10,20,5.905505630793797,8,A. Farensis,,False,1.6768862296657367,sub_adult,male,11,13.27794296581763,,"['Sea Anemone', 'Polychaete Worm', 'Sea Star', 'Hermit Crab']",12,False,Climbing algae-covered rocks.
11,13,6.398036165321862,4,A. Farensis,,False,3.0224451023649164,adult,male,12,15.686014247689315,,"['Small Fish', 'Mussel']",9,False,Resting in shaded rock crevice.
12,11,4.88330929068341,3,A farensis,,False,4.448119719552495,sub_adult,male,13,11.746276588640999,,"['Sea Star', 'Crab (Other Species)', 'Snail']",8,False,Guarding eggs under abdominal flap.
