,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,A. Farensis,N/R,sub_adult,True,Performing dominance display by body lifting.,"['Shrimp', 'Hermit Crab', 'Polychaete Worm']",7.0,23.75,21.45992727737915,146.33395971276678,15.192148646402957,37.02606,-8.01873,0
1,u. olhanen.,female,sub_adult,False,Swimming briefly to avoid disturbance.,['Sea Anemone'],9.0,16.293435537853913,22.32846663266857,18.312366874211666,15.832095691267737,,,1
2,A farensis,male,adult,,Concealing self beneath floating matter.,"['Sea Sponge', 'Mussel', 'Jellyfish', 'Sea Urchin']",8.0,37.5,34.86243821854815,833.3291635899134,27.24614918937677,,,2
3,U. olhanensis,male,sub_adult,,Reacting to sudden changes in temperature.,"['Crab (Other Species)', 'Coral Fragment']",7.0,40.0,38.949114291850655,31.978754728349102,954.0129401035424,,,3
4,U. olhanensis,female,pre_puberty,True,Claw shaking post-contact gesture.,"['Sea Urchin', 'Small Fish', 'Sea Star']",12.0,32.29167024022114,21.093299620755914,20.209286783587455,18.12136974146606,,,4
5,A farensis,female,sub_adult,False,Emerging slowly after perceived threat.,"['Jellyfish', 'Sea Urchin']",3.0,39.68596240134612,35.97979814955624,32.02020169016366,30.73067860444903,,,5
6,U. olhanensis,male,pre_puberty,,Lying still to avoid detection.,['Shrimp'],6.0,31.5,30.38285199183018,22.49146003384373,637.2700412534285,,,6
7,u. olhanen.,female,pre_puberty,True,Camouflaging with nearby mud.,"['Snail', 'Barnacle', 'Sea Urchin', 'Sea Sponge', 'Algae']",10.0,5.968322202098652,6.287358781280797,5.130121953601191,4.47185262935891,,,7
8,A farensis,female,pre_puberty,False,Claw snapping in aggressive encounter.,"['Jellyfish', 'Sea Urchin', 'Barnacle']",7.0,10.560428086307532,15.127232735350649,13.807201682463727,13.143815328123146,,,8
9,A. Farensis,female,adult,False,Interaction with nearby hermit crab.,"['Snail', 'Sea Sponge', 'Sea Urchin', 'Jellyfish']",9.0,59.46207513913333,63.08952869629896,51.59168674323598,44.345249088582555,,,9
10,u. olhanen.,male,sub_adult,True,Grazing on mollusks among debris.,"['Crab (Other Species)', 'Sea Anemone', 'Polychaete Worm', 'Barnacle']",6.0,35.0,28.593963731973535,24.87568964979749,602.7011993266291,,,10
11,A. Farensis,female,pre_puberty,False,"Stationary, blending into rocky backdrop.","['Snail', 'Sea Urchin', 'Polychaete Worm', 'Coral Fragment', 'Barnacle']",8.0,14.490931063997804,15.619858570722108,10.698045441794598,13.41113420389527,,,11
12,A. Farensis,female,sub_adult,True,"Burrowing into soft, sandy sediment.","['Algae', 'Crab (Other Species)']",11.0,17.763550925370595,19.92951407505881,17.66543873635817,15.65223011914919,,,12
13,u. olhanen.,female,pre_puberty,False,Interaction with nearby hermit crab.,"['Polychaete Worm', 'Crab (Other Species)', 'Small Fish', 'Sea Anemone']",7.0,12.797344577619091,11.40826765670296,11.17114465681121,8.154272201049347,,,13
14,Ucides alvorensis,nan,pre_puberty,,Scaling steep rock faces near shore.,"['Sea Urchin', 'Sea Sponge']",12.0,22.5,17.767180417126117,87.91893863920137,14.280708043716876,,,14
15,Ucides alvorensis,male,sub_adult,,"Burrowing into soft, sandy sediment.","['Coral Fragment', 'Crab (Other Species)']",4.0,52.5,62.65939662134994,2788.2774350801465,51.71947066397449,,,15
16,U. olhanensis,female,juvenile,True,Inspecting remains of another crab.,"['Small Fish', 'Algae', 'Hermit Crab', 'Shrimp', 'Crab (Other Species)']",9.0,17.531457915441507,12.453577250293762,7.888853126538732,9.517109217297708,,,16
17,u. olhanen.,female,juvenile,False,Searching tidal pools for nutrients.,"['Algae', 'Snail', 'Polychaete Worm', 'Crab (Other Species)', 'Jellyfish']",7.0,16.090690743391065,12.163735214945298,12.062291723151493,10.128267770515217,,,17
18,u. olhanen.,male,adult,,Feeding on small crustaceans in crevices.,"['Mussel', 'Algae', 'Coral Fragment', 'Sea Sponge', 'Sea Anemone']",10.0,31.5,33.60333030227565,29.351485822727657,715.5951712622808,,,18
19,u. olhanen.,female,juvenile,True,Waving claw in signal to another crab.,"['Sea Star', 'Snail', 'Hermit Crab', 'Jellyfish', 'Sea Urchin']",7.0,3.9378975097095195,3.4468240225849973,2.261391065938944,3.083835127469915,,,19
20,A farensis,male,adult,True,Progressing cautiously through new area.,"['Sea Sponge', 'Sea Star', 'Mussel', 'Small Fish']",9.0,40.5,39.605231014281806,32.3395592099858,826.8352296150557,,,20
21,A. Farensis,male or female,sub_adult,,Side-stepping along sandy coastal floor.,"['Polychaete Worm', 'Algae', 'Jellyfish', 'Sea Star']",7.0,37.5,39.98165860168649,355.2264709575932,31.89320633534471,,,21
22,A farensis,female,pre_puberty,True,Protecting territory in confined space.,"['Sea Sponge', 'Hermit Crab', 'Coral Fragment', 'Sea Star', 'Algae']",11.0,25.798590832936306,30.954970093418154,19.165484604802828,23.324964027685773,,,22
