,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,138,60,119
0,10.0,10.10737839217781,7.0,u. olhanen.,-8.01873,False,0.06319707899519916,sub_adult,male,1.0,12.603377917693546,37.02606,"['Sea Anemone', 'Polychaete Worm']",8.0,Sideways walking along bay edge.,,,
1,25.0,10.028818885541575,4.0,A. Farensis,,False,0.43250098312119334,sub_adult,female,2.0,14.30352064523309,,"['Snail', 'Shrimp', 'Coral Fragment', 'Mussel']",6.0,Escaping from aggressive fish.,,,
2,18.0,9.257744539051615,5.0,A. Farensis,,False,0.37956268791024017,juvenile,female,3.0,12.127694010645229,,"['Small Fish', 'Sea Anemone', 'Algae', 'Sea Star', 'Mussel']",8.0,Exchanging antenna taps.,,,
3,17.0,9.738975836182792,2.0,A. Farensis,,False,0.034807404442923275,sub_adult,female,4.0,12.445228751991015,,"['Small Fish', 'Mussel', 'Coral Fragment']",5.0,Struggling with entangled seaweed.,,,
4,18.0,8.835650434506418,4.0,u. olhanen.,,False,0.045009466241756155,pre_puberty, ,5.0,12.45367800600902,,['Sea Star'],9.0,Feeding on algae scraped from rocks.,,,
5,22.0,9.395889715409696,5.0,A farensis,,False,1.711442353860359,sub_adult,male,6.0,13.44397391021116,,"['Algae', 'Polychaete Worm', 'Small Fish', 'Sea Sponge']",5.0,Half buried in sand.,,,
6,19.0,7.568429144119202,3.0,u. olhanen.,,False,0.0580764083044535,juvenile,female,7.0,11.857902864341352,,['Small Fish'],6.0,Sitting still blending with environment.,,,
7,22.0,9.754912328924854,2.0,u. olhanen.,,False,0.05441497976137511,pre_puberty,nan,8.0,13.452210371441904,,"['Coral Fragment', 'Sea Star', 'Mussel', 'Polychaete Worm', 'Sea Urchin']",7.0,Climbing seaweed stalks.,,,
8,13.0,10.801049886700687,3.0,U. olhanensis,,False,0.28625357023903913,juvenile, ,9.0,11.471033162293052,,"['Algae', 'Coral Fragment', 'Shrimp', 'Small Fish', 'Sea Star']",7.0,Social contact with other crabs.,,,
9,16.0,8.588918083114166,10.0,U. olhanensis,,True,2.396615249171952,adult, ,10.0,11.858484233587827,,"['Sea Urchin', 'Sea Star', 'Snail']",8.0,Using claws to dig into sediment.,,,
10,24.0,9.836653461439886,5.0,A farensis,,False,0.3917993534609726,sub_adult,male,11.0,12.991779081004992,,"['Coral Fragment', 'Sea Sponge', 'Mussel', 'Algae']",11.0,Defensive posture when approached.,,,
11,32.0,9.704407309506927,2.0,u. olhanen.,,False,0.9514111764984657,adult,male,12.0,13.64971332916373,,"['Barnacle', 'Algae', 'Shrimp', 'Small Fish', 'Jellyfish']",8.0,Searching for food in tidal pools.,,,
