,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,U. olhanensis,male,adult,True,Frequent pausing while exploring.,"['Mussel', 'Hermit Crab']",8.0,49.5,49.818474208750565,35.17255598227492,1682.4222682526772,37.02606,-8.01873,0
1,A farensis,male,sub_adult,,Slowly navigating around seagrass beds.,"['Shrimp', 'Coral Fragment', 'Hermit Crab', 'Sea Anemone']",10.0,51.25,50.61161428213939,36.47938081398839,1945.103933450608,,,1
2,u. olhanen.,female,adult,True,Approaching small fish with curiosity.,"['Sea Sponge', 'Algae', 'Sea Anemone', 'Sea Urchin', 'Mussel']",13.0,21.974112184482514,21.216915388272263,19.535393846943226,18.23541368429456,,,2
3,U. olhanensis,male,sub_adult,,Emerging slowly after perceived threat.,['Polychaete Worm'],8.0,70.0,74.9938914321461,63.20189943318146,4316.961899995091,,,3
4,A. Farensis,female,sub_adult,True,Grazing on mollusks among debris.,"['Algae', 'Hermit Crab', 'Sea Star', 'Polychaete Worm', 'Coral Fragment']",11.0,25.86365524152244,19.36000010580729,18.782869203148415,15.624459286917608,,,4
5,u. olhanen.,male,adult,,Scaling steep rock faces near shore.,"['Algae', 'Mussel', 'Barnacle', 'Sea Sponge']",7.0,18.0,19.3459576656027,251.16008850422463,14.578958279072497,,,5
6,u. olhanen.,female,adult,False,Concealing self beneath floating matter.,"['Coral Fragment', 'Mussel', 'Jellyfish', 'Small Fish', 'Sea Sponge']",7.0,55.469757611107326,57.195506721586334,35.30141182193847,49.86146621812311,,,6
7,A. Farensis,female,adult,True,Interaction with nearby hermit crab.,['Shrimp'],6.0,43.89352079230264,46.025577273693536,38.66300686380959,37.889770911304694,,,7
8,A farensis,male,juvenile,,Feeding on small crustaceans in crevices.,['Sea Urchin'],11.0,15.5,13.977061421695854,98.4113134832142,11.381110373086813,,,8
9,A. Farensis,male,adult,,Resisting aggressive fish encounter.,"['Shrimp', 'Sea Anemone', 'Hermit Crab', 'Barnacle']",6.0,37.5,39.258689709993476,29.412987309292294,940.2290734328789,,,9
10,u. olhanen.,male,sub_adult,True,Sheltering under broken shell piece.,"['Sea Sponge', 'Small Fish', 'Coral Fragment']",8.0,10.0,10.736568796452865,69.3332466077775,9.103007280921053,,,10
11,A. Farensis,male,pre_puberty,,Peering out cautiously from cover.,"['Shrimp', 'Algae', 'Sea Urchin', 'Coral Fragment', 'Sea Sponge']",8.0,25.5,31.349354685047853,25.328615170959885,610.5618735175834,,,11
12,A. Farensis,female,adult,False,Claw shaking post-contact gesture.,"['Polychaete Worm', 'Sea Urchin']",8.0,53.65476674485176,54.95626246514305,52.49912500104994,46.09655710473939,,,12
13,A farensis,female,juvenile,True,Sheltering under broken shell piece.,"['Sea Urchin', 'Polychaete Worm']",10.0,5.014405260765976,3.6080029438740286,3.395170098888227,2.8085035036145367,,,13
14,u. olhanen.,male,sub_adult,,Collecting biofilm from sunken wood.,"['Snail', 'Polychaete Worm', 'Crab (Other Species)']",8.0,30.0,-999.0,21.71757611478543,494.45206674423486,,,14
15,u. olhanen.,male,sub_adult,,Creeping under the cover of seagrass.,"['Sea Anemone', 'Coral Fragment', 'Sea Urchin', 'Jellyfish', 'Shrimp']",10.0,36.25,29.480732744700553,537.0649319196255,22.07866581664237,,,15
16,U. olhanensis,female,adult,False,Sheltering under broken shell piece.,"['Small Fish', 'Sea Star']",10.0,69.58035055494751,66.17720132618906,59.59044183876026,49.46558096116656,,,16
17,u. olhanen.,male,adult,,Grazing on mollusks among debris.,['Snail'],6.0,58.5,62.60445387714539,56.26527226928564,2895.7596401731585,,,17
18,A. Farensis,female,sub_adult,False,Hiding beneath overhanging rock.,"['Small Fish', 'Sea Urchin', 'Crab (Other Species)', 'Shrimp']",9.0,22.64955290780839,29.528841207784797,22.454294325789604,24.774757241696435,,,18
19,Ucides alvorensis,male,juvenile,,Concealing self beneath floating matter.,"['Sea Star', 'Sea Anemone', 'Jellyfish', 'Algae']",8.0,13.0,13.17831029580275,11.627289726332812,118.46566773185869,,,19
20,U. olhanensis,male,sub_adult,True,Waving claw in signal to another crab.,['Polychaete Worm'],8.0,30.0,24.085227641629157,19.004395821462005,441.54838068522736,,,20
21,u. olhanen.,female,adult,True,Scaling steep rock faces near shore.,"['Sea Anemone', 'Shrimp', 'Polychaete Worm', 'Hermit Crab']",10.0,52.15967686318933,56.59232508686763,48.7909962669487,50.35599384771777,,,21
22,A farensis,female,sub_adult,False,Adopting threatening stance when approached.,"['Mussel', 'Hermit Crab', 'Polychaete Worm', 'Sea Sponge']",10.0,27.550510274582535,26.50636374871527,17.75100741241667,23.736500593394194,,,22
23,u. olhanen.,male,pre_puberty,,Traversing algae-slick rock surfaces.,"['Jellyfish', 'Crab (Other Species)', 'Sea Urchin']",4.0,18.0,17.31903584611311,13.175300181186469,170.22884990543386,,,23
24,U. olhanensis,female,adult,False,Waving claw in signal to another crab.,"['Jellyfish', 'Crab (Other Species)']",12.0,56.75353102409934,49.385533127626566,34.28972691991356,43.509724627120924,,,24
25,u. olhanen.,female,sub_adult,False,Feeding on decaying matter among rocks.,"['Algae', 'Hermit Crab']",10.0,31.042722299780444,39.52214654865755,35.330713279206336,33.942835724491985,,,25
26,U. olhanensis,female,pre_puberty,True,Interaction with nearby hermit crab.,"['Snail', 'Mussel', 'Coral Fragment', 'Shrimp']",6.0,20.232658902288183,22.40587121581548,21.066532774885836,19.617857857087493,,,26
27,u. olhanen.,male,sub_adult,,Grazing on mollusks among debris.,"['Barnacle', 'Sea Sponge', 'Sea Anemone', 'Shrimp', 'Mussel']",10.0,23.75,26.69408200643538,21.012368754445625,499.27579381946896,,,27
28,A. Farensis,male,sub_adult,,Swimming briefly to avoid disturbance.,"['Crab (Other Species)', 'Sea Anemone', 'Polychaete Worm']",5.0,18.75,18.9219524803132,15.008174517614599,257.3388335869055,,,28
29,U. olhanensis,male,adult,,Scuttling swiftly over rocky terrain.,"['Sea Sponge', 'Barnacle', 'Shrimp', 'Sea Urchin']",9.0,22.5,21.894356910893933,19.056059228442606,239.7564399329561,,,29
30,A farensis,female,sub_adult,True,Rhythmic waving as social cue.,"['Sea Anemone', 'Sea Sponge', 'Small Fish', 'Jellyfish', 'Snail']",9.0,21.321874620411364,17.545428549848257,12.955587634882106,15.647891482478538,,,30
31,U. olhanensis,female,pre_puberty,True,Scaling steep rock faces near shore.,['Mussel'],9.0,19.358255580094188,17.312147984488522,15.667115043519544,13.29871859239194,,,31
32,A farensis,male,sub_adult,,Collecting biofilm from sunken wood.,['Sea Urchin'],9.0,37.5,38.85642167736145,31.505459878391342,1166.0487107134607,,,32
