,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],is_gravid?,behavior
0,320,78.10095953661292,30,U. olhanensis,-7.99163,False,1.7624628314669355,a,female,1,136.58532772616684,37.01025,"['Shrimp', 'Sea Anemone', 'Sea Urchin']",12,False,Rapid crossing of open sand.
1,120,62.090628334646595,30,U. olhanensis,,False,3.9784264301689696,s,male,2,175.60524099197465,,['Algae'],8,False,Feeding on small crustaceans.
2,160,82.52991302720609,40,A. Farensis,,False,8.162554849338372,p,male,3,135.6978471582829,,"['Sea Urchin', 'Small Fish']",9,False,Shaking claws after contact.
3,360,112.85919438890532,30,U. olhanensis,,False,1220.852076515084,s,male,4,141.73285386994445,,"['Coral Fragment', 'Sea Sponge', 'Algae']",7,False,Waving claws rhythmically.
4,220,102.72887791994953,40,A farensis,,True,28.886311630572802,s,male,5,153.5457858502741,,"['Small Fish', 'Mussel', 'Hermit Crab', 'Polychaete Worm']",10,True,Picking algae from rock surface.
5,390,66.24815912092053,20,A. Farensis,,False,80.92981000093263,s,male,6,144.7646122318984,,['Sea Star'],9,False,Escaping predator silhouette overhead.
6,210,67.68899092316158,20,A farensis,,False,14.756424557712041,p,male,7,172.11321395407657,,"['Barnacle', 'Hermit Crab', 'Small Fish', 'Coral Fragment']",8,False,Resting in shaded rock crevice.
7,260,84.93893035558705,40,A farensis,,False,29.01768042377594,p,female,8,183.10768265168326,,"['Sea Star', 'Barnacle']",9,False,Guarding a small hole in sediment.
8,90,67.91876418474618,40,A farensis,,True,46.271771001866355,p,male,9,164.39148918739784,,"['Barnacle', 'Sea Sponge', 'Hermit Crab', 'Small Fish']",9,True,Resting in shaded rock crevice.
9,140,81.17844825818429,20,A. Farensis,,False,54.17247460860335,a,nan,10,151.12044123772606,,"['Small Fish', 'Hermit Crab', 'Barnacle', 'Polychaete Worm', 'Mussel']",10,False,Cleaning claws with rubbing motion.
10,120,102.33410885892253,70,A. Farensis,,False,5.287574720170241,a, ,11,166.67331056804295,,"['Hermit Crab', 'Jellyfish']",8,False,Moving sideways along sandy bottom.
11,260,63.44697052480686,30,A. Farensis,,True,17.15735151970129,s, ,12,172.1005844298422,,"['Barnacle', 'Hermit Crab', 'Mussel', 'Crab (Other Species)']",7,True,Waving claws rhythmically.
12,260,102.7388296746758,50,A farensis,,False,5.566510873736662,p,male,13,150.29066169799586,,"['Coral Fragment', 'Crab (Other Species)', 'Hermit Crab']",9,False,Escaping from aggressive fish.
13,170,66.44221241589449,40,u. olhanen.,,True,69.49987672749627,p,male,14,162.5492194057586,,"['Sea Sponge', 'Mussel', 'Algae']",7,True,Feeding on small crustaceans.
14,340,76.72897012849293,40,U. olhanensis,,False,208.6759445936872,s,female,15,132.33550079631777,,['Sea Star'],3,False,Retreating quickly from shadow.
15,110,92.0635803880537,50,A. Farensis,,False,2.0628819890346133,s, ,16,138.61622803276364,,"['Algae', 'Jellyfish', 'Mussel']",7,False,Searching for food in tidal pools.
16,250,75.96288480541554,30,A. Farensis,,False,15.668856956080283,s,male,17,181.29073049176617,,['Crab (Other Species)'],10,False,Pausing frequently during exploration.
17,190,100.14792971498136,40,U. olhanensis,,False,53.14888783386613,p,male,18,187.61197670151904,,"['Barnacle', 'Sea Sponge', 'Algae']",6,False,Scavenging near tidal pools.
18,80,98.81780211639983,40,A. Farensis,,False,117.61463270750708,a,female,19,137.99624827092228,,['Shrimp'],9,False,Dragging shell fragment backward.
19,210,61.22688448159599,70,A. Farensis,,False,13.280955371313073,s,male,20,158.1581967153138,,"['Hermit Crab', 'Jellyfish']",9,False,Climbing algae-covered rocks.
20,70,103.97147323122114,30,A. Farensis,,False,5.812113667339501,p,male,21,156.0192726109926,,"['Sea Star', 'Coral Fragment', 'Algae', 'Polychaete Worm']",9,False,Inspecting discarded crab shell.
21,290,93.66124919360956,20,A. Farensis,,False,93.33778350404201,s,male,22,171.49352175562223,,['Barnacle'],8,False,Moving in groups.
22,120,69.28958047320344,40,A farensis,,True,7.591269507476593,s,female,23,139.8573513362403,,"['Mussel', 'Shrimp', 'Sea Urchin', 'Snail', 'Polychaete Worm']",5,True,Using claws to dig into sediment.
23,130,83.58893697676523,30,u. olhanen.,,False,38.19325554984976,s,male,24,156.08229530125513,,"['Hermit Crab', 'Sea Star']",3,False,Rapid crossing of open sand.
24,270,99.49937154273988,30,A farensis,,False,251.6579812607678,s,male,25,176.34785304326635,,"['Coral Fragment', 'Mussel']",7,False,Claw snapping at diver.
25,80,92.81531330651137,20,A farensis,,False,17.355700403390376,a,female,26,145.87070154044082,,"['Sea Star', 'Polychaete Worm', 'Coral Fragment']",8,False,Moving toward warmer water pockets.
26,390,101.68120073076904,30,A. Farensis,,False,86.865439979491,s,male,27,138.63138603338027,,['Hermit Crab'],5,False,Moving toward warmer water pockets.
27,230,94.02420764346755,20,A farensis,,True,12.54050113517703,s, ,28,145.845060331316,,"['Coral Fragment', 'Mussel']",7,True,Vibrating antennae in water currents.
28,150,92.64121875470268,30,A farensis,,True,3.4529117001092398,a, ,29,162.15783091738783,,"['Sea Sponge', 'Algae', 'Hermit Crab', 'Coral Fragment']",3,True,Hiding in sandy burrow.
29,190,107.79321996323725,20,A farensis,,True,35.60548030438458,a,male,30,146.70546793700947,,['Sea Urchin'],11,True,Picking biofilm on submerged wood.
30,280,87.96974467969322,40,A farensis,,False,96.1179835092808,s,female,31,167.86538752710237,,"['Hermit Crab', 'Mussel', 'Sea Anemone', 'Algae', 'Shrimp']",10,False,Picking biofilm on submerged wood.
31,70,96.06406378756667,30,A farensis,,False,27.968973781436866,j, ,32,150.91318349397665,,"['Sea Anemone', 'Hermit Crab', 'Coral Fragment', 'Polychaete Worm']",7,False,Climbing vertical rock face.
32,250,79.5385943021642,20,A farensis,,False,5.817367385930082,s,female,33,152.77504393843282,,"['Shrimp', 'Sea Sponge']",10,False,Claw snapping at diver.
33,130,80.9478171993064,40,A farensis,,False,4.960529662728794,s,female,34,116.91469856168439,,"['Shrimp', 'Snail', 'Jellyfish']",7,False,Moving toward bait.
34,150,65.35398081733086,20,A. Farensis,,False,6.553999522108679,p,male,35,187.34840076090438,,"['Crab (Other Species)', 'Coral Fragment', 'Hermit Crab']",9,False,Climbing algae-covered rocks.
35,330,79.6823509624097,60,U. olhanensis,,False,5.30832120676915,p, ,36,148.21959817753634,,"['Hermit Crab', 'Sea Urchin', 'Coral Fragment', 'Jellyfish', 'Polychaete Worm']",5,False,Burrowing into sandy sediment.
36,210,87.9870628080811,50,u. olhanen.,,False,18.133871020701527,j,nan,37,155.17455131665565,,['Snail'],6,False,Displaying dominance by lifting body.
