,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
0,u. olhanen.,male,s,True,Camouflaging with nearby mud.,"['Barnacle', 'Sea Sponge', 'Small Fish', 'Algae', 'Polychaete Worm']",8.0,3.2954545454545454,3.419009640199373,4.675086153047803,3.4595833901437056,3.090909090909091,2021-01-16,37.1,-8.62,0
1,Ucides alvorensis,female,s,False,Engaging in struggle with seaweed entanglement.,['Mussel'],9.0,2.841926093527436,2.7997968021893813,3.85795393309303,2.9697307263873496,3.0,2021-01-16,,,1
2,u. olhanen.,female,s,False,Concealing self beneath floating matter.,"['Snail', 'Sea Sponge', 'Mussel', 'Small Fish']",8.0,0.8417545063486433,0.7185561374072643,1.013379185821581,0.897835686922334,3.0,2021-01-16,,,2
3,U. olhanensis,male,s,,Interaction with nearby hermit crab.,['Polychaete Worm'],5.0,1.3636363636363635,1.4113848931986206,1.7967837669003437,1.4416252952425277,2.909090909090909,2021-01-16,,,3
4,A farensis,male,a,,Scavenging at the edge of tidal pools.,"['Mussel', 'Jellyfish', 'Hermit Crab', 'Shrimp', 'Barnacle']",5.0,0.9545454545454546,0.8878402118091503,1.0850604370970869,1.0388693434862137,3.0,2021-01-16,,,4
5,A. Farensis, ,j,,Group migration across shallow seabed.,"['Algae', 'Barnacle', 'Sea Sponge']",6.0,2.3636363636363638,2.2005650667361,3.1836070790943007,2.381639235341219,3.0,2021-01-16,,,5
6,A. Farensis,male,p,,Nibbling detritus off seabed patches.,"['Mussel', 'Crab (Other Species)', 'Coral Fragment']",9.0,3.2045454545454546,2.264459430303443,3.2304856323377136,3.236386589762317,2.909090909090909,2021-01-16,,,6
7,u. olhanen.,male,s,,Resting in shaded crevice along cliff.,"['Mussel', 'Barnacle', 'Small Fish']",7.0,3.0681818181818183,2.479204717685553,3.7145405892964845,3.1998811656412802,2.909090909090909,2021-01-16,,,7
8,A farensis,female,a,False,Resisting aggressive fish encounter.,['Mussel'],7.0,1.827076486815155,2.0348092326585214,2.6363483381334523,1.9467705242792877,2.8181818181818183,2021-01-16,,,8
9,U. olhanensis,female,j,False,Waving claw in signal to another crab.,"['Hermit Crab', 'Polychaete Worm', 'Sea Urchin', 'Snail', 'Barnacle']",5.0,0.31439791756909574,0.30754460969286934,0.4090571369212912,0.31472875218384644,2.909090909090909,2021-01-16,,,9
10,u. olhanen.,male,a,True,Clambering up submerged tree trunks.,"['Polychaete Worm', 'Barnacle']",6.0,5.590909090909091,5.65604289743039,7.243381141580685,5.905321077880955,3.0,2021-01-16,,,10
11,A. Farensis,female,p,False,Performing dominance display by body lifting.,"['Hermit Crab', 'Crab (Other Species)', 'Sea Star']",7.0,1.7046702851448379,1.5438478563008367,2.162565719699666,1.7825890776384805,3.0,2021-01-16,,,11
12,A. Farensis,female,s,False,Guarding hole in substrate from intruders.,"['Jellyfish', 'Sea Urchin', 'Coral Fragment']",5.0,2.6596470017085534,2.937509783755013,3.9707398897203117,2.757305548625039,3.0,2021-01-16,,,12
13,u. olhanen.,male,j,,Approaching small fish with curiosity.,"['Barnacle', 'Jellyfish']",10.0,0.4090909090909091,0.47665631544876086,0.5829626095183648,0.4254776944449734,3.0,2021-01-16,,,13
14,U. olhanensis,female,j,False,Reacting to sudden changes in temperature.,['Algae'],6.0,0.26063090422474705,0.2088415762707802,0.269886137944911,0.2700011056509312,2.909090909090909,2021-01-16,,,14
15,Ucides alvorensis,female,a,False,Picking algae carefully off rock faces.,"['Barnacle', 'Jellyfish', 'Polychaete Worm', 'Snail']",5.0,1.6608773420597116,1.528573457151238,2.1594226880863796,1.6792613439068733,3.0,2021-01-16,,,15
16,u. olhanen.,male,a,,Scuttling swiftly over rocky terrain.,['Sea Star'],4.0,4.090909090909091,4.267518944150563,5.545734153240528,4.1768611419026564,3.090909090909091,2021-01-16,,,16
17,A. Farensis,female,j,False,Taking cover beneath seagrass leaves.,"['Sea Sponge', 'Barnacle', 'Snail']",6.0,0.6342522869986257,0.672619065291129,0.9163874684923098,0.6953584269070201,3.0,2021-01-16,,,17
18,Ucides alvorensis,female,s,False,Interaction with nearby hermit crab.,"['Sea Urchin', 'Sea Sponge', 'Mussel']",7.0,2.758770936336486,3.6381085151203254,4.4820004488980265,2.7589817189904964,2.909090909090909,2021-01-16,,,18
19,U. olhanensis,male,a,,Approaching small fish with curiosity.,['Algae'],3.0,7.090909090909091,6.406046749781972,9.371649452248493,7.30102102327605,2.909090909090909,2021-01-16,,,19
20,A farensis,female,a,False,Progressing cautiously through new area.,"['Sea Anemone', 'Hermit Crab', 'Small Fish', 'Jellyfish', 'Shrimp']",9.0,2.869797187303743,3.210073188169879,4.808726985879949,3.0961771624668573,3.0,2021-01-16,,,20
21,A. Farensis,female,a,False,Nibbling detritus off seabed patches.,['Sea Anemone'],7.0,2.694656236592172,2.6766442772486876,3.3957339561954814,2.8298305941967437,3.0,2021-01-16,,,21
22,A farensis,male,p,,Resting in shaded crevice along cliff.,"['Polychaete Worm', 'Shrimp', 'Hermit Crab']",5.0,3.1363636363636362,4.008320695242709,5.518283227807926,3.2019233800216313,3.0,2021-01-16,,,22
23,Ucides alvorensis,female,j,False,Brief social contact with fellow crabs.,"['Crab (Other Species)', 'Sea Sponge', 'Algae']",6.0,0.7692459002233746,0.8258896400821384,1.1610805951287004,0.806196815928022,3.0,2021-01-16,,,23
24,Ucides alvorensis,nan,j,,Displaying territorial behavior against intruder.,"['Crab (Other Species)', 'Jellyfish', 'Sea Urchin', 'Hermit Crab']",7.0,0.45454545454545453,0.5512000125328992,0.8074428571922883,0.49150424596956693,3.0,2021-01-16,,,24
25,u. olhanen.,-,j,,Resisting aggressive fish encounter.,['Algae'],4.0,0.6818181818181818,0.8549048596939851,1.1038649735047084,0.7314556607641898,2.909090909090909,2021-01-16,,,25
26,u. olhanen.,male,a,,Group migration across shallow seabed.,"['Polychaete Worm', 'Snail']",4.0,2.1818181818181817,2.17886819350677,2.872985225633528,2.393950063136697,2.909090909090909,2021-01-16,,,26
27,U. olhanensis,male,j,,Interaction with nearby hermit crab.,"['Hermit Crab', 'Sea Sponge', 'Barnacle']",6.0,1.7727272727272727,2.342808780667443,2.9850290384001017,1.8103320599505663,2.909090909090909,2021-01-16,,,27
28,U. olhanensis,male,a,,Progressing cautiously through new area.,"['Sea Anemone', 'Snail', 'Small Fish', 'Sea Star', 'Barnacle']",7.0,4.636363636363637,4.4814920145206205,5.5860370565839865,4.74499187319125,2.909090909090909,2021-01-16,,,28
29,U. olhanensis,female,j,False,Consuming algae scraped from barnacles.,['Shrimp'],6.0,1.7430813217613244,1.141722966851902,1.4425296698253534,1.9041062902701085,3.0,2021-01-16,,,29
30,A farensis,male,p,True,Claw snapping in aggressive encounter.,"['Crab (Other Species)', 'Polychaete Worm', 'Sea Star', 'Snail']",3.0,0.9545454545454546,1.153869610771978,1.4810936481963017,1.0404782605384075,2.909090909090909,2021-01-16,,,30
31,u. olhanen.,female,a,False,Lying still to avoid detection.,"['Coral Fragment', 'Small Fish']",4.0,1.0362435352316144,1.0338654452536562,1.2412366470079075,1.050316916906228,3.0,2021-01-16,,,31
32,u. olhanen.,female,p,False,Sheltering under broken shell piece.,"['Crab (Other Species)', 'Sea Sponge', 'Sea Star', 'Coral Fragment', 'Barnacle']",8.0,2.4475026364787893,2.9826811695689304,3.8385137630893387,2.5298512281831416,2.909090909090909,2021-01-16,,,32
