,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,10,7.616080680434662,4,A. Farensis,-7.99163,True,1.4442461434375933,sub_adult,female,1,11.502646831412937,37.01025,"['Crab (Other Species)', 'Sea Star', 'Jellyfish', 'Sea Anemone']",5,Feeding on algae scraped from rocks.
1,11,5.278455319748801,11,A. Farensis,,False,0.34624978538801293,adult,male,2,11.547548339654659,,"['Jellyfish', 'Sea Urchin']",10,Using claws to dig into sediment.
2,10,6.634055487628017,9,u. olhanen.,,False,3.2362884522401383,pre_puberty,male,3,7.487183415307039,,"['Shrimp', 'Coral Fragment']",7,Vibrating antennae in water currents.
3,12,6.204778947677407,4,A farensis,,False,7.6652724670984025,pre_puberty,male,4,11.932202415478624,,"['Shrimp', 'Sea Urchin', 'Barnacle']",12,Exploring new territory.
4,12,5.702487293631075,6,A. Farensis,,False,13.326924423968093,adult,male or female,5,10.475405588379733,,"['Mussel', 'Sea Star']",8,Picking biofilm on submerged wood.
5,19,7.785273321189091,4,A. Farensis,,False,4.346913439031888,pre_puberty,?,6,9.075577092136742,,"['Small Fish', 'Coral Fragment']",8,Escaping from aggressive fish.
6,4,5.723581086157108,5,A farensis,,False,5.30695671126334,sub_adult,?,7,7.700892506869186,,"['Hermit Crab', 'Sea Star', 'Crab (Other Species)']",7,Feeding on small crustaceans.
7,20,8.179285360871463,6,A farensis,,True,2.9842533228961927,sub_adult, ,8,10.195044473241504,,"['Polychaete Worm', 'Sea Anemone', 'Hermit Crab', 'Sea Star', 'Jellyfish']",10,Picking biofilm on submerged wood.
8,9,8.016426585475905,3,u. olhanen.,,False,3.1457332118400645,juvenile,female,9,8.159860198872867,,"['Sea Anemone', 'Snail', 'Sea Star']",10,Retreating into burrow.
9,12,5.719642013554592,5,A. Farensis,,False,2.7370553886209543,pre_puberty,male,10,10.117300684322565,,"['Sea Sponge', 'Sea Anemone', 'Snail', 'Hermit Crab', 'Algae']",11,Climbing submerged rocks.
10,13,7.3598136808736765,7,U. olhanensis,,False,11.734669142010551,sub_adult,female,11,9.31444159134765,,"['Mussel', 'Coral Fragment', 'Hermit Crab', 'Sea Urchin', 'Sea Star']",6,Interaction with hermit crabs.
11,28,6.117849453559693,3,A farensis,,True,6.78410231124861,adult,nan,12,9.016261519564221,,"['Barnacle', 'Polychaete Worm', 'Small Fish', 'Coral Fragment', 'Sea Anemone']",10,Interacting with small fish nearby.
12,6,5.903242066737991,7,A. Farensis,,True,21.24730023941201,sub_adult,male,13,10.689871678444185,,"['Jellyfish', 'Sea Sponge']",4,Retreating quickly from shadow.
13,6,6.786025639827565,5,A farensis,,False,17.88023816114118,sub_adult,?,14,14.149854640730549,,"['Sea Star', 'Coral Fragment', 'Shrimp', 'Sea Sponge']",9,Climbing algae-covered rocks.
14,22,6.368226543280491,3,A farensis,,False,44.01398279228772,adult,female,15,9.139953822042871,,"['Mussel', 'Algae', 'Crab (Other Species)', 'Barnacle', 'Jellyfish']",7,Foraging among seagrass roots.
15,6,8.668348652388053,3,A farensis,,False,1.6070090795840122,sub_adult, ,16,10.189649126343353,,"['Polychaete Worm', 'Shrimp', 'Algae']",9,Rapid claw movement while feeding.
