,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
0,u. olhanen.,female,j,False,Collecting biofilm from sunken wood.,"['Sea Sponge', 'Shrimp', 'Sea Star']",7.0,0.6729859175596169,0.7490014333590252,0.9691310755726312,0.7152822017419607,3.4545454545454546,2020-01-02,37.1,-8.62,0
1,A farensis,male or female,s,,Side-stepping along sandy coastal floor.,"['Snail', 'Sea Sponge', 'Algae', 'Sea Star']",9.0,3.522727272727273,3.1769974020576424,4.634475861788115,3.790048493459935,3.4545454545454546,2020-01-02,,,1
2,u. olhanen.,N/R,s,,Guarding eggs beneath body flap.,['Snail'],11.0,0.5681818181818182,0.5918663053875451,0.7486472955508461,0.6182589912328843,3.727272727272727,2020-01-02,,,2
3,u. olhanen.,male,a,,Swiftly dashing across exposed sand.,"['Sea Urchin', 'Polychaete Worm']",7.0,3.272727272727273,3.426631534104592,4.336082774569491,3.4710593124956186,3.727272727272727,2020-01-02,,,3
4,u. olhanen.,female,a,False,Gradual movement in cold conditions.,"['Hermit Crab', 'Sea Sponge', 'Jellyfish', 'Barnacle', 'Sea Urchin']",3.0,3.315087034988927,3.126850080865863,4.3842560802001875,3.5369218892899807,3.6363636363636362,2020-01-02,,,4
5,A farensis,female,j,False,Vibrating antennae in flowing current.,"['Coral Fragment', 'Sea Anemone']",6.0,0.42804941927889933,0.5662784026770505,0.8190277016572782,0.4389337655736387,3.5454545454545454,2020-01-02,,,5
6,u. olhanen.,male or female,p,,Staying half-submerged in loose sand.,"['Sea Anemone', 'Barnacle', 'Jellyfish', 'Sea Star']",7.0,0.4090909090909091,0.31675001450584034,0.4237891138419906,0.41790156357523445,3.6363636363636362,2020-01-02,,,6
7,U. olhanensis,male,a,,Retreating swiftly from perceived danger.,"['Small Fish', 'Hermit Crab']",7.0,3.9545454545454546,4.334143095607597,5.54464099582949,4.013876973363391,3.5454545454545454,2020-01-02,,,7
8,A farensis,female,p,False,Inspecting remains of another crab.,"['Sea Sponge', 'Small Fish', 'Snail']",7.0,0.6101215603429173,0.46569730839411355,0.6909649442832656,0.6385147471960051,3.5454545454545454,2020-01-02,,,8
9,u. olhanen.,female,j,False,Advancing toward bait in water.,"['Shrimp', 'Sea Star', 'Snail', 'Polychaete Worm', 'Barnacle']",7.0,1.3365580316391183,1.4632823461261488,2.168131470912075,1.3927983026064241,3.5454545454545454,2020-01-02,,,9
10,u. olhanen.,male,p,True,Gradual movement in cold conditions.,['Small Fish'],6.0,1.1590909090909092,0.8676981317243129,1.1435780323034004,1.2437924569396726,3.6363636363636362,2020-01-02,,,10
11,A. Farensis,male,a,,Escaping from pursuing predator silhouette.,['Snail'],2.0,3.0,3.2999261332275536,4.276991010241691,3.1293508967952843,3.5454545454545454,2020-01-02,,,11
12,u. olhanen.,male,s,,Sheltering under broken shell piece.,"['Sea Sponge', 'Algae']",4.0,2.3863636363636362,2.5210818460043973,3.7550317490108807,2.421606272561849,3.3636363636363638,2020-01-02,,,12
13,U. olhanensis,male,p,,Color change during molting stress.,"['Shrimp', 'Snail', 'Barnacle']",7.0,0.4772727272727273,0.48585849168904177,0.590644076447594,0.49515815712291694,3.5454545454545454,2020-01-02,,,13
14,u. olhanen.,female,j,False,Mating ritual involving antennae brushing.,"['Algae', 'Snail', 'Sea Urchin']",5.0,0.8447890554471364,0.9729330583634923,1.3276228725432144,0.896974379732416,3.4545454545454546,2020-01-02,,,14
