,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,A. Farensis,female,juvenile,False,Scavenging at the edge of tidal pools.,"['Hermit Crab', 'Shrimp', 'Sea Anemone', 'Barnacle']",10.0,6.187687709982981,5.813366371355873,4.067431389498324,5.09493875639941,37.02606,-8.01873,0
1,A. Farensis,female,adult,False,Rhythmic waving as social cue.,"['Coral Fragment', 'Shrimp']",9.0,26.796035985710116,25.402569550739823,22.788246235487325,20.97684509814133,,,1
2,u. olhanen.,female,adult,False,Rhythmic waving as social cue.,"['Shrimp', 'Barnacle', 'Algae', 'Crab (Other Species)']",7.0,25.23573266557167,27.01214962394455,20.39916668988436,23.854728205795904,,,2
3,A farensis,male,juvenile,,Slowly navigating around seagrass beds.,"['Crab (Other Species)', 'Barnacle', 'Sea Urchin']",7.0,4.5,3.7554483717013896,9.42748620305015,2.689893411892232,,,3
4,A farensis,female,adult,False,Sifting through sediment for scraps.,"['Sea Urchin', 'Snail', 'Mussel', 'Sea Anemone']",8.0,21.4154409814513,18.335194161394195,12.847323950036293,16.31718642296701,,,4
5,A. Farensis,female,sub_adult,True,Claw snapping in diver confrontation.,"['Crab (Other Species)', 'Sea Sponge', 'Polychaete Worm', 'Snail']",12.0,14.513040010316425,17.60722296467419,13.523607621348962,13.898543383141218,,,5
6,U. olhanensis,male,adult,,Scaling steep rock faces near shore.,"['Hermit Crab', 'Jellyfish', 'Coral Fragment']",7.0,39.0,37.467096321112685,30.30501467855722,1069.0300308308424,,,6
7,Ucides alvorensis,male or female,sub_adult,,Mating ritual involving antennae brushing.,"['Polychaete Worm', 'Sea Star']",9.0,28.75,26.3994183310839,194.39986882895914,20.883022710691364,,,7
8,u. olhanen.,female,adult,False,Rapid clawing during feeding bouts.,"['Barnacle', 'Mussel', 'Shrimp', 'Sea Anemone', 'Hermit Crab']",9.0,22.55093640055821,26.863426873794808,22.16647196912294,19.897614551095938,,,8
9,U. olhanensis,female,adult,False,Nibbling detritus off seabed patches.,"['Sea Star', 'Algae', 'Sea Urchin', 'Jellyfish', 'Shrimp']",9.0,16.00423607934808,15.551138740011337,13.065811633565087,12.381850431131891,,,9
10,A farensis,male,adult,True,Retreating quickly into hidden burrow.,"['Crab (Other Species)', 'Snail']",10.0,46.5,44.59677412224104,37.35372814769007,1514.5284945084675,,,10
11,A farensis,male,sub_adult,,Harvesting food beneath floating debris.,"['Sea Urchin', 'Polychaete Worm', 'Coral Fragment', 'Jellyfish', 'Sea Star']",10.0,41.25,44.69468623209807,34.543782809812015,1550.1159836868308,,,11
