species,sex,stage,species_name,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
,female,adult,A. Farensis,False,Retreating quickly from shadow.,"['Sea Urchin', 'Crab (Other Species)']",7.0,4.0029461258466315,4.9539187910031535,6.0136076561738205,4.210018744229194,1.8181818181818181,2022-11-28,37.1,-8.62,0
,male or female,adult,A farensis,,Searching for food in tidal pools.,"['Sea Anemone', 'Jellyfish', 'Snail', 'Shrimp']",7.0,3.1363636363636362,2.8787931291282827,3.7556584869139233,3.1946389848200387,1.7272727272727273,2022-11-28,,,1
,male,sub_adult,U. olhanensis,,Feeding on small mollusks.,"['Shrimp', 'Crab (Other Species)', 'Mussel']",11.0,4.090909090909091,4.7267169232856805,6.472492272509434,4.314914924707056,1.6363636363636365,2022-11-28,,,2
,male,adult,u. olhanen.,,Vibrating antennae in water currents.,"['Mussel', 'Hermit Crab', 'Polychaete Worm', 'Sea Urchin', 'Sea Sponge']",12.0,9.0,8.108621176903771,10.457086183975896,9.7907511090727,1.7272727272727273,2022-11-28,,,3
,female,adult,U. olhanensis,False,Waving claws rhythmically.,"['Shrimp', 'Snail', 'Barnacle', 'Sea Urchin']",2.0,4.621502036175545,4.978272108290541,6.693228370524391,4.877090118677244,1.7272727272727273,2022-11-28,,,4
,male,sub_adult,A farensis,,Burrowing into sandy sediment.,"['Coral Fragment', 'Mussel', 'Sea Urchin', 'Hermit Crab', 'Snail']",6.0,7.5,7.14161337785298,8.571201306840187,8.13199586548253,1.6363636363636365,2022-11-28,,,5
,male,sub_adult,A. Farensis,,Sitting still blending with environment.,"['Sea Urchin', 'Barnacle', 'Crab (Other Species)']",7.0,3.8636363636363638,4.155521984078978,5.884468548309318,4.024227205351996,1.7272727272727273,2022-11-28,,,6
,female,adult,A farensis,False,Inspecting discarded crab shell.,"['Sea Urchin', 'Barnacle', 'Sea Anemone', 'Sea Sponge', 'Coral Fragment']",5.0,1.8780431459334104,2.109303178712686,2.6435426940074827,1.9325457478689878,1.7272727272727273,2022-11-28,,,7
,male,adult,U. olhanensis,,Searching for food in tidal pools.,['Sea Anemone'],6.0,6.136363636363637,5.536550056178521,6.851671774881613,6.730997572952379,1.9090909090909092,2022-11-28,,,8
,male,juvenile,u. olhanen.,,Defensive posture when approached.,"['Snail', 'Jellyfish', 'Sea Urchin']",6.0,1.3636363636363635,1.6002864271483759,2.1380708588548165,1.4847035347347164,1.7272727272727273,2022-11-28,,,9
