,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,u. olhanen.,female,pre_puberty,True,Gradual movement in cold conditions.,"['Coral Fragment', 'Sea Sponge', 'Shrimp', 'Small Fish']",8.0,4.909972298240306,4.511879356135664,6.685445421247269,5.228293150760127,46.0,2020-06-04,37.02606,-8.01873,0
1,A farensis,male,pre_puberty,,Scavenging at the edge of tidal pools.,"['Sea Anemone', 'Mussel']",11.0,10.5,7.717895204437152,10.11634088236609,11.262381495285444,45.0,2020-06-04,,,1
2,A. Farensis,female,pre_puberty,False,Guarding hole in substrate from intruders.,"['Algae', 'Crab (Other Species)']",13.0,8.93498275366747,8.202151693226119,10.133451873019649,9.708311870052432,45.0,2020-06-04,,,2
3,U. olhanensis,female,pre_puberty,False,Creeping under the cover of seagrass.,"['Sea Sponge', 'Mussel', 'Polychaete Worm', 'Hermit Crab']",7.0,11.090154137219754,13.399067741717145,16.507487740690312,12.144420750501723,46.0,2020-06-04,,,3
4,u. olhanen.,male,adult,,Foraging through tangled seagrass roots.,"['Coral Fragment', 'Mussel', 'Sea Urchin']",5.0,18.0,16.75261931670145,23.12738048209741,19.072519781924218,45.0,2020-06-04,,,4
5,U. olhanensis,female,sub_adult,True,Side-stepping along sandy coastal floor.,"['Polychaete Worm', 'Barnacle', 'Sea Anemone']",7.0,26.800661621656808,25.969422335742728,32.946851626109904,26.974014695296468,44.0,2020-06-04,,,5
6,u. olhanen.,female,pre_puberty,False,Hiding beneath overhanging rock.,"['Shrimp', 'Barnacle']",8.0,7.077351383927216,6.19516910757988,7.663797219606229,7.675687866693542,46.0,2020-06-04,,,6
7,U. olhanensis,female,adult,False,Peering out cautiously from cover.,['Hermit Crab'],9.0,33.36823010504988,35.81909394087826,51.449383163667264,35.13740029767478,45.0,2020-06-04,,,7
8,A farensis,female,pre_puberty,False,"Burrowing into soft, sandy sediment.","['Mussel', 'Sea Anemone', 'Shrimp']",6.0,26.35822039766509,27.78211127250871,33.465685125641905,26.91701932234672,44.0,2020-06-04,,,8
9,Ucides alvorensis,female,sub_adult,False,Traversing algae-slick rock surfaces.,"['Shrimp', 'Sea Urchin', 'Crab (Other Species)', 'Sea Star']",11.0,10.54379970633616,11.684800960451089,15.979886355541625,11.130561842237812,46.0,2020-06-04,,,9
10,u. olhanen.,female,sub_adult,True,Frequent pausing while exploring.,"['Jellyfish', 'Sea Anemone']",6.0,4.927921619331614,4.125991970456242,5.492266169142852,5.420509010167108,47.0,2020-06-04,,,10
11,U. olhanensis,female,sub_adult,False,Concealing self beneath floating matter.,"['Shrimp', 'Algae', 'Barnacle', 'Hermit Crab']",6.0,24.542389979349725,23.903565165743636,29.01615276999952,25.601934004517837,46.0,2020-06-04,,,11
12,U. olhanensis,male,adult,,Approaching small fish with curiosity.,"['Sea Urchin', 'Algae', 'Shrimp']",7.0,39.0,40.66393165478664,49.77814778070902,40.93710020948531,45.0,2020-06-04,,,12
13,A. Farensis,female,sub_adult,False,Filtering detritus from shallow bottom.,"['Shrimp', 'Mussel', 'Snail', 'Polychaete Worm']",7.0,21.603877996595152,24.348700355045853,36.149684793234556,21.850801376792212,46.0,2020-06-04,,,13
14,u. olhanen., ,pre_puberty,,Scaling steep rock faces near shore.,"['Sea Star', 'Mussel', 'Sea Sponge', 'Sea Urchin']",9.0,5.25,4.705399642495979,6.950867211426769,5.669676058779045,46.0,2020-06-04,,,14
15,A. Farensis,male,adult,,Resisting aggressive fish encounter.,"['Crab (Other Species)', 'Sea Urchin']",9.0,33.0,34.14479051952272,42.55484373007262,35.27969639645852,45.0,2020-06-04,,,15
16,u. olhanen., ,sub_adult,,Foraging through tangled seagrass roots.,['Sea Sponge'],5.0,27.5,29.849218165626297,40.78985299160821,28.61794378346642,44.0,2020-06-04,,,16
17,u. olhanen.,N/R,adult,,Searching tidal pools for nutrients.,"['Sea Urchin', 'Mussel', 'Shrimp']",10.0,19.5,20.076677275243195,24.635533792817093,21.35203710034917,45.0,2020-06-04,,,17
18,u. olhanen.,male,sub_adult,,Color change during molting stress.,"['Barnacle', 'Jellyfish', 'Algae']",12.0,21.25,18.36984070810983,25.2254594026812,22.2303845419459,45.0,2020-06-04,,,18
