,cl [cm],lcl [cm],fw [cm],species_name,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],is_gravid?,behavior
0,23,7.982743233736127,6,U. olhanensis,-7.99163,False,0.8807925871921659,sub_adult,female,1,9.915506663954389,37.01025,['Sea Star'],9,False,Vibrating antennae in water currents.
1,23,8.048317108155413,5,A farensis,,False,0.055179306070222825,adult,?,2,12.46176822825174,,"['Hermit Crab', 'Shrimp', 'Sea Sponge', 'Mussel', 'Small Fish']",10,False,Picking algae from rock surface.
2,15,6.804642969830562,5,u. olhanen.,,False,0.22060608620114092,sub_adult,male,3,10.305637383860676,,"['Sea Urchin', 'Coral Fragment']",10,False,Climbing submerged rocks.
3,27,9.311060068133283,3,A. Farensis,,False,0.8658827345163064,sub_adult,male,4,10.985431616052635,,"['Crab (Other Species)', 'Algae', 'Jellyfish', 'Hermit Crab', 'Shrimp']",8,False,Slow movement near seagrass patches.
4,29,7.1741088800800155,7,u. olhanen.,,False,1.2446992734265065,sub_adult,male,5,13.842814105550191,,"['Snail', 'Sea Urchin', 'Shrimp', 'Mussel', 'Sea Star']",9,False,Retreating quickly from shadow.
5,28,7.2391636588608135,5,A farensis,,False,3.520912443542139,sub_adult,male,6,13.590328413772431,,"['Small Fish', 'Sea Star', 'Hermit Crab', 'Jellyfish']",4,False,Retreating quickly from shadow.
6,20,8.676684244199805,11,A. Farensis,,False,0.7025716305098669,sub_adult,male,7,9.788389280689808,,"['Crab (Other Species)', 'Small Fish', 'Mussel']",8,False,Picking detritus from seabed.
7,22,8.30616905098507,4,A. Farensis,,True,1.4721895631731041,sub_adult,male,8,10.91554989393051,,['Snail'],11,True,Using claws to dig into sediment.
8,8,8.935713149536245,3,A. Farensis,,False,0.07295563976342405,adult,male,9,10.944690461861827,,"['Algae', 'Sea Sponge', 'Barnacle', 'Snail']",10,False,Climbing vertical rock face.
9,6,8.071736325126833,6,A farensis,,False,2.0251974131423154,sub_adult,male,10,12.027760830599476,,"['Barnacle', 'Coral Fragment', 'Crab (Other Species)', 'Algae', 'Snail']",11,False,Shaking claws after contact.
10,13,9.124144494403335,4,A farensis,,True,1.3481059323475233,sub_adult,male or female,11,16.311303102624315,,"['Coral Fragment', 'Crab (Other Species)', 'Barnacle', 'Shrimp']",6,True,Escaping from aggressive fish.
11,15,6.717156355019662,4,A farensis,,False,1.800168436585998,sub_adult, ,12,7.106327368960594,,['Crab (Other Species)'],8,False,Swimming short distance to escape.
12,5,9.662509233923338,3,A. Farensis,,True,0.6302755948328447,sub_adult, ,13,16.37434280395617,,['Crab (Other Species)'],7,True,Color changes during molting.
13,16,6.317482494170266,4,U. olhanensis,,False,0.9009893711904468,adult,female,14,9.378038305733565,,"['Sea Urchin', 'Jellyfish']",6,False,Picking biofilm on submerged wood.
14,28,8.933112224873238,3,u. olhanen.,,False,4.43824863311519,pre_puberty,male,15,15.135107009887705,,"['Jellyfish', 'Small Fish', 'Barnacle', 'Algae']",11,False,Interacting with small fish nearby.
15,6,11.839609385271002,2,u. olhanen.,,True,5.986843697732421,adult,male,16,10.492238819629998,,"['Sea Anemone', 'Sea Sponge', 'Hermit Crab', 'Algae', 'Sea Urchin']",6,True,Cleaning claws with rubbing motion.
16,19,8.38970352760231,10,A. Farensis,,False,7.264611846567,pre_puberty,male or female,17,7.708637322998635,,"['Small Fish', 'Sea Urchin', 'Shrimp', 'Sea Anemone', 'Crab (Other Species)']",9,False,Hiding under floating debris.
17,23,7.6308642519423895,6,A farensis,,False,1.4007928779934142,pre_puberty,male,18,18.303952310132665,,"['Hermit Crab', 'Algae', 'Snail', 'Polychaete Worm']",10,False,Rapid claw movement while feeding.
18,5,8.708754193326664,2,u. olhanen.,,False,1.2805060988396777,pre_puberty,male,19,12.546857506995519,,"['Crab (Other Species)', 'Polychaete Worm']",8,False,Interacting with small fish nearby.
19,32,8.675458498408666,9,u. olhanen.,,True,1.5737454015403234,adult,male,20,16.340370802943404,,"['Crab (Other Species)', 'Coral Fragment', 'Sea Urchin', 'Hermit Crab', 'Snail']",6,True,Social contact with other crabs.
20,22,6.884491277380457,3,A farensis,,False,4.691627583991252,adult,nan,21,11.578830198019839,,"['Hermit Crab', 'Sea Urchin', 'Crab (Other Species)', 'Sea Anemone']",10,False,Picking algae from rock surface.
21,15,7.490907201043557,8,U. olhanensis,,False,8.085107098767901,pre_puberty,male,22,10.951979370827539,,"['Crab (Other Species)', 'Mussel', 'Hermit Crab', 'Sea Sponge']",6,False,Searching for food in tidal pools.
22,8,9.664997283544293,5,A. Farensis,,False,0.5093250176831458,juvenile,female,23,10.454856147678244,,"['Polychaete Worm', 'Coral Fragment', 'Sea Anemone', 'Hermit Crab', 'Snail']",8,False,Feeding on detritus in shallow water.
23,31,7.469164676277151,2,A. Farensis,,False,1.028367356802504,sub_adult,male,24,12.815581596179264,,"['Sea Sponge', 'Jellyfish', 'Crab (Other Species)', 'Coral Fragment']",7,False,Rapid claw movement while feeding.
24,10,7.865265105781696,2,A. Farensis,,False,0.3634232888562071,sub_adult,female,25,11.599688095075138,,"['Sea Urchin', 'Coral Fragment', 'Shrimp', 'Hermit Crab', 'Polychaete Worm']",6,False,Feeding on small crustaceans.
25,32,7.425303285111152,3,A. Farensis,,True,0.942117052153919,pre_puberty,male,26,17.26006438167433,,"['Shrimp', 'Barnacle', 'Jellyfish']",12,True,Picking algae from rock surface.
26,20,10.761221308484703,6,u. olhanen.,,False,1.2038175486136682,sub_adult,male,27,7.646376444651775,,"['Sea Star', 'Polychaete Worm', 'Small Fish', 'Hermit Crab']",8,False,Resting under shell fragment.
27,24,8.561268748736698,5,A farensis,,False,0.6609769008405598,pre_puberty,nan,28,15.978449347916355,,['Snail'],6,False,Picking algae from rock surface.
28,8,8.860666023743173,2,A. Farensis,,False,9.913754813238816,sub_adult,nan,29,8.263583466833378,,"['Shrimp', 'Algae']",5,False,Emerging cautiously from hiding.
29,29,7.3484923787732495,4,A farensis,,True,2.7858352222627776,juvenile,male,30,10.67104822663477,,"['Sea Urchin', 'Algae', 'Sea Anemone']",12,True,Feeding on algae scraped from rocks.
30,15,8.889409637920448,7,A. Farensis,,False,6.396625727226932,pre_puberty,?,31,11.417743527831126,,"['Small Fish', 'Jellyfish', 'Mussel', 'Shrimp']",3,False,Picking algae from rock surface.
31,44,7.229285208710126,7,A. Farensis,,True,2.672326372151208,pre_puberty,male,32,12.610979491187926,,"['Mussel', 'Sea Star', 'Sea Anemone']",14,True,Climbing barnacle-covered surfaces.
32,25,10.070218904887051,9,U. olhanensis,,False,1.106385983622597,juvenile, ,33,12.27875923785157,,['Coral Fragment'],5,False,Escaping from aggressive fish.
33,31,9.47806299715796,4,u. olhanen.,,False,0.9003959592372136,pre_puberty,female,34,8.330264610405514,,"['Shrimp', 'Sea Star']",11,False,Feeding on algae scraped from rocks.
34,9,9.115031350715151,3,A. Farensis,,False,0.32031917172145336,adult,male,35,18.102057940589916,,"['Crab (Other Species)', 'Mussel', 'Sea Star']",10,False,Defensive posture when approached.
