,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,u. olhanen.,female,sub_adult,True,Staying half-submerged in loose sand.,"['Sea Star', 'Sea Anemone', 'Coral Fragment']",6.0,34.03509497774041,29.744108145274833,39.12476589192113,35.73742341569218,25.0,2022-06-24,37.02606,-8.01873,0
1,u. olhanen.,female,sub_adult,False,Swimming briefly to avoid disturbance.,"['Small Fish', 'Coral Fragment']",6.0,59.47177622318345,52.038721158568706,72.73357976016393,62.33771453849225,24.0,2022-06-24,,,1
2,Ucides alvorensis,male,juvenile,,Color change during molting stress.,"['Sea Urchin', 'Barnacle', 'Crab (Other Species)']",6.0,11.5,9.13429529604718,12.75948687747354,11.991947969841531,24.0,2022-06-24,,,2
3,u. olhanen.,female,juvenile,True,Color change during molting stress.,"['Small Fish', 'Sea Sponge', 'Sea Urchin', 'Shrimp', 'Crab (Other Species)']",8.0,4.803148176395577,6.766536194390265,8.838772487556229,4.8489994038586754,24.0,2022-06-24,,,3
4,u. olhanen.,male,adult,,Resting in shaded crevice along cliff.,"['Sea Urchin', 'Crab (Other Species)']",7.0,25.5,24.43318621020096,29.72779801020523,26.813623736715495,25.0,2022-06-24,,,4
5,A. Farensis,female,adult,True,Guarding hole in substrate from intruders.,"['Jellyfish', 'Snail', 'Crab (Other Species)', 'Hermit Crab']",7.0,39.43537187898767,38.15802485827919,50.69752001637218,39.45949744377422,24.0,2022-06-24,,,5
6,Ucides alvorensis,N/R,sub_adult,,Creeping under the cover of seagrass.,"['Sea Anemone', 'Algae', 'Polychaete Worm']",8.0,50.0,43.63332813381349,59.232366477684586,51.4896224244944,24.0,2022-06-24,,,6
7,U. olhanensis,male,sub_adult,,Displaying territorial behavior against intruder.,"['Crab (Other Species)', 'Small Fish']",11.0,27.5,22.848291137410715,33.68626510398351,28.16003233229569,23.0,2022-06-24,,,7
8,U. olhanensis,male,adult,,Group migration across shallow seabed.,['Sea Star'],9.0,16.5,15.203370403056578,18.719370040176344,17.90144439641036,24.0,2022-06-24,,,8
9,u. olhanen.,male,juvenile,,Hiding beneath overhanging rock.,['Barnacle'],10.0,14.5,11.156976993587445,15.350337494472264,15.368751220426496,27.0,2022-06-24,,,9
10,A. Farensis,female,juvenile,False,Claw snapping in aggressive encounter.,"['Hermit Crab', 'Crab (Other Species)', 'Polychaete Worm']",11.0,7.516370272352115,6.5237130757972555,8.984016328804906,8.252921746016796,24.0,2022-06-24,,,10
11,u. olhanen.,male,sub_adult,,Swiftly dashing across exposed sand.,"['Jellyfish', 'Polychaete Worm', 'Coral Fragment', 'Shrimp', 'Snail']",8.0,41.25,37.08420362981111,51.95497586455039,41.81559382691782,26.0,2022-06-24,,,11
12,A farensis,female,sub_adult,True,Traversing algae-slick rock surfaces.,"['Sea Urchin', 'Shrimp']",6.0,13.248596431784845,18.43312953965699,27.017378726888104,14.36221896341797,23.0,2022-06-24,,,12
13,u. olhanen.,male,sub_adult,,Darting away in response to sudden shadow.,"['Shrimp', 'Sea Sponge']",11.0,40.0,34.40761105564836,49.841189963465894,40.82226025753525,25.0,2022-06-24,,,13
14,A farensis,male,pre_puberty,,Brief social contact with fellow crabs.,"['Shrimp', 'Coral Fragment']",7.0,13.5,12.018714232980257,16.34338899628624,14.55955380973532,24.0,2022-06-24,,,14
15,Ucides alvorensis,male,pre_puberty,,Picking algae carefully off rock faces.,"['Sea Anemone', 'Polychaete Worm']",9.0,21.75,16.64867211185181,21.80478957129023,23.80859965902405,26.0,2022-06-24,,,15
16,u. olhanen.,male,sub_adult,,Claw snapping in diver confrontation.,"['Polychaete Worm', 'Jellyfish', 'Coral Fragment', 'Sea Urchin', 'Shrimp']",7.0,50.0,58.28029428879966,71.17355035902696,52.22558470245442,25.0,2022-06-24,,,16
17,u. olhanen.,male,sub_adult,,Hiding beneath overhanging rock.,"['Snail', 'Hermit Crab', 'Coral Fragment', 'Mussel']",10.0,13.75,12.305727972025124,14.896045272048013,14.246398508897293,26.0,2022-06-24,,,17
18,A farensis,male,adult,,Hiding beneath overhanging rock.,"['Small Fish', 'Barnacle', 'Sea Urchin', 'Crab (Other Species)']",7.0,10.5,11.451671139434529,16.99259916042631,11.48887872366962,25.0,2022-06-24,,,18
19,U. olhanensis,female,pre_puberty,True,Displaying territorial behavior against intruder.,"['Jellyfish', 'Small Fish', 'Barnacle', 'Crab (Other Species)', 'Sea Anemone']",11.0,4.828031561401634,6.523255211874299,9.099768462264871,5.1625877808423715,24.0,2022-06-24,,,19
20,U. olhanensis,male,adult,True,Protecting territory in confined space.,"['Algae', 'Sea Anemone', 'Shrimp', 'Crab (Other Species)']",7.0,37.5,36.1994107466358,44.15899026749328,41.169345405822796,25.0,2022-06-24,,,20
21,u. olhanen.,female,juvenile,True,Approaching small fish with curiosity.,"['Algae', 'Hermit Crab', 'Sea Urchin', 'Coral Fragment']",9.0,15.618869201676702,16.216709577982048,21.30347790419377,16.283772492141285,26.0,2022-06-24,,,21
22,u. olhanen.,female,adult,True,Reacting to sudden changes in temperature.,"['Jellyfish', 'Sea Anemone']",10.0,76.12491372559455,78.27074275108045,108.29364900881298,76.68404376418522,26.0,2022-06-24,,,22
23,u. olhanen.,male,pre_puberty,,Searching tidal pools for nutrients.,['Jellyfish'],8.0,25.5,28.836374114747397,37.4385881492256,26.904959484876517,25.0,2022-06-24,,,23
24,A farensis,male,adult,,Claw snapping in aggressive encounter.,"['Shrimp', 'Polychaete Worm', 'Sea Urchin']",7.0,42.0,42.52468996261615,60.68960561361552,45.50899828952214,24.0,2022-06-24,,,24
25,U. olhanensis,male,adult,,Grazing on mollusks among debris.,"['Jellyfish', 'Algae']",10.0,55.5,55.14824295172495,80.19070337582605,60.09085571739485,24.0,2022-06-24,,,25
26,A. Farensis,male,sub_adult,,Gradual movement in cold conditions.,['Mussel'],6.0,40.0,45.89106128443934,66.31747210111098,41.40045235553636,23.0,2022-06-24,,,26
27,A farensis,male,adult,,Swimming briefly to avoid disturbance.,"['Hermit Crab', 'Algae']",8.0,49.5,49.59679548236736,69.44744334225108,52.277554128747155,26.0,2022-06-24,,,27
28,U. olhanensis,male,sub_adult,,Camouflaging with nearby mud.,"['Polychaete Worm', 'Crab (Other Species)', 'Jellyfish', 'Shrimp']",10.0,38.75,33.68628117814948,47.07551719667713,41.06817445970369,23.0,2022-06-24,,,28
29,U. olhanensis,male,sub_adult,,Taking cover beneath seagrass leaves.,"['Sea Star', 'Shrimp', 'Sea Sponge']",4.0,22.5,25.61119823086035,35.433266352958825,23.844937873648625,26.0,2022-06-24,,,29
30,Ucides alvorensis,female,sub_adult,True,Defensive claw movement in water.,"['Jellyfish', 'Small Fish']",8.0,14.013241367134308,11.64869943735112,14.576379856322204,14.601560531094165,25.0,2022-06-24,,,30
31,A farensis,male,pre_puberty,,Swimming briefly to avoid disturbance.,"['Sea Anemone', 'Algae', 'Jellyfish', 'Hermit Crab', 'Sea Urchin']",7.0,17.25,12.41603692760977,18.474190121725563,18.331207713403142,24.0,2022-06-24,,,31
32,A farensis,nan,adult,,Approaching small fish with curiosity.,"['Barnacle', 'Crab (Other Species)', 'Jellyfish', 'Small Fish']",11.0,39.0,35.79393836132454,45.54749199345234,40.98013001582114,26.0,2022-06-24,,,32
33,A farensis,male,pre_puberty,,Nibbling detritus off seabed patches.,"['Polychaete Worm', 'Coral Fragment', 'Crab (Other Species)', 'Algae', 'Snail']",8.0,18.0,21.348599500253805,25.809042822587095,19.341506980495147,24.0,2022-06-24,,,33
34,u. olhanen.,male,sub_adult,,Engaging in antennae-to-antennae contact.,"['Shrimp', 'Barnacle']",9.0,17.5,17.58910965582598,24.375179675592463,18.2927540650551,22.0,2022-06-24,,,34
35,u. olhanen.,male,adult,,Advancing toward bait in water.,"['Polychaete Worm', 'Shrimp', 'Snail']",13.0,34.5,33.9522408773513,41.814339851976,37.92155768593369,26.0,2022-06-24,,,35
36,A. Farensis,male,juvenile,,Protecting territory in confined space.,"['Mussel', 'Small Fish', 'Coral Fragment']",12.0,10.5,6.339074573609903,7.839071657001037,11.161682508705791,24.0,2022-06-24,,,36
37,u. olhanen.,female,adult,False,Sheltering under broken shell piece.,"['Sea Star', 'Algae', 'Snail']",8.0,25.94804229801832,27.989318028015308,37.783252819990395,25.999294284046083,22.0,2022-06-24,,,37
38,U. olhanensis,male,pre_puberty,,Claw snapping in aggressive encounter.,"['Sea Star', 'Snail']",9.0,29.25,35.41934693525647,43.609034569027635,29.894154137997365,25.0,2022-06-24,,,38
39,u. olhanen.,male,adult,,Concealing self beneath floating matter.,"['Barnacle', 'Algae', 'Jellyfish', 'Sea Star']",7.0,12.0,12.88107520816595,18.371575501764,12.220066683837956,25.0,2022-06-24,,,39
