,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,u. olhanen.,female,adult,False,Clambering up submerged tree trunks.,['Sea Sponge'],12.0,21.288782142648248,20.842008698589687,27.99765502881449,21.504566926050252,43.0,2020-09-29,37.02606,-8.01873,0
1,Ucides alvorensis,male,sub_adult,,Entering burrow after disturbance.,"['Jellyfish', 'Sea Star', 'Small Fish', 'Hermit Crab', 'Barnacle']",8.0,27.5,32.539348213082675,39.58012448577924,28.943646212932123,43.0,2020-09-29,,,1
2,A farensis,female,sub_adult,True,Displaying territorial behavior against intruder.,"['Snail', 'Algae', 'Coral Fragment', 'Sea Anemone']",9.0,21.284763412994177,25.32430478596923,37.957978756511345,22.20059739544856,41.0,2020-09-29,,,2
3,A farensis,male,pre_puberty,,Filtering detritus from shallow bottom.,"['Hermit Crab', 'Coral Fragment', 'Crab (Other Species)']",9.0,22.5,23.01168436678097,31.628476809520123,22.757967724357822,44.0,2020-09-29,,,3
4,u. olhanen.,female,pre_puberty,False,Claw shaking post-contact gesture.,"['Snail', 'Sea Sponge', 'Sea Anemone']",6.0,2.184707117342342,2.63735248038708,3.4510759296674176,2.2304260945587817,42.0,2020-09-29,,,4
5,U. olhanensis,female,adult,False,Swimming briefly to avoid disturbance.,['Sea Urchin'],8.0,34.0526104359661,31.65193904002317,40.751059135046084,34.617923127795365,41.0,2020-09-29,,,5
6,u. olhanen.,female,pre_puberty,False,Resting in shaded crevice along cliff.,['Coral Fragment'],9.0,2.945269467344038,3.2624067868144113,4.234561246929319,3.080139376542116,44.0,2020-09-29,,,6
7,A farensis,female,juvenile,False,Mating ritual involving antennae brushing.,"['Shrimp', 'Crab (Other Species)', 'Sea Star', 'Barnacle']",11.0,10.672816117151429,8.820178449733552,11.490732271875919,10.936235793097374,43.0,2020-09-29,,,7
8,A. Farensis,female,adult,True,Guarding hole in substrate from intruders.,"['Polychaete Worm', 'Shrimp']",5.0,34.47989660938106,32.593163417261714,46.40101874058618,36.43502992946954,45.0,2020-09-29,,,8
9,A. Farensis,female,adult,False,Entering burrow after disturbance.,"['Polychaete Worm', 'Shrimp', 'Sea Urchin', 'Small Fish']",10.0,17.08051796896327,18.31277824471739,24.439605107654405,18.659898617996493,43.0,2020-09-29,,,9
10,U. olhanensis,female,adult,True,Escaping from pursuing predator silhouette.,"['Sea Urchin', 'Sea Anemone']",7.0,21.884210529287245,21.220228102357343,29.168642306492444,23.96143974030191,43.0,2020-09-29,,,10
11,u. olhanen.,male,sub_adult,,Camouflaging with nearby mud.,"['Sea Star', 'Sea Anemone']",9.0,56.25,63.67022709530727,81.78504267661006,57.27124330573188,42.0,2020-09-29,,,11
12,u. olhanen.,female,sub_adult,False,Advancing toward bait in water.,"['Crab (Other Species)', 'Small Fish', 'Barnacle', 'Sea Anemone', 'Sea Star']",7.0,24.773436572967054,28.75805271361928,34.96070642425686,25.957053108287027,43.0,2020-09-29,,,12
13,u. olhanen.,male,sub_adult,,Scuttling swiftly over rocky terrain.,"['Coral Fragment', 'Hermit Crab', 'Sea Star']",8.0,5.0,4.3150574861366975,6.092958432817248,5.224364737959656,43.0,2020-09-29,,,13
14,u. olhanen.,female,sub_adult,True,Retreating swiftly from perceived danger.,"['Shrimp', 'Coral Fragment']",9.0,11.00515100791533,10.875828585969623,15.617952269204203,12.054406676480562,41.0,2020-09-29,,,14
15,Ucides alvorensis,male or female,sub_adult,,Emerging slowly after perceived threat.,"['Mussel', 'Polychaete Worm']",4.0,28.75,26.521808480972844,36.94751278848791,29.423339625781143,42.0,2020-09-29,,,15
16,A. Farensis,male,pre_puberty,,Filtering detritus from shallow bottom.,"['Snail', 'Mussel', 'Algae', 'Sea Anemone']",5.0,4.5,4.902333821949137,6.403860056725751,4.528737471129192,44.0,2020-09-29,,,16
17,u. olhanen., ,pre_puberty,,Approaching small fish with curiosity.,"['Sea Anemone', 'Sea Sponge', 'Small Fish', 'Coral Fragment', 'Shrimp']",11.0,7.5,8.828982833233104,10.967175012487482,7.724840637663188,42.0,2020-09-29,,,17
18,A. Farensis,male,sub_adult,,Guarding hole in substrate from intruders.,"['Crab (Other Species)', 'Coral Fragment', 'Jellyfish', 'Snail', 'Sea Star']",8.0,6.25,6.445580101598434,8.15208490683946,6.59500699881294,43.0,2020-09-29,,,18
19,U. olhanensis,female,juvenile,False,Nibbling detritus off seabed patches.,"['Polychaete Worm', 'Algae', 'Barnacle']",8.0,3.83784239864797,4.854302803904656,6.575458641741278,4.1027065550449855,41.0,2020-09-29,,,19
20,u. olhanen.,female,adult,True,Brief social contact with fellow crabs.,"['Mussel', 'Shrimp', 'Jellyfish', 'Snail']",9.0,27.002002246090196,29.47327869408358,43.36518788878631,27.036698926576637,41.0,2020-09-29,,,20
21,u. olhanen.,male,pre_puberty,,Nibbling detritus off seabed patches.,"['Polychaete Worm', 'Algae', 'Mussel', 'Sea Sponge']",10.0,5.25,5.227361775124825,6.829613824837714,5.696929251762628,44.0,2020-09-29,,,21
22,A farensis,female,pre_puberty,False,Staying half-submerged in loose sand.,"['Small Fish', 'Hermit Crab', 'Shrimp', 'Sea Sponge']",10.0,19.85461342636712,14.717163474753177,20.321526141898133,21.591699072105637,43.0,2020-09-29,,,22
23,u. olhanen.,male,adult,,Reacting to sudden changes in temperature.,"['Crab (Other Species)', 'Mussel', 'Algae']",4.0,40.5,43.95767564255878,65.18436166756791,41.64646186369739,44.0,2020-09-29,,,23
24,A farensis,male,juvenile,,Advancing toward bait in water.,"['Sea Star', 'Sea Anemone', 'Algae', 'Snail']",10.0,15.0,19.52930013086222,25.996712362447102,15.947694988900524,41.0,2020-09-29,,,24
25,u. olhanen.,male,juvenile,,Guarding hole in substrate from intruders.,"['Crab (Other Species)', 'Hermit Crab', 'Snail']",9.0,6.0,4.9712951942892545,6.85340302016458,6.208098233229115,43.0,2020-09-29,,,25
26,Ucides alvorensis,female,pre_puberty,False,"Burrowing into soft, sandy sediment.","['Small Fish', 'Polychaete Worm', 'Coral Fragment', 'Mussel', 'Sea Anemone']",11.0,20.927037567329847,23.141266173773506,31.60710839711595,21.374720508717342,43.0,2020-09-29,,,26
27,U. olhanensis,female,pre_puberty,False,Sifting through sediment for scraps.,"['Sea Anemone', 'Barnacle', 'Mussel']",7.0,26.434055916427607,26.52133770459471,32.95736919201335,28.942380930383802,42.0,2020-09-29,,,27
28,A farensis,female,adult,False,Side-stepping along sandy coastal floor.,"['Hermit Crab', 'Sea Sponge', 'Crab (Other Species)', 'Sea Anemone']",8.0,8.669577968234915,9.134364138514226,13.105257680351286,9.187764174440959,42.0,2020-09-29,,,28
29,A farensis,N/R,sub_adult,,Brief social contact with fellow crabs.,"['Sea Sponge', 'Algae', 'Barnacle', 'Snail', 'Crab (Other Species)']",9.0,32.5,34.58676205138293,48.94874070794156,34.12107311590419,42.0,2020-09-29,,,29
30,U. olhanensis,male,adult,True,Scuttling swiftly over rocky terrain.,['Algae'],9.0,33.0,32.11066381584663,41.44053149622656,34.12326465739677,42.0,2020-09-29,,,30
31,A farensis,female,adult,False,Interaction with nearby hermit crab.,"['Sea Sponge', 'Snail']",10.0,27.381704865037978,27.790193948870392,40.26159276125753,27.88567344817776,43.0,2020-09-29,,,31
32,Ucides alvorensis,female,sub_adult,False,Reacting to sudden changes in temperature.,"['Algae', 'Mussel', 'Barnacle']",13.0,11.959746431271903,10.601884552538046,13.415198042104487,12.671028022027835,42.0,2020-09-29,,,32
33,u. olhanen.,female,pre_puberty,True,Sheltering under broken shell piece.,['Sea Star'],4.0,14.6933686970059,13.729738599239992,18.51742811718743,16.050118513251153,41.0,2020-09-29,,,33
34,U. olhanensis,female,sub_adult,True,Guarding hole in substrate from intruders.,"['Sea Star', 'Barnacle', 'Shrimp']",6.0,13.631925058996325,15.068665612095844,21.267286009653375,14.338392627446465,43.0,2020-09-29,,,34
35,A farensis,male,pre_puberty,,Performing dominance display by body lifting.,['Jellyfish'],10.0,24.75,31.584130995129158,44.07339022074309,26.27815457693238,45.0,2020-09-29,,,35
36,A. Farensis,male,pre_puberty,,Nibbling detritus off seabed patches.,"['Sea Urchin', 'Coral Fragment', 'Sea Anemone', 'Crab (Other Species)']",7.0,24.75,27.059737503864227,38.64847880982612,27.153155631103857,44.0,2020-09-29,,,36
37,Ucides alvorensis,male or female,sub_adult,,Traversing algae-slick rock surfaces.,"['Polychaete Worm', 'Snail']",6.0,27.5,25.13653094921609,30.18702704083293,29.952119354902933,43.0,2020-09-29,,,37
38,A. Farensis,female,sub_adult,False,Claw snapping in diver confrontation.,"['Small Fish', 'Mussel', 'Polychaete Worm', 'Coral Fragment', 'Sea Anemone']",3.0,35.66880785289152,35.298438850764214,52.31321602218943,37.127272833811276,44.0,2020-09-29,,,38
39,U. olhanensis,female,sub_adult,False,Reacting to sudden changes in temperature.,"['Polychaete Worm', 'Barnacle']",5.0,21.082325469443543,22.8419804938429,31.62521941792464,21.991677760282563,43.0,2020-09-29,,,39
40,U. olhanensis,male,adult,True,Side-stepping along sandy coastal floor.,"['Algae', 'Sea Sponge']",9.0,31.5,33.416933082633804,49.22602945022071,33.81413132016894,42.0,2020-09-29,,,40
41,Ucides alvorensis,male,sub_adult,,Protecting territory in confined space.,"['Sea Star', 'Shrimp', 'Sea Urchin', 'Snail', 'Barnacle']",9.0,5.0,5.93050916314024,7.7437179460723184,5.173869998203106,41.0,2020-09-29,,,41
