,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,U. olhanensis,female,adult,False,Swimming briefly to avoid disturbance.,"['Polychaete Worm', 'Small Fish', 'Shrimp']",8.0,36.64977979169404,38.99430997763486,25.976161569654895,27.460281848213125,37.02606,-8.01873,0
1,u. olhanen.,male,pre_puberty,,Progressing cautiously through new area.,"['Polychaete Worm', 'Small Fish', 'Shrimp', 'Barnacle']",13.0,11.25,12.35999553194619,8.668826574574254,89.73900499198731,,,1
2,u. olhanen.,female,adult,False,Vibrating antennae in flowing current.,['Barnacle'],10.0,39.973996939700136,46.4456228634942,39.48553168480777,33.25547622749099,,,2
3,A farensis,male,sub_adult,,Gradual movement in cold conditions.,"['Sea Sponge', 'Mussel', 'Hermit Crab']",10.0,53.75,63.374429670289125,2141.020251585862,53.77480141920016,,,3
4,A. Farensis,male,adult,,Resting in shaded crevice along cliff.,"['Sea Star', 'Algae', 'Crab (Other Species)', 'Sea Anemone']",8.0,45.0,43.87848761143801,1436.6170145112812,39.206928323888164,,,4
5,u. olhanen.,male,pre_puberty,,Color change during molting stress.,"['Sea Sponge', 'Algae', 'Barnacle', 'Mussel', 'Sea Star']",11.0,28.5,24.27855087401478,18.00901447550298,370.3209738230182,,,5
6,u. olhanen.,male,adult,,"Burrowing into soft, sandy sediment.","['Jellyfish', 'Hermit Crab', 'Crab (Other Species)']",7.0,27.0,29.27732396145616,530.2679472697316,26.31507995857887,,,6
7,U. olhanensis,female,adult,True,Darting away in response to sudden shadow.,"['Sea Anemone', 'Shrimp', 'Small Fish', 'Algae', 'Coral Fragment']",5.0,46.004250155780646,49.70930416176745,45.04592746245333,41.995392765667354,,,7
8,u. olhanen.,male,adult,,Rhythmic waving as social cue.,"['Sea Sponge', 'Small Fish', 'Polychaete Worm']",7.0,43.5,46.393041815248274,32.94792440476523,1335.700269700201,,,8
9,u. olhanen., ,pre_puberty,,Guarding hole in substrate from intruders.,"['Sea Sponge', 'Hermit Crab', 'Sea Star', 'Mussel']",8.0,16.5,21.277040019874,100.16357569848437,14.970400938034414,,,9
10,u. olhanen.,female,sub_adult,False,Swiftly dashing across exposed sand.,"['Sea Anemone', 'Crab (Other Species)', 'Hermit Crab', 'Coral Fragment', 'Small Fish']",5.0,43.761842943649214,44.134669029808684,33.08073691507902,37.900995180634546,,,10
11,A farensis,male,sub_adult,,Adopting threatening stance when approached.,"['Sea Sponge', 'Sea Star', 'Shrimp', 'Mussel', 'Polychaete Worm']",7.0,31.25,34.24397901166978,827.880301253532,26.144330806508048,,,11
12,U. olhanensis,N/R,adult,,Color change during molting stress.,"['Sea Sponge', 'Polychaete Worm', 'Jellyfish', 'Sea Star', 'Coral Fragment']",10.0,22.5,24.388237858801055,140.29071346659205,20.052660582395898,,,12
13,u. olhanen.,female,pre_puberty,False,Feeding on decaying matter among rocks.,['Sea Urchin'],10.0,9.315705637487936,8.329055558653526,7.038071009358598,5.839090858556271,,,13
14,u. olhanen.,male,pre_puberty,,Nibbling detritus off seabed patches.,"['Sea Anemone', 'Small Fish']",10.0,24.0,18.45264434853429,16.28647630495858,263.6024328398732,,,14
15,A farensis,male,pre_puberty,,Entering burrow after disturbance.,"['Polychaete Worm', 'Shrimp', 'Barnacle']",8.0,36.0,35.04291157290082,29.513968686722404,897.2695522650816,,,15
16,u. olhanen.,male,adult,,Picking algae carefully off rock faces.,['Shrimp'],8.0,76.5,82.43858221159067,72.90861377441568,3730.522919400625,,,16
17,A. Farensis,female,adult,True,Waving claw in signal to another crab.,"['Coral Fragment', 'Mussel', 'Crab (Other Species)', 'Small Fish', 'Snail']",8.0,8.222040657907236,8.086568084559463,7.596931282353106,6.361107827010947,,,17
18,u. olhanen.,male,adult,,Staying half-submerged in loose sand.,"['Small Fish', 'Shrimp', 'Mussel', 'Algae']",9.0,57.0,54.5072485311551,44.72416041595485,2357.0185765194396,,,18
19,u. olhanen., ,adult,,Rapid clawing during feeding bouts.,"['Sea Anemone', 'Snail', 'Algae', 'Small Fish', 'Shrimp']",3.0,87.0,80.98545575926586,1278.1422070344734,70.09492748519172,,,19
20,u. olhanen.,male,sub_adult,True,Progressing cautiously through new area.,"['Sea Anemone', 'Snail']",12.0,13.75,13.767992532310224,121.72904856208608,11.177178158347076,,,20
