,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,U. olhanensis,male,adult,True,Vibrating antennae in flowing current.,"['Sea Sponge', 'Snail', 'Hermit Crab', 'Sea Anemone', 'Small Fish']",6.0,9.0,9.6571796243217,12.008671057602852,9.844399958438386,39.0,2021-01-16,37.02606,-8.01873,0
1,u. olhanen., ,adult,,Protecting territory in confined space.,"['Barnacle', 'Coral Fragment', 'Shrimp', 'Sea Sponge']",13.0,42.0,40.509148545362265,54.16926366991284,44.416060276825334,40.0,2021-01-16,,,1
2,A. Farensis,female,adult,False,"Stationary, blending into rocky backdrop.","['Sea Sponge', 'Mussel', 'Sea Anemone', 'Snail', 'Small Fish']",8.0,33.207286528721674,33.272389171945775,47.32883231015523,33.711539034732034,38.0,2021-01-16,,,2
3,Ucides alvorensis,male or female,pre_puberty,,Feeding on decaying matter among rocks.,"['Coral Fragment', 'Crab (Other Species)', 'Shrimp', 'Sea Urchin', 'Mussel']",8.0,15.75,16.97140120107866,24.846963139722742,16.591455992791474,38.0,2021-01-16,,,3
4,u. olhanen.,male,juvenile,,Nibbling detritus off seabed patches.,"['Shrimp', 'Polychaete Worm', 'Algae']",10.0,9.0,8.514820789235904,12.307405678771515,9.140478944618089,39.0,2021-01-16,,,4
5,A farensis,male,sub_adult,,Mating ritual involving antennae brushing.,"['Crab (Other Species)', 'Mussel', 'Coral Fragment']",10.0,27.5,26.233927021434376,39.32120948104516,28.08754486165737,38.0,2021-01-16,,,5
6,A. Farensis,female,sub_adult,False,Frequent pausing while exploring.,"['Sea Anemone', 'Shrimp', 'Algae']",6.0,18.128997116603085,16.970446927115415,24.583344671460722,19.53784137249989,39.0,2021-01-16,,,6
7,A. Farensis,female,pre_puberty,False,Slowly navigating around seagrass beds.,['Hermit Crab'],8.0,10.978011734809158,9.028705971791535,12.399115920252756,11.373980369120611,39.0,2021-01-16,,,7
8,A. Farensis,male,pre_puberty,,Adopting threatening stance when approached.,"['Polychaete Worm', 'Shrimp', 'Mussel', 'Sea Anemone']",7.0,7.5,8.093379834634513,10.494345665556974,8.183584367229466,40.0,2021-01-16,,,8
9,A. Farensis,female,sub_adult,False,Progressing cautiously through new area.,['Hermit Crab'],8.0,19.14080668350671,20.14932817227517,25.33715124936497,20.38984663618527,38.0,2021-01-16,,,9
