,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,A farensis,female,sub_adult,False,Grazing on mollusks among debris.,['Jellyfish'],8.0,14.012640149951654,16.5359572912315,15.221712488470978,14.60378954933702,37.02606,-8.01873,0
1,u. olhanen.,male,sub_adult,,Nibbling detritus off seabed patches.,['Sea Sponge'],9.0,5.0,5.874378008244664,17.70829544870685,5.234482635801189,,,1
2,U. olhanensis,male,pre_puberty,,Scaling steep rock faces near shore.,"['Sea Sponge', 'Barnacle', 'Small Fish', 'Snail']",9.0,6.0,4.386732311670489,11.526757232145195,3.2247374576162744,,,2
3,u. olhanen.,male,adult,,Concealing self beneath floating matter.,['Barnacle'],7.0,19.5,18.79094027727066,13.434120917218996,281.1924995355129,,,3
4,A farensis,male,juvenile,,Frequent pausing while exploring.,"['Crab (Other Species)', 'Barnacle', 'Sea Sponge', 'Algae', 'Sea Anemone']",6.0,2.0,1.505238849078157,1.2928322274882083,1.6093292397394254,,,4
5,U. olhanensis,female,sub_adult,False,Clambering up submerged tree trunks.,"['Sea Star', 'Hermit Crab']",7.0,21.266314931495852,19.72295845484542,16.01204206139049,16.987962261537614,,,5
6,U. olhanensis,female,pre_puberty,False,Defensive claw movement in water.,"['Polychaete Worm', 'Sea Urchin', 'Crab (Other Species)', 'Barnacle']",4.0,7.489745357034204,5.710660212089095,5.585384498146319,5.096742156914927,,,6
7,Ucides alvorensis,female,pre_puberty,True,Sifting through sediment for scraps.,"['Sea Urchin', 'Algae', 'Jellyfish']",13.0,16.16846162322208,11.487634917478056,10.813971890532837,8.256935458606188,,,7
8,u. olhanen.,female,sub_adult,False,Collecting biofilm from sunken wood.,"['Polychaete Worm', 'Jellyfish', 'Sea Sponge', 'Crab (Other Species)', 'Hermit Crab']",4.0,29.435998780427358,26.557621406129602,18.052585135704238,23.26131081740548,,,8
9,U. olhanensis,female,adult,False,Brief social contact with fellow crabs.,"['Sea Star', 'Shrimp', 'Hermit Crab', 'Jellyfish']",11.0,25.912030644178685,31.029293034122222,27.50557547290229,21.90568146602547,,,9
10,u. olhanen.,male,adult,True,Frequent pausing while exploring.,"['Snail', 'Barnacle']",8.0,10.5,11.075175306424216,9.067155758088877,84.08013230862471,,,10
11,A farensis,female,sub_adult,False,Slowly navigating around seagrass beds.,['Coral Fragment'],3.0,20.78746199915356,25.7462935686698,24.039087967128463,22.530301868409033,,,11
12,U. olhanensis,female,adult,True,Scuttling swiftly over rocky terrain.,"['Hermit Crab', 'Coral Fragment', 'Sea Star']",13.0,29.993065971252765,31.094516710533586,27.55234241829593,27.52270879323133,,,12
13,U. olhanensis,male,pre_puberty,,Feeding on small crustaceans in crevices.,['Mussel'],9.0,11.25,13.14747227160858,9.652212036160444,120.18404593429993,,,13
14,A. Farensis,female,adult,True,Scaling steep rock faces near shore.,"['Mussel', 'Sea Urchin']",12.0,30.313479790801587,26.873856447366208,19.027011110192003,21.004093974608274,,,14
15,A. Farensis,male,adult,,Slowly navigating around seagrass beds.,['Sea Urchin'],11.0,13.5,12.887637727454203,103.36530224768612,9.487542357434826,,,15
16,A farensis,male,pre_puberty,,Searching tidal pools for nutrients.,"['Hermit Crab', 'Sea Urchin', 'Sea Star']",11.0,13.5,11.634973730564996,9.577484997810815,70.6998916235637,,,16
17,A farensis,female,sub_adult,False,Protecting territory in confined space.,"['Sea Star', 'Snail', 'Shrimp', 'Small Fish', 'Sea Urchin']",10.0,6.731627612155613,8.123830210101234,5.818229759384851,6.093664529456597,,,17
18,U. olhanensis,male,adult,,Protecting territory in confined space.,"['Small Fish', 'Polychaete Worm']",7.0,45.0,41.24212862852185,31.778758457160347,924.2470619890046,,,18
19,A farensis,-,adult,,Feeding on small crustaceans in crevices.,"['Sea Star', 'Sea Urchin', 'Hermit Crab', 'Crab (Other Species)', 'Jellyfish']",6.0,30.25324726383334,33.92404411831927,26.199911672921797,30.83062408741263,,,19
20,Ucides alvorensis,N/R,sub_adult,True,"Stationary, blending into rocky backdrop.","['Sea Sponge', 'Barnacle', 'Shrimp', 'Sea Urchin', 'Hermit Crab']",8.0,42.249932752016434,39.42526163502857,32.079966655089656,35.5653508823089,,,20
21,U. olhanensis,female,adult,True,Rhythmic waving as social cue.,"['Crab (Other Species)', 'Snail', 'Sea Anemone']",9.0,29.914429214834254,32.390089116546584,28.842608565079463,27.783471038566734,,,21
22,U. olhanensis,male,pre_puberty,,Vibrating antennae in flowing current.,"['Sea Urchin', 'Mussel', 'Shrimp']",11.0,13.5,10.007117289640927,8.342973281917601,64.38373576588381,,,22
23,A farensis,male,adult,,Color change during molting stress.,"['Shrimp', 'Jellyfish', 'Barnacle', 'Coral Fragment', 'Small Fish']",7.0,43.5,45.435192314759604,1342.4777667866056,36.679590712340044,,,23
24,U. olhanensis,female,adult,False,Guarding eggs beneath body flap.,"['Algae', 'Sea Star', 'Mussel', 'Coral Fragment', 'Sea Sponge']",8.0,41.24984419641696,43.198164261928966,38.863710633959286,37.64312275850267,,,24
25,U. olhanensis,male,adult,,Emerging slowly after perceived threat.,"['Jellyfish', 'Sea Urchin', 'Crab (Other Species)']",9.0,30.0,27.556576183034256,565.6894785155259,19.55205189595942,,,25
26,A farensis,female,adult,True,Retreating swiftly from perceived danger.,"['Algae', 'Hermit Crab', 'Barnacle']",10.0,17.10517448674866,17.93214444958154,16.312791314070985,14.499724605578551,,,26
27,u. olhanen.,female,adult,False,Slowly navigating around seagrass beds.,"['Sea Star', 'Hermit Crab', 'Algae', 'Jellyfish', 'Barnacle']",9.0,29.46583996048798,37.69422906001856,26.42949458231574,30.556482338478666,,,27
28,U. olhanensis,female,adult,False,Hiding beneath overhanging rock.,"['Sea Urchin', 'Small Fish']",9.0,9.776877443127805,12.031470067968241,8.218634680636061,9.794730456416245,,,28
29,u. olhanen.,female,adult,False,Rapid clawing during feeding bouts.,"['Polychaete Worm', 'Jellyfish', 'Sea Urchin']",10.0,13.956268066872413,15.467262588052115,15.04817866122082,13.104126213216173,,,29
30,u. olhanen.,male,pre_puberty,True,Entering burrow after disturbance.,['Jellyfish'],7.0,6.75,7.19437596105383,6.345557880062546,35.63119422577995,,,30
31,U. olhanensis,male,adult,,Scavenging at the edge of tidal pools.,"['Hermit Crab', 'Sea Anemone', 'Sea Star', 'Barnacle', 'Coral Fragment']",6.0,13.5,14.082528813543128,12.511898332797655,115.47743107401776,,,31
32,u. olhanen.,female,sub_adult,False,Consuming algae scraped from barnacles.,"['Sea Star', 'Mussel', 'Small Fish', 'Polychaete Worm', 'Algae']",4.0,13.195621529068017,11.265640595635928,6.846312878127045,8.62064624861315,,,32
33,u. olhanen.,male,juvenile,,Scavenging at the edge of tidal pools.,"['Sea Star', 'Crab (Other Species)', 'Algae']",7.0,8.0,5.04492118296391,17.7773845652396,3.698228057334281,,,33
34,A farensis,female,juvenile,False,Claw snapping in aggressive encounter.,"['Snail', 'Crab (Other Species)', 'Sea Sponge']",5.0,7.979755764357594,8.108105109772461,8.025018669551292,5.8061923089477085,,,34
35,u. olhanen.,male,sub_adult,,Camouflaging with nearby mud.,"['Polychaete Worm', 'Coral Fragment', 'Sea Urchin']",7.0,15.0,16.80927600008928,12.636119679124901,195.5521833341536,,,35
36,A. Farensis,male,pre_puberty,,Collecting biofilm from sunken wood.,['Crab (Other Species)'],7.0,9.75,12.651346549815884,10.206755453212748,108.95250251088297,,,36
37,A. Farensis,male,pre_puberty,,"Burrowing into soft, sandy sediment.","['Sea Urchin', 'Polychaete Worm', 'Small Fish']",9.0,15.0,16.971898980001196,12.481790292080657,186.26568605884873,,,37
