,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,146,37,124
0,5.0,12.641522210830308,4.0,U. olhanensis,-8.01873,False,2.6468569208561736,pre_puberty,male,1.0,12.087442710309555,37.02606,"['Snail', 'Sea Urchin', 'Shrimp', 'Coral Fragment']",11.0,Exploring new territory.,,,
1,14.0,11.773583670882093,2.0,A farensis,,False,0.07865958906892086,sub_adult,female,2.0,16.649427127857653,,"['Polychaete Worm', 'Barnacle', 'Hermit Crab', 'Sea Sponge', 'Jellyfish']",10.0,Hiding beneath rocks.,,,
2,18.0,11.370892962265577,7.0,u. olhanen.,,False,2.1047564689606584,pre_puberty,male,3.0,16.932849548567397,,['Sea Sponge'],5.0,Claw waving directed at nearby crab.,,,
3,31.0,11.673044112109348,2.0,A farensis,,False,1.5375035769141476,adult,female,4.0,19.1198472451781,,"['Algae', 'Coral Fragment', 'Sea Sponge', 'Sea Anemone']",9.0,Picking algae from rock surface.,,,
4,12.0,11.972871439217053,6.0,A. Farensis,,False,20.065561355550187,juvenile,male,5.0,16.70534402631396,,"['Sea Anemone', 'Coral Fragment']",12.0,Searching for mates at twilight.,,,
5,15.0,14.10627613166604,2.0,u. olhanen.,,False,1.332334987287307,adult,male,6.0,16.98216605040757,,"['Sea Anemone', 'Polychaete Worm', 'Mussel', 'Snail', 'Jellyfish']",9.0,Searching for food in tidal pools.,,,
6,8.0,12.648283248512287,8.0,A. Farensis,,False,5.411708660695502,sub_adult,male,7.0,16.255436915046083,,"['Shrimp', 'Crab (Other Species)', 'Snail', 'Algae']",7.0,Social contact with other crabs.,,,
7,10.0,13.656039950297828,2.0,A farensis,,False,2.0865664401306168,sub_adult,female,8.0,15.768107354599964,,"['Sea Star', 'Hermit Crab', 'Jellyfish']",6.0,Exchanging antenna taps.,,,
8,18.0,12.80385723511918,5.0,A. Farensis,,False,43.178230753310785,sub_adult,male,9.0,16.05310438617546,,"['Algae', 'Sea Anemone', 'Sea Urchin', 'Small Fish']",7.0,Feeding on small crustaceans.,,,
9,6.0,14.795714799272966,10.0,A. Farensis,,False,11.642176743747847,sub_adult,female,10.0,13.22704467357104,,"['Algae', 'Sea Sponge']",5.0,Emerging cautiously from hiding.,,,
