,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,A. Farensis,male,adult,True,Engaging in struggle with seaweed entanglement.,"['Jellyfish', 'Sea Sponge', 'Crab (Other Species)']",8.0,18.0,18.519061495745255,23.19762341101429,18.585144160247964,44.0,2020-07-27,37.02606,-8.01873,0
1,A farensis,male,adult,,Reacting to sudden changes in temperature.,"['Sea Star', 'Snail', 'Algae']",8.0,18.0,18.34366457915478,23.42520420612836,18.89445904515748,44.0,2020-07-27,,,1
2,Ucides alvorensis,N/R,pre_puberty,,Performing dominance display by body lifting.,['Hermit Crab'],12.0,8.25,9.858051356407517,12.5740781392192,8.345792698733073,44.0,2020-07-27,,,2
3,u. olhanen.,male,sub_adult,,Concealing self beneath floating matter.,"['Crab (Other Species)', 'Shrimp', 'Polychaete Worm', 'Sea Urchin']",9.0,26.25,30.312955652292775,38.131813204296236,28.344744872525748,44.0,2020-07-27,,,3
4,A farensis,female,sub_adult,False,Clambering up submerged tree trunks.,"['Algae', 'Sea Star', 'Hermit Crab', 'Sea Anemone', 'Shrimp']",7.0,10.91539133805532,10.896550414736675,13.730831638544158,11.091046235565768,45.0,2020-07-27,,,4
5,u. olhanen.,female,adult,False,Scavenging at the edge of tidal pools.,"['Jellyfish', 'Algae', 'Hermit Crab']",8.0,21.466151566713595,23.15770581768211,32.56799853554346,23.44746209140322,44.0,2020-07-27,,,5
6,u. olhanen.,female,pre_puberty,True,Grazing on mollusks among debris.,"['Hermit Crab', 'Sea Sponge', 'Jellyfish', 'Shrimp']",13.0,13.034253343962794,16.84949446260669,22.230702384111613,13.166214576905862,43.0,2020-07-27,,,6
7,A. Farensis,female,sub_adult,False,Creeping under the cover of seagrass.,"['Sea Star', 'Hermit Crab']",8.0,16.83026250772708,13.23893703972476,19.815265770104293,17.669318890528107,44.0,2020-07-27,,,7
8,A farensis,male,adult,,"Stationary, blending into rocky backdrop.",['Hermit Crab'],8.0,28.5,27.523531680947347,38.69810227454688,29.763520109430846,45.0,2020-07-27,,,8
9,u. olhanen.,male,sub_adult,,Adopting threatening stance when approached.,"['Small Fish', 'Snail', 'Crab (Other Species)']",9.0,11.25,-999.0,12.764102672720956,11.915965290009398,43.0,2020-07-27,,,9
10,U. olhanensis,male,adult,True,Swiftly dashing across exposed sand.,"['Algae', 'Hermit Crab', 'Barnacle', 'Shrimp']",11.0,43.5,45.55943662958778,67.92814577631995,43.73938171372211,42.0,2020-07-27,,,10
11,U. olhanensis,female,adult,True,Taking cover beneath seagrass leaves.,"['Small Fish', 'Shrimp', 'Sea Sponge', 'Algae']",9.0,20.614348589919224,18.2539310984017,27.339656291276803,21.270791490256475,45.0,2020-07-27,,,11
12,u. olhanen.,female,adult,False,Engaging in struggle with seaweed entanglement.,"['Snail', 'Barnacle', 'Crab (Other Species)', 'Jellyfish']",11.0,15.420459009511182,15.667025514889811,22.39090643574984,16.11267227431357,45.0,2020-07-27,,,12
13,U. olhanensis,-,pre_puberty,,Entering burrow after disturbance.,['Coral Fragment'],7.0,15.0,12.5841699419647,18.16402298185245,16.40099306160588,43.0,2020-07-27,,,13
14,A. Farensis,male,pre_puberty,,Approaching small fish with curiosity.,"['Sea Sponge', 'Snail', 'Coral Fragment', 'Hermit Crab', 'Shrimp']",11.0,17.25,17.538441653922284,23.665313142819947,18.971416870153686,45.0,2020-07-27,,,14
15,u. olhanen.,male,juvenile,,Progressing cautiously through new area.,"['Hermit Crab', 'Coral Fragment', 'Sea Sponge']",6.0,10.0,6.809786891489969,9.773222663910262,10.62981123036133,44.0,2020-07-27,,,15
16,A. Farensis,female,sub_adult,False,Camouflaging with nearby mud.,"['Jellyfish', 'Coral Fragment', 'Snail']",7.0,25.319153373445275,22.759510000591018,29.370087014051254,26.79653353095085,45.0,2020-07-27,,,16
17,U. olhanensis, ,adult,,Concealing self beneath floating matter.,"['Algae', 'Crab (Other Species)', 'Coral Fragment', 'Hermit Crab', 'Sea Sponge']",8.0,16.5,16.72855234207545,24.26039091782362,17.985939664267057,43.0,2020-07-27,,,17
18,U. olhanensis,male,pre_puberty,,Concealing self beneath floating matter.,"['Jellyfish', 'Shrimp', 'Sea Urchin', 'Crab (Other Species)', 'Barnacle']",11.0,10.5,11.699880577532719,16.926296514841674,10.769800348009378,44.0,2020-07-27,,,18
19,A farensis,male,sub_adult,,Mating ritual involving antennae brushing.,['Small Fish'],11.0,11.25,10.836116084944944,16.229928802304972,11.722396000299923,44.0,2020-07-27,,,19
20,A farensis,female,adult,False,Consuming algae scraped from barnacles.,"['Snail', 'Algae', 'Sea Anemone', 'Crab (Other Species)']",11.0,11.979045006300513,14.407078294532223,17.6432382984146,12.254149263107003,45.0,2020-07-27,,,20
21,u. olhanen.,male,sub_adult,,Emerging slowly after perceived threat.,['Shrimp'],6.0,11.25,12.473098404381165,15.266508465365112,11.625292301906601,45.0,2020-07-27,,,21
22,A. Farensis,nan,pre_puberty,,"Stationary, blending into rocky backdrop.","['Sea Urchin', 'Algae', 'Polychaete Worm', 'Sea Sponge']",10.0,8.25,9.822301183023562,12.754331279549477,8.876992920573905,45.0,2020-07-27,,,22
23,u. olhanen.,male,adult,,Camouflaging with nearby mud.,"['Snail', 'Hermit Crab', 'Algae']",9.0,39.0,38.84801244264165,56.129828078669135,41.241308537593824,45.0,2020-07-27,,,23
24,Ucides alvorensis,male or female,pre_puberty,,Darting away in response to sudden shadow.,"['Jellyfish', 'Sea Anemone', 'Sea Sponge', 'Algae']",8.0,21.0,26.351128281741335,31.656368179892393,21.102264141361193,46.0,2020-07-27,,,24
25,U. olhanensis,male,sub_adult,,Color change during molting stress.,"['Hermit Crab', 'Coral Fragment']",7.0,50.0,54.77293187166639,78.44323457561345,52.91097138151398,44.0,2020-07-27,,,25
26,A farensis,female,sub_adult,True,Grazing on mollusks among debris.,"['Sea Anemone', 'Snail', 'Hermit Crab', 'Polychaete Worm']",9.0,25.75857916763968,26.606955870321514,32.12726727101058,27.683123201784383,44.0,2020-07-27,,,26
27,Ucides alvorensis,N/R,sub_adult,,Color change during molting stress.,"['Crab (Other Species)', 'Small Fish', 'Hermit Crab']",6.0,11.25,9.639113568720814,12.836184644232333,11.271174762765547,44.0,2020-07-27,,,27
28,U. olhanensis,female,adult,False,Mating ritual involving antennae brushing.,['Hermit Crab'],11.0,24.196298211866786,25.74505950033204,32.43121921953165,25.575168492233768,44.0,2020-07-27,,,28
29,A farensis,female,pre_puberty,True,Harvesting food beneath floating debris.,"['Algae', 'Jellyfish', 'Sea Urchin', 'Polychaete Worm']",10.0,8.462520250963014,10.686760913881376,14.099749024510547,8.512953461517885,45.0,2020-07-27,,,29
30,u. olhanen.,male,sub_adult,True,Grazing on mollusks among debris.,"['Jellyfish', 'Sea Sponge']",10.0,6.25,7.036915043588548,9.65095046076434,6.757309388857423,44.0,2020-07-27,,,30
31,U. olhanensis,male,pre_puberty,,Slowly navigating around seagrass beds.,"['Crab (Other Species)', 'Polychaete Worm']",5.0,8.25,9.462311308435995,13.052450068349506,8.595124609036684,45.0,2020-07-27,,,31
32,U. olhanensis, ,sub_adult,,Swiftly dashing across exposed sand.,['Sea Sponge'],9.0,18.75,22.06653394453537,31.001335455039467,19.6729136237912,44.0,2020-07-27,,,32
33,u. olhanen.,female,juvenile,False,Claw snapping in diver confrontation.,"['Algae', 'Crab (Other Species)', 'Shrimp', 'Small Fish', 'Barnacle']",4.0,11.081515384039017,11.60709711232035,15.737873319697709,11.983693199493022,46.0,2020-07-27,,,33
34,A. Farensis,male,sub_adult,,Slowly navigating around seagrass beds.,"['Shrimp', 'Barnacle', 'Sea Anemone', 'Algae']",7.0,35.0,40.48191844809767,55.83240542457429,38.10678592497849,45.0,2020-07-27,,,34
35,A farensis,female,adult,True,"Burrowing into soft, sandy sediment.","['Crab (Other Species)', 'Sea Star', 'Algae']",12.0,13.497351766714798,15.988639927108714,23.288178046080375,14.41655136100198,45.0,2020-07-27,,,35
36,U. olhanensis,female,juvenile,True,Lying still to avoid detection.,"['Polychaete Worm', 'Coral Fragment', 'Mussel', 'Snail']",7.0,2.5298361965900678,1.4918640145201596,2.0824562321607183,2.618825105728432,46.0,2020-07-27,,,36
37,u. olhanen.,male,sub_adult,,Foraging through tangled seagrass roots.,['Hermit Crab'],4.0,25.0,24.291181847195944,29.957666418561057,26.431864407857013,45.0,2020-07-27,,,37
38,U. olhanensis,female,adult,False,Claw shaking post-contact gesture.,['Sea Sponge'],5.0,14.74825532050541,18.166974952982965,24.747872081571977,14.832304943650058,44.0,2020-07-27,,,38
