,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,A. Farensis,female,pre_puberty,True,Gradual movement in cold conditions.,"['Sea Sponge', 'Snail']",12.0,9.187600885903077,9.28214312331486,6.783978976901356,7.828579526805171,37.02606,-8.01873,0
1,u. olhanen.,female,juvenile,False,Sheltering under broken shell piece.,"['Polychaete Worm', 'Snail', 'Algae']",8.0,14.562727118899405,14.307296813420347,10.63271294141543,12.45682261337111,,,1
2,A farensis,male,juvenile,,Waving claw in signal to another crab.,"['Mussel', 'Barnacle']",8.0,16.5,12.3128294104627,76.54992298583134,9.652432927210493,,,2
3,A. Farensis,female,adult,False,Vibrating antennae in flowing current.,['Algae'],7.0,33.91060500462323,42.35683817765003,27.56742660945273,32.653171622721146,,,3
4,A. Farensis,female,pre_puberty,False,Slowly navigating around seagrass beds.,"['Polychaete Worm', 'Sea Star', 'Sea Anemone', 'Mussel']",9.0,13.813730773910464,13.276187488873033,11.54269424975004,11.868362223524533,,,4
5,u. olhanen.,female,adult,False,Mating ritual involving antennae brushing.,"['Crab (Other Species)', 'Shrimp', 'Barnacle', 'Small Fish']",10.0,35.787870092868744,37.45052365069238,28.159973661031092,30.920208421651985,,,5
6,u. olhanen.,female,adult,False,Entering burrow after disturbance.,"['Shrimp', 'Sea Sponge', 'Sea Anemone']",14.0,65.25040439778131,61.44818775519042,39.673901157252196,54.89173678169545,,,6
7,A. Farensis,male,adult,,Defensive claw movement in water.,"['Hermit Crab', 'Sea Star', 'Shrimp', 'Jellyfish']",6.0,60.0,54.331405241684664,1769.4908434251631,45.110858193658466,,,7
8,u. olhanen.,female,adult,True,Claw snapping in diver confrontation.,"['Snail', 'Mussel', 'Algae']",8.0,42.2825644870914,44.583973799599086,31.61908754947315,36.48590516331251,,,8
9,Ucides alvorensis,male,juvenile,,Guarding eggs beneath body flap.,"['Barnacle', 'Snail', 'Jellyfish']",10.0,9.5,9.71254285456862,6.92783684105353,67.1181702690045,,,9
10,u. olhanen.,male,pre_puberty,True,Concealing self beneath floating matter.,['Small Fish'],12.0,6.75,6.8795551913098105,26.01341441363861,5.169997946359006,,,10
