,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
0,A farensis,male,a,True,Searching tidal pools for nutrients.,"['Sea Anemone', 'Mussel']",8.0,1.7727272727272727,1.7109797802239568,2.153331932997634,1.921361338028449,2.909090909090909,2021-05-22,37.1,-8.62,0
1,A. Farensis,female,a,False,Performing dominance display by body lifting.,"['Jellyfish', 'Polychaete Worm']",6.0,0.7320127815174771,0.819409185279866,1.0916301076127324,0.7365955751511006,2.727272727272727,2021-05-22,,,1
2,U. olhanensis,female,a,False,Brief social contact with fellow crabs.,"['Algae', 'Sea Urchin']",5.0,4.387202178299673,3.7462478184666526,4.915975915510051,4.5116916608637325,2.8181818181818183,2021-05-22,,,2
3,u. olhanen.,male,a,,Resisting aggressive fish encounter.,['Sea Star'],7.0,1.9090909090909092,1.9483859063812305,2.6119211582386237,2.07690367080698,2.909090909090909,2021-05-22,,,3
4,A farensis,male,j,,Retreating swiftly from perceived danger.,"['Barnacle', 'Crab (Other Species)']",7.0,2.090909090909091,2.596953172167995,3.827832615790021,2.294250742858397,2.8181818181818183,2021-05-22,,,4
5,U. olhanensis,male,s,,Resting in shaded crevice along cliff.,['Sea Star'],8.0,1.4772727272727273,1.3342941482185475,1.7899204132783146,1.5056159658509793,2.6363636363636362,2021-05-22,,,5
6,u. olhanen.,male,s,,Resting in shaded crevice along cliff.,"['Polychaete Worm', 'Jellyfish']",5.0,4.886363636363637,5.482557026681446,7.992462513445958,5.026222238878433,2.8181818181818183,2021-05-22,,,6
7,u. olhanen.,male,a,,Protecting territory in confined space.,['Mussel'],10.0,1.2272727272727273,1.1807581627265087,1.7328834474841117,1.2929713419178677,2.6363636363636362,2021-05-22,,,7
8,A. Farensis,male,a,,Progressing cautiously through new area.,"['Mussel', 'Jellyfish', 'Polychaete Worm']",4.0,4.363636363636363,4.643031413626544,6.542992418078881,4.641213705950992,2.727272727272727,2021-05-22,,,8
9,A. Farensis,female,s,False,Vibrating antennae in flowing current.,"['Sea Urchin', 'Shrimp', 'Coral Fragment']",5.0,1.1764232899704135,1.152472975118454,1.4409052173977508,1.1853016242381307,2.6363636363636362,2021-05-22,,,9
10,u. olhanen.,male,s,True,Scaling steep rock faces near shore.,"['Small Fish', 'Coral Fragment']",4.0,6.704545454545454,8.034028882750347,10.87001127318038,6.9195954657462115,2.8181818181818183,2021-05-22,,,10
11,u. olhanen.,female,s,False,Nibbling detritus off seabed patches.,"['Sea Star', 'Shrimp', 'Sea Sponge']",5.0,1.5502483166501577,1.3128798584772665,1.9173168370157379,1.6268352025111203,2.8181818181818183,2021-05-22,,,11
12,Ucides alvorensis,female,p,False,Resting in shaded crevice along cliff.,"['Jellyfish', 'Polychaete Worm', 'Sea Urchin']",4.0,2.9602097068125772,3.0547789743470304,4.3456490768556355,3.1070786616797434,2.727272727272727,2021-05-22,,,12
13,A farensis,female,a,False,Feeding on small crustaceans in crevices.,"['Mussel', 'Sea Sponge', 'Crab (Other Species)']",5.0,2.5890279401208653,2.6299940024811854,3.400673913821818,2.7154752071275037,2.727272727272727,2021-05-22,,,13
14,u. olhanen.,female,a,False,Traversing algae-slick rock surfaces.,"['Shrimp', 'Algae', 'Sea Sponge']",9.0,7.248959809814765,6.802340958384536,9.974932202242417,7.705477351045962,2.727272727272727,2021-05-22,,,14
15,A. Farensis,female,p,False,Retreating quickly into hidden burrow.,"['Algae', 'Shrimp', 'Mussel']",9.0,0.9859283010044447,1.1765767978454102,1.5210578907774546,1.0490159937440908,2.727272727272727,2021-05-22,,,15
16,A farensis,female,a,False,Brief social contact with fellow crabs.,"['Jellyfish', 'Small Fish']",5.0,0.8584503208589225,0.7447214670741935,1.0361108695518328,0.9294038019994574,2.727272727272727,2021-05-22,,,16
17,U. olhanensis,male,a,,Emerging slowly after perceived threat.,"['Sea Star', 'Snail', 'Crab (Other Species)', 'Jellyfish']",6.0,1.5,1.4410489147113983,1.9476919995528135,1.6320819494505117,2.8181818181818183,2021-05-22,,,17
18,A farensis,male,a,,Interaction with nearby hermit crab.,"['Sea Sponge', 'Sea Star', 'Crab (Other Species)', 'Shrimp']",6.0,2.1818181818181817,2.1171533447249926,3.0003271596460284,2.358351847234336,2.6363636363636362,2021-05-22,,,18
19,U. olhanensis,male,s,,Defensive claw movement in water.,"['Sea Sponge', 'Mussel', 'Polychaete Worm', 'Coral Fragment']",7.0,0.7954545454545454,0.7250601785569774,1.0820556396930996,0.8548165893936457,2.727272727272727,2021-05-22,,,19
20,A. Farensis,male,s,True,Feeding on small crustaceans in crevices.,['Algae'],4.0,0.9090909090909091,1.0562270608286413,1.3754749145146727,0.9641463840599898,2.6363636363636362,2021-05-22,,,20
21,A. Farensis,female,s,False,Feeding on small crustaceans in crevices.,"['Jellyfish', 'Algae', 'Polychaete Worm', 'Sea Star']",4.0,2.15883701303991,1.882880797474737,2.3838244290888677,2.2929784461608596,2.8181818181818183,2021-05-22,,,21
22,u. olhanen.,male,s,,Emerging slowly after perceived threat.,"['Sea Urchin', 'Crab (Other Species)']",7.0,1.3636363636363635,1.3508455021313976,1.7303034301496363,1.3684534412084464,2.727272727272727,2021-05-22,,,22
23,U. olhanensis,female,a,False,Performing dominance display by body lifting.,"['Sea Star', 'Sea Anemone', 'Small Fish']",4.0,4.516727379971968,5.79595716360011,8.073311971661393,4.848715858469887,2.909090909090909,2021-05-22,,,23
24,A. Farensis,male,a,,Scuttling swiftly over rocky terrain.,"['Small Fish', 'Mussel', 'Sea Urchin', 'Coral Fragment']",6.0,4.636363636363637,4.359754430748357,6.276342645625292,5.027085370610243,2.727272727272727,2021-05-22,,,24
25,A. Farensis,female,p,False,Guarding eggs beneath body flap.,"['Small Fish', 'Coral Fragment']",6.0,1.2636926597157354,0.9891151728635544,1.2811780747378503,1.2812111745193917,2.727272727272727,2021-05-22,,,25
26,A. Farensis,female,p,False,Taking cover beneath seagrass leaves.,"['Coral Fragment', 'Sea Sponge', 'Sea Anemone', 'Mussel']",11.0,3.136418645534741,2.8475948890635903,4.23714760665376,3.404960526443412,2.727272727272727,2021-05-22,,,26
27,A. Farensis,male,a,,Creeping under the cover of seagrass.,['Crab (Other Species)'],6.0,1.6363636363636365,1.6899858385443123,2.345484226714114,-999.0,2.8181818181818183,2021-05-22,,,27
28,A farensis,male,a,,Displaying territorial behavior against intruder.,['Mussel'],5.0,2.1818181818181817,2.1359445307584703,2.732030493179664,2.237298698102945,2.727272727272727,2021-05-22,,,28
29,A. Farensis,female,s,False,Guarding eggs beneath body flap.,"['Crab (Other Species)', 'Small Fish', 'Mussel']",4.0,0.6800041535136868,0.5536730975003329,0.7512509570556728,0.7406042289796493,2.8181818181818183,2021-05-22,,,29
30,A farensis,male,a,True,Foraging through tangled seagrass roots.,"['Sea Sponge', 'Small Fish']",9.0,8.045454545454545,8.766864251041314,11.069211698222922,8.764990450654988,2.909090909090909,2021-05-22,,,30
31,U. olhanensis,male,p,,Color change during molting stress.,['Hermit Crab'],6.0,2.1818181818181817,1.7631937137837228,2.183721475210315,2.3171314882624383,2.727272727272727,2021-05-22,,,31
32,u. olhanen.,female,j,True,Harvesting food beneath floating debris.,"['Algae', 'Sea Anemone', 'Snail', 'Small Fish']",7.0,1.201773089858017,1.0831068081715378,1.5129928653779339,1.2440308881115756,2.727272727272727,2021-05-22,,,32
33,u. olhanen.,male,j,,Brief social contact with fellow crabs.,['Polychaete Worm'],8.0,1.4545454545454546,0.9153220261457282,1.2113125825556783,1.5227427753555944,2.8181818181818183,2021-05-22,,,33
34,A farensis,female,s,False,Engaging in antennae-to-antennae contact.,['Jellyfish'],4.0,2.2469450671245985,2.5363167171996044,3.5335112812290888,2.4664759445064743,2.8181818181818183,2021-05-22,,,34
35,A. Farensis,female,s,True,Resisting aggressive fish encounter.,"['Sea Urchin', 'Jellyfish', 'Hermit Crab', 'Small Fish', 'Crab (Other Species)']",7.0,3.6555207981772715,4.066670170330934,5.829098133570368,3.98656914491808,2.6363636363636362,2021-05-22,,,35
