,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,127,98,15
0,32.0,9.479660039672336,6.0,U. olhanensis,-8.01873,False,0.26779051774857887,adult, ,1.0,17.517774910219767,37.02606,"['Shrimp', 'Barnacle', 'Coral Fragment', 'Jellyfish', 'Hermit Crab']",5.0,Climbing vertical rock face.,,,
1,7.0,9.900822165359871,8.0,A. Farensis,,False,0.16497938404650286,pre_puberty,nan,2.0,14.030180363295948,,"['Algae', 'Polychaete Worm', 'Snail', 'Sea Anemone']",11.0,Foraging among seagrass roots.,,,
2,16.0,8.345393384347693,3.0,A farensis,,False,7.308002730804117,adult,male,3.0,14.970003352371997,,"['Mussel', 'Barnacle', 'Coral Fragment']",6.0,Waving claws rhythmically.,,,
3,30.0,9.797166507751381,6.0,A farensis,,False,1.527432761890545,pre_puberty, ,4.0,17.82038072587557,,"['Algae', 'Shrimp', 'Sea Star', 'Jellyfish']",6.0,Hiding in sandy burrow.,,,
4,27.0,9.416660262112178,7.0,u. olhanen.,,False,4.076007372378382,pre_puberty,?,5.0,16.919599396028023,,['Algae'],9.0,Picking algae from rock surface.,,,
5,7.0,9.378847633626041,3.0,u. olhanen.,,False,6.112759264053007,pre_puberty, ,6.0,15.345909766886649,,"['Shrimp', 'Polychaete Worm', 'Barnacle', 'Sea Anemone']",7.0,Pausing frequently during exploration.,,,
6,21.0,8.063869685509978,8.0,A farensis,,False,10.978795588154846,adult,male,7.0,15.570512572530978,,"['Sea Anemone', 'Mussel', 'Algae']",8.0,Exploring new territory.,,,
7,15.0,8.861900220875889,4.0,u. olhanen.,,False,2.2815325996585556,sub_adult, ,8.0,16.804291523298783,,"['Snail', 'Hermit Crab', 'Small Fish']",7.0,Moving sideways along sandy bottom.,,,
8,16.0,8.934272173002567,3.0,u. olhanen.,,False,0.7326287875191206,juvenile, ,9.0,15.643252657428187,,['Sea Anemone'],10.0,Crab moving quickly across rocks.,,,
9,17.0,9.63255516774778,8.0,U. olhanensis,,False,0.6302828717942226,pre_puberty,female,10.0,15.14890768513129,,"['Hermit Crab', 'Algae', 'Small Fish', 'Mussel', 'Sea Sponge']",8.0,Climbing barnacle-covered surfaces.,,,
10,43.0,7.67851878467892,9.0,u. olhanen.,,True,4.522009656088388,adult,male,11.0,18.47949556914822,,"['Coral Fragment', 'Sea Star']",9.0,Climbing algae-covered rocks.,,,
11,25.0,7.838668542780018,6.0,U. olhanensis,,False,0.6456297925093682,adult,male,12.0,16.11517311608156,,"['Sea Star', 'Crab (Other Species)']",7.0,Rapid crossing of open sand.,,,
12,20.0,8.79110942991494,2.0,A. Farensis,,True,1.0065186041563199,juvenile,male,13.0,16.87903051058029,,"['Hermit Crab', 'Sea Star', 'Polychaete Worm']",9.0,Sitting still blending with environment.,,,
