,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,35,8.05348012393881,3,A farensis,-7.99163,False,10.955038284310827,juvenile,female,1,16.625194592861604,37.01025,"['Barnacle', 'Coral Fragment', 'Sea Sponge']",8,Half buried in sand.
1,28,10.052074313011095,5,A farensis,,False,22.830835928236688,pre_puberty,male,2,15.182545973692372,,"['Hermit Crab', 'Sea Urchin', 'Snail', 'Mussel']",8,Dragging shell fragment backward.
2,22,8.703267568688432,6,A. Farensis,,False,5.56356766751981,pre_puberty,male,3,13.457132728595573,,['Sea Star'],3,Resting in shaded rock crevice.
3,18,10.110401283097968,2,A farensis,,False,13.231819536203112,adult, ,4,14.111552176031768,,"['Crab (Other Species)', 'Sea Sponge', 'Snail']",8,Rapid claw movement while feeding.
4,24,11.57798854718337,5,A. Farensis,,False,2.2703450287710476,pre_puberty,female,5,12.506506527290368,,"['Mussel', 'Crab (Other Species)', 'Sea Star', 'Sea Urchin', 'Algae']",8,Inspecting discarded crab shell.
5,8,9.206218629816195,3,A farensis,,False,59.611580376984776,juvenile,male,6,15.533266999742374,,['Coral Fragment'],8,Climbing seaweed stalks.
6,22,8.278966797181063,5,A. Farensis,,False,3.254838916299504,sub_adult,male,7,14.803898155962374,,"['Jellyfish', 'Sea Urchin', 'Crab (Other Species)']",11,Territorial display against intruder.
7,21,9.182977262036243,4,A farensis,,False,6.9514744679501765,sub_adult,male or female,8,13.139224232754795,,['Coral Fragment'],8,Pausing frequently during exploration.
8,13,11.335304036706685,8,A farensis,,True,150.0,sub_adult,male,9,12.447204644613967,,"['Sea Star', 'Hermit Crab', 'Crab (Other Species)', 'Algae']",9,Using claws to dig into sediment.
9,36,12.315542300543205,2,A. Farensis,,False,21.97224531824561,sub_adult,male,10,14.316107149758198,,"['Crab (Other Species)', 'Mussel', 'Polychaete Worm', 'Sea Sponge']",10,Shaking claws after contact.
10,8,11.021737805190908,3,A farensis,,True,4.070573636440795,juvenile,male,11,15.061020101562661,,['Sea Urchin'],5,Foraging among seagrass roots.
11,27,13.384461227441056,8,A. Farensis,,False,4.793224096490691,juvenile,female,12,13.464308631958723,,"['Coral Fragment', 'Small Fish']",13,Slow movement near seagrass patches.
12,22,9.928609123704936,5,A. Farensis,,True,38.526719683300676,sub_adult,female,13,14.572983820140898,,"['Polychaete Worm', 'Shrimp', 'Algae', 'Crab (Other Species)']",6,Rapid claw movement while feeding.
13,25,11.648855438770767,8,A farensis,,False,0.6254953276377169,sub_adult,female,14,8.915459867448142,,"['Barnacle', 'Sea Sponge', 'Small Fish']",6,Resting under shell fragment.
14,36,11.623595503120509,6,A farensis,,False,1.31746891285281,pre_puberty,male,15,13.48880956052421,,"['Hermit Crab', 'Algae', 'Sea Urchin']",10,Feeding on small mollusks.
15,26,10.63072291913617,8,U. olhanensis,,False,124.45377969710691,pre_puberty,male,16,17.650440062475827,,['Shrimp'],4,Inspecting discarded crab shell.
16,19,11.473604217085715,4,A. Farensis,,False,38.51760177412217,adult,male,17,15.188732274535425,,"['Sea Anemone', 'Barnacle', 'Algae', 'Sea Urchin']",6,Resting under shell fragment.
17,28,7.206225939890834,8,U. olhanensis,,False,150.0,adult,male,18,12.490040364384262,,"['Mussel', 'Sea Anemone']",6,Picking detritus from seabed.
18,42,12.283239859701373,2,A farensis,,False,68.89823820636497,sub_adult,male,19,14.568460588979562,,"['Sea Anemone', 'Jellyfish', 'Polychaete Worm', 'Shrimp', 'Sea Sponge']",6,Rapid crossing of open sand.
