,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],latitude,longitude,id
0,A farensis,male,p,True,Filtering detritus from shallow bottom.,"['Sea Sponge', 'Sea Anemone', 'Jellyfish', 'Polychaete Worm']",10.0,0.9545454545454546,1.162571578015771,4.39866028854939,0.9043969841796833,37.1,-8.62,0
1,A farensis,male,s,,Guarding eggs beneath body flap.,"['Polychaete Worm', 'Sea Star', 'Crab (Other Species)']",8.0,2.840909090909091,2.465789374518519,1.8433363018794113,15.405366652557255,,,1
2,u. olhanen.,male,j,,Scavenging at the edge of tidal pools.,"['Sea Anemone', 'Crab (Other Species)']",12.0,0.36363636363636365,0.5077329121333212,0.41519448479522425,1.2579889798527044,,,2
3,U. olhanensis,male,j,,Advancing toward bait in water.,"['Coral Fragment', 'Sea Anemone', 'Barnacle', 'Polychaete Worm', 'Crab (Other Species)']",4.0,0.7727272727272727,0.7283153792565463,2.3075127384809275,0.5460787891193825,,,3
4,Ucides alvorensis,N/R,j,,"Burrowing into soft, sandy sediment.","['Mussel', 'Algae', 'Sea Anemone']",11.0,2.1818181818181817,2.7031335489941957,8.378553696757429,1.9700079500031302,,,4
5,A farensis,male,s,,Defensive claw movement in water.,['Crab (Other Species)'],8.0,2.6136363636363638,2.99597824308175,2.2167131882792854,25.93693068899461,,,5
6,u. olhanen.,female,s,True,Rhythmic waving as social cue.,"['Algae', 'Barnacle', 'Mussel']",6.0,2.828832658937748,3.249136369598105,2.4395472741255264,2.603132444282915,,,6
7,A farensis,male,p,,Brief social contact with fellow crabs.,['Crab (Other Species)'],7.0,0.8863636363636364,0.6436696740741369,0.5007000311841062,1.6269153974883688,,,7
8,A. Farensis,male,a,,Camouflaging with nearby mud.,"['Algae', 'Sea Anemone']",3.0,3.9545454545454546,4.062219214208203,38.86637831555142,3.63534852739345,,,8
9,U. olhanensis,male,p,,Engaging in antennae-to-antennae contact.,['Polychaete Worm'],9.0,0.6818181818181818,0.7845902550814015,2.148421197008866,0.6596744318305097,,,9
10,A. Farensis,male,j,True,Resisting aggressive fish encounter.,"['Sea Sponge', 'Coral Fragment', 'Shrimp', 'Hermit Crab', 'Crab (Other Species)']",7.0,0.45454545454545453,0.6110807158769377,0.4522828682807091,1.7188516134127787,,,10
11,U. olhanensis,male,s,,Claw snapping in diver confrontation.,"['Crab (Other Species)', 'Shrimp', 'Sea Anemone']",7.0,3.2954545454545454,3.566995322186915,28.26109500749047,3.178820341024098,,,11
12,A farensis,female,j,False,Picking algae carefully off rock faces.,"['Snail', 'Shrimp', 'Hermit Crab']",8.0,0.6444792882905929,0.6440844087665223,0.41967298077899673,0.5769637799995576,,,12
13,U. olhanensis,female,s,False,Waving claw in signal to another crab.,['Barnacle'],13.0,1.1408618891559328,1.11955432342511,0.7110231949602172,0.9809109730806753,,,13
14,A. Farensis,male,s,,Retreating quickly into hidden burrow.,"['Coral Fragment', 'Hermit Crab', 'Crab (Other Species)']",9.0,4.7727272727272725,4.062630601111279,36.92714122672176,2.9913810679873976,,,14
15,Ucides alvorensis,female,j,False,Scavenging at the edge of tidal pools.,['Sea Sponge'],6.0,0.5319140156641978,0.3536029686345908,0.26579378505866846,0.2865892773007736,,,15
16,u. olhanen.,female,a,False,Feeding on small crustaceans in crevices.,['Polychaete Worm'],5.0,2.087989311034446,1.9082872949089607,1.2318780703674803,1.601649599078713,,,16
17,U. olhanensis,male,j,,Adopting threatening stance when approached.,"['Snail', 'Algae', 'Small Fish', 'Sea Urchin', 'Hermit Crab']",7.0,1.4090909090909092,0.8884028635997329,0.7003486387739025,3.0903817167422143,,,17
18,U. olhanensis,male,j,,Performing dominance display by body lifting.,"['Sea Urchin', 'Polychaete Worm', 'Sea Star']",11.0,0.2727272727272727,0.36676111943871115,0.7684112982932021,0.32349059391761953,,,18
19,u. olhanen.,female,s,True,Feeding on decaying matter among rocks.,"['Sea Sponge', 'Small Fish', 'Hermit Crab']",3.0,0.8857999111960276,1.1476244196363021,0.7762081083053645,0.9493827191072696,,,19
20,A. Farensis,-,p,True,Engaging in antennae-to-antennae contact.,"['Barnacle', 'Sea Urchin', 'Crab (Other Species)']",5.0,2.0957631023085246,1.6910220757931114,1.3165853909450538,1.8200673943580028,,,20
21,A farensis,female,a,False,Picking algae carefully off rock faces.,"['Sea Urchin', 'Shrimp', 'Coral Fragment', 'Crab (Other Species)', 'Hermit Crab']",6.0,3.2133559895246075,2.979460405904921,1.8727172371347132,2.4281367722009963,,,21
22,A farensis,nan,s,,Entering burrow after disturbance.,"['Sea Sponge', 'Hermit Crab', 'Coral Fragment']",5.0,2.6136363636363638,2.0922052132690965,4.764018885145073,1.6136673392438334,,,22
23,u. olhanen.,female,p,False,Advancing toward bait in water.,['Sea Urchin'],4.0,0.35626795855404575,0.3765898211922817,0.2877471151284973,0.3275503833021989,,,23
24,A farensis,female,j,False,Resting in shaded crevice along cliff.,"['Hermit Crab', 'Polychaete Worm']",8.0,0.3643327776904021,0.45160291198111824,0.31078750338896916,0.4059589194407139,,,24
25,U. olhanensis,female,s,True,Approaching small fish with curiosity.,['Barnacle'],7.0,3.7741008897345623,4.471749192008999,2.9037138977773815,3.814392596302517,,,25
26,U. olhanensis,male,s,,Reacting to sudden changes in temperature.,"['Mussel', 'Snail', 'Sea Sponge', 'Sea Urchin', 'Shrimp']",6.0,2.272727272727273,2.5795826856412907,2.2240085687254387,19.404151504977143,,,26
27,A. Farensis,male,p,,Claw snapping in aggressive encounter.,"['Snail', 'Mussel', 'Small Fish', 'Crab (Other Species)']",6.0,1.6363636363636365,1.488077997007533,8.070472495657526,1.1909870810089818,,,27
28,A farensis,male,j,,Sifting through sediment for scraps.,"['Shrimp', 'Polychaete Worm', 'Snail', 'Small Fish', 'Sea Anemone']",4.0,1.7727272727272727,1.9131984804672841,1.4935037389486652,11.490637244468656,,,28
29,A farensis,N/R,a,,Engaging in struggle with seaweed entanglement.,"['Sea Star', 'Hermit Crab', 'Shrimp', 'Barnacle', 'Crab (Other Species)']",5.0,2.0454545454545454,1.9573719854839977,5.017485041767457,1.6917880418820226,,,29
30,u. olhanen.,nan,a,True,Resting in shaded crevice along cliff.,['Small Fish'],3.0,1.3636363636363635,1.3513383926228253,2.5738078304249736,1.2109578890868293,,,30
31,u. olhanen.,female,s,False,Consuming algae scraped from barnacles.,"['Jellyfish', 'Coral Fragment', 'Polychaete Worm', 'Mussel', 'Sea Sponge']",8.0,1.3226310789928,1.176720335209165,0.7270842145293357,0.9830442344888314,,,31
32,u. olhanen.,male,s,,Approaching small fish with curiosity.,"['Algae', 'Shrimp']",6.0,1.1363636363636365,1.1987638685478534,0.9786784484280546,5.44536703035893,,,32
33,A. Farensis,male,s,,Retreating swiftly from perceived danger.,"['Coral Fragment', 'Mussel', 'Sea Anemone', 'Snail', 'Sea Star']",5.0,2.6136363636363638,2.8895717520060282,2.5544104536542953,24.392472882242348,,,33
34,A. Farensis,female,j,False,Scaling steep rock faces near shore.,"['Algae', 'Sea Sponge', 'Mussel']",7.0,0.22689566842182068,0.14486646496261077,0.09497861004713823,0.11799826286477343,,,34
35,U. olhanensis,female,s,False,Escaping from pursuing predator silhouette.,"['Crab (Other Species)', 'Shrimp']",7.0,1.3140550365558894,1.0958794700048833,0.6593695500416318,0.8936822831776161,,,35
36,u. olhanen.,female,a,False,Frequent pausing while exploring.,['Snail'],6.0,4.099009186199904,4.759143872597857,3.359568324836009,4.055804183349336,,,36
37,Ucides alvorensis,female,j,True,Progressing cautiously through new area.,"['Hermit Crab', 'Crab (Other Species)', 'Sea Sponge']",6.0,0.2607947832615629,0.2683122636590686,0.18071510430323515,0.23781264889559148,,,37
