,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,U. olhanensis,male,adult,True,Sheltering under broken shell piece.,"['Shrimp', 'Sea Sponge', 'Sea Anemone', 'Small Fish', 'Jellyfish']",13.0,36.0,37.99557167347181,1104.878393265377,32.622443508047795,37.02606,-8.01873,0
1,u. olhanen.,male,adult,,Progressing cautiously through new area.,"['Mussel', 'Snail', 'Sea Star']",8.0,82.5,89.9674643876636,77.37039555641138,5037.958099278995,,,1
2,A. Farensis,female,adult,False,Claw snapping in diver confrontation.,"['Jellyfish', 'Snail', 'Shrimp', 'Sea Urchin', 'Sea Sponge']",6.0,18.20783386959086,16.518038391624817,16.28553914923017,14.271893086551826,,,2
3,U. olhanensis,female,adult,False,Mating ritual involving antennae brushing.,"['Jellyfish', 'Barnacle', 'Snail']",7.0,36.57624004573098,36.992918420108005,34.53261110396326,29.75061789331584,,,3
4,A farensis,female,pre_puberty,False,Sifting through sediment for scraps.,"['Shrimp', 'Jellyfish', 'Small Fish', 'Mussel']",10.0,12.33771086415754,14.139415676584042,9.421143625614077,12.548067581805572,,,4
5,U. olhanensis,male,pre_puberty,,Interaction with nearby hermit crab.,"['Barnacle', 'Crab (Other Species)', 'Small Fish', 'Sea Urchin']",6.0,19.5,24.490059751916704,17.981131664393022,420.85264706727116,,,5
6,Ucides alvorensis,nan,pre_puberty,,Sheltering under broken shell piece.,"['Crab (Other Species)', 'Polychaete Worm', 'Algae', 'Snail']",5.0,6.75,5.924544814405056,13.55393409268564,4.376312307945174,,,6
7,U. olhanensis,male,pre_puberty,,Slowly navigating around seagrass beds.,"['Snail', 'Mussel']",12.0,7.5,8.591276482039715,6.7272742883913335,42.591015628605945,,,7
8,u. olhanen.,male,pre_puberty,,Interaction with nearby hermit crab.,"['Algae', 'Sea Urchin', 'Barnacle']",7.0,15.0,13.422810294028555,11.380143868317957,110.17938631946846,,,8
9,A farensis,male,pre_puberty,,Performing dominance display by body lifting.,"['Mussel', 'Coral Fragment', 'Sea Anemone']",7.0,17.25,17.480153758674703,244.3905612339286,13.045115277167373,,,9
10,u. olhanen.,male,sub_adult,True,Defensive claw movement in water.,"['Sea Anemone', 'Crab (Other Species)']",7.0,58.75,67.50837335280586,3014.261931621117,58.125810023692814,,,10
11,A farensis,male,adult,,Mating ritual involving antennae brushing.,"['Shrimp', 'Hermit Crab', 'Polychaete Worm', 'Algae']",8.0,40.5,40.15749107149397,33.94620346434385,1096.4491864903464,,,11
12,U. olhanensis,female,adult,False,Sifting through sediment for scraps.,"['Algae', 'Mussel']",7.0,11.927991520101815,13.01086783940727,12.122578015122322,10.904357098487589,,,12
13,A farensis,male,pre_puberty,,Retreating quickly into hidden burrow.,"['Mussel', 'Snail']",7.0,6.0,4.533454024623094,3.5451563611334267,14.043935051465796,,,13
14,A farensis,male,juvenile,,Staying half-submerged in loose sand.,"['Crab (Other Species)', 'Small Fish', 'Sea Star', 'Barnacle']",8.0,15.0,14.940357600624289,12.815652800413398,124.44513772050345,,,14
15,u. olhanen.,male,adult,,Filtering detritus from shallow bottom.,"['Algae', 'Barnacle', 'Shrimp', 'Small Fish', 'Snail']",9.0,21.0,21.178410772077847,18.823597641154848,300.21884393803805,,,15
16,u. olhanen.,male,adult,,Staying half-submerged in loose sand.,"['Algae', 'Sea Urchin', 'Hermit Crab', 'Shrimp', 'Snail']",4.0,13.5,14.72147874357952,12.512063029048637,148.93338109153666,,,16
