species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
U. olhanensis,female,adult,False,Moving toward bait.,"['Hermit Crab', 'Polychaete Worm']",4.0,41.11779351736342,41.97929033471408,56.85864270937772,43.944681717388285,49.0,2020-03-08,37.02606,-8.01873,0
A farensis,male,sub_adult,,Defensive posture when approached.,"['Jellyfish', 'Snail', 'Crab (Other Species)', 'Mussel', 'Algae']",8.0,11.25,11.533620400296197,16.416783020888527,11.757274421750893,48.0,2020-03-08,,,1
U. olhanensis,male,adult,,Picking detritus from seabed.,['Shrimp'],9.0,13.5,14.245071180068132,21.271683703559102,13.781468025635734,47.0,2020-03-08,,,2
u. olhanen.,female,pre_puberty,False,Retreating into burrow.,"['Sea Urchin', 'Sea Sponge', 'Sea Star', 'Mussel']",7.0,11.545168398912482,10.699820926578735,15.185671917284141,12.028191336448376,47.0,2020-03-08,,,3
U. olhanensis,-,pre_puberty,,Rapid crossing of open sand.,"['Shrimp', 'Mussel']",9.0,4.5,5.58245768644934,8.363017833767534,4.822242470041719,47.0,2020-03-08,,,4
A farensis,female,adult,False,Emerging cautiously from hiding.,"['Hermit Crab', 'Polychaete Worm', 'Jellyfish', 'Coral Fragment']",6.0,24.3006368301415,26.034827517196902,34.28720794877633,25.258913975656437,49.0,2020-03-08,,,5
u. olhanen.,male,adult,,Cleaning claws with rubbing motion.,"['Hermit Crab', 'Shrimp', 'Sea Star', 'Sea Sponge', 'Algae']",8.0,36.0,35.77602470649251,45.84217763856754,38.777197153478184,48.0,2020-03-08,,,6
A. Farensis,-,adult,,Climbing vertical rock face.,"['Shrimp', 'Coral Fragment']",8.0,6.0,5.603628090886882,7.591080297938607,6.248025214365323,48.0,2020-03-08,,,7
U. olhanensis,female,pre_puberty,True,Hiding under seagrass blades.,"['Coral Fragment', 'Shrimp']",10.0,12.636998086876371,9.389016861289706,12.861645596114029,12.806013566777859,47.0,2020-03-08,,,8
A farensis,female,juvenile,True,Interacting with small fish nearby.,"['Mussel', 'Sea Sponge']",7.0,9.533699799912702,7.276469126005547,10.850428244114546,10.077582216355891,46.0,2020-03-08,,,9
u. olhanen.,female,adult,True,Foraging among seagrass roots.,"['Sea Sponge', 'Polychaete Worm', 'Sea Star']",8.0,39.72086359393497,43.550560433801955,57.61900522208935,43.37792061046974,46.0,2020-03-08,,,10
U. olhanensis,female,adult,False,Struggling with entangled seaweed.,"['Sea Urchin', 'Polychaete Worm', 'Snail']",2.0,4.599128375110486,4.56479735902126,5.631599360254056,5.026074701825359,48.0,2020-03-08,,,11
U. olhanensis,female,adult,False,Social contact with other crabs.,"['Polychaete Worm', 'Coral Fragment', 'Jellyfish', 'Hermit Crab']",14.0,15.34152381043103,16.18762263663272,23.887118633496478,15.744252883949933,49.0,2020-03-08,,,12
u. olhanen.,female,sub_adult,False,Interaction with hermit crabs.,"['Small Fish', 'Snail']",8.0,10.787511776242896,9.048255922326513,12.639483892334054,11.010558060283069,49.0,2020-03-08,,,13
u. olhanen.,male,juvenile,,Slow movement near seagrass patches.,"['Hermit Crab', 'Sea Urchin']",4.0,8.0,7.238747027281041,10.375272502865252,8.350536258581837,47.0,2020-03-08,,,14
