,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,A. Farensis,N/R,sub_adult,True,Claw snapping in aggressive encounter.,"['Sea Anemone', 'Mussel']",8.0,11.25,10.857171223217685,14.022022773323867,11.311925389724221,44.0,2020-08-21,37.02606,-8.01873,0
1,A farensis,male or female,sub_adult,,Taking cover beneath seagrass leaves.,"['Mussel', 'Snail']",5.0,12.5,10.272917552441864,15.350492330404133,13.550767531416158,43.0,2020-08-21,,,1
2,U. olhanensis,female,sub_adult,False,Scaling steep rock faces near shore.,['Sea Sponge'],6.0,10.23919868657361,8.326677261093694,12.018065524020507,10.898233013937217,44.0,2020-08-21,,,2
3,A. Farensis,female,sub_adult,False,Lying still to avoid detection.,['Jellyfish'],7.0,5.503120342736204,4.19696138782531,5.602622406029358,5.723415392604616,41.0,2020-08-21,,,3
4,U. olhanensis,female,pre_puberty,False,Guarding eggs beneath body flap.,"['Sea Star', 'Small Fish', 'Sea Anemone', 'Shrimp', 'Hermit Crab']",5.0,3.282254193920036,3.24522379704685,4.517384397188997,3.342472553969193,43.0,2020-08-21,,,4
5,u. olhanen.,female,sub_adult,False,Entering burrow after disturbance.,"['Snail', 'Jellyfish']",6.0,34.5589178103987,34.97459818401914,49.20946614645938,37.853357814776864,42.0,2020-08-21,,,5
6,u. olhanen.,male,sub_adult,,Creeping under the cover of seagrass.,"['Sea Sponge', 'Mussel', 'Crab (Other Species)']",7.0,47.5,45.12957979019281,57.20547127311185,51.39388562446474,43.0,2020-08-21,,,6
7,Ucides alvorensis,male,adult,,Guarding eggs beneath body flap.,"['Polychaete Worm', 'Barnacle', 'Sea Star']",9.0,21.0,21.894680355392357,27.147127083128293,21.539885131321835,43.0,2020-08-21,,,7
8,u. olhanen.,female,juvenile,False,Claw snapping in aggressive encounter.,['Crab (Other Species)'],9.0,5.228246306768973,7.840538481185555,10.757184857401773,5.619912138617269,44.0,2020-08-21,,,8
9,u. olhanen.,male,pre_puberty,,Claw shaking post-contact gesture.,['Barnacle'],7.0,3.75,3.8280010122351755,5.1898055400714185,4.000602091243759,43.0,2020-08-21,,,9
10,A farensis,male,pre_puberty,True,Engaging in antennae-to-antennae contact.,"['Coral Fragment', 'Algae', 'Hermit Crab', 'Sea Urchin']",6.0,3.75,2.864598501730236,4.143528332505547,3.9172415206000095,44.0,2020-08-21,,,10
11,U. olhanensis,male,adult,,Slowly navigating around seagrass beds.,"['Coral Fragment', 'Sea Sponge', 'Shrimp']",4.0,10.5,10.259659975846457,14.540951092866656,11.22294221415198,45.0,2020-08-21,,,11
12,Ucides alvorensis,male,pre_puberty,,Entering burrow after disturbance.,"['Sea Anemone', 'Sea Star', 'Shrimp']",8.0,15.75,14.487569434918077,19.131881947631403,16.490436601795157,43.0,2020-08-21,,,12
13,U. olhanensis,male,adult,,Retreating swiftly from perceived danger.,"['Sea Star', 'Sea Anemone', 'Shrimp']",10.0,10.5,9.61095150306715,14.0838889006673,10.545305499666993,44.0,2020-08-21,,,13
14,A. Farensis,male,adult,,Searching tidal pools for nutrients.,"['Barnacle', 'Algae', 'Sea Anemone']",7.0,13.5,14.696052031719157,20.703699119420538,14.605280936639758,42.0,2020-08-21,,,14
15,A farensis,male,pre_puberty,,Lying still to avoid detection.,['Hermit Crab'],9.0,11.25,13.256624135231844,18.4656647719924,11.706488681091647,44.0,2020-08-21,,,15
16,Ucides alvorensis,male,juvenile,,Traversing algae-slick rock surfaces.,['Small Fish'],8.0,6.5,5.734340216169053,7.997031420360942,6.648370877083359,42.0,2020-08-21,,,16
17,u. olhanen.,male,adult,,Engaging in antennae-to-antennae contact.,"['Hermit Crab', 'Polychaete Worm']",8.0,22.5,21.12491718583217,28.03618605514656,24.087283372587684,43.0,2020-08-21,,,17
18,U. olhanensis,female,pre_puberty,False,Picking algae carefully off rock faces.,['Mussel'],7.0,8.575169089733174,9.161854481246824,13.305912361348748,8.651895325088272,44.0,2020-08-21,,,18
19,U. olhanensis,female,adult,False,Sheltering under broken shell piece.,"['Coral Fragment', 'Barnacle', 'Polychaete Worm']",7.0,6.42422951914956,6.5184141901744646,9.585555820616145,6.497365568175062,45.0,2020-08-21,,,19
20,Ucides alvorensis,female,pre_puberty,False,Frequent pausing while exploring.,"['Mussel', 'Hermit Crab', 'Shrimp', 'Sea Star', 'Sea Sponge']",7.0,9.561885274979725,12.67123124600474,18.696779991649283,10.152773638817811,44.0,2020-08-21,,,20
21,u. olhanen.,male,adult,,Guarding hole in substrate from intruders.,['Shrimp'],12.0,30.0,29.31392350856373,37.42533074742265,30.226024545608894,45.0,2020-08-21,,,21
22,A. Farensis,female,juvenile,False,Clambering up submerged tree trunks.,"['Algae', 'Hermit Crab', 'Sea Sponge', 'Mussel', 'Small Fish']",4.0,7.894049485077245,5.380083077566874,7.656941116063367,8.132339428235888,43.0,2020-08-21,,,22
23,A farensis,male,pre_puberty,,Protecting territory in confined space.,"['Coral Fragment', 'Sea Anemone', 'Barnacle', 'Snail']",12.0,4.5,4.314057395812325,6.237831877201563,4.910469991773011,43.0,2020-08-21,,,23
24,A. Farensis,male,adult,,Sifting through sediment for scraps.,"['Sea Sponge', 'Jellyfish', 'Snail', 'Hermit Crab']",4.0,12.0,11.007911284432105,15.032025358890818,12.27160168763761,42.0,2020-08-21,,,24
25,A farensis,male,sub_adult,,Color change during molting stress.,"['Shrimp', 'Jellyfish', 'Mussel']",8.0,32.5,33.47780433841074,40.21462324266111,33.44559414377053,44.0,2020-08-21,,,25
26,A. Farensis,male,juvenile,,Grazing on mollusks among debris.,"['Coral Fragment', 'Hermit Crab', 'Jellyfish', 'Crab (Other Species)']",11.0,7.5,7.042908106791545,9.378723459460337,7.912153273124697,44.0,2020-08-21,,,26
27,Ucides alvorensis,female,adult,True,Peering out cautiously from cover.,"['Sea Sponge', 'Mussel', 'Sea Urchin', 'Sea Star']",9.0,7.710653132104928,7.665280921070138,10.598034133141274,8.444753528488308,43.0,2020-08-21,,,27
28,A farensis,male or female,sub_adult,,Side-stepping along sandy coastal floor.,"['Sea Star', 'Shrimp']",5.0,25.0,20.38449832728286,26.426391284611135,27.416045270538923,44.0,2020-08-21,,,28
29,u. olhanen.,male,sub_adult,,Rhythmic waving as social cue.,"['Small Fish', 'Sea Anemone']",5.0,12.5,13.718714544869352,17.96853003880077,13.492808188584416,43.0,2020-08-21,,,29
30,A farensis,male,sub_adult,True,Scavenging at the edge of tidal pools.,"['Mussel', 'Sea Star', 'Jellyfish', 'Polychaete Worm', 'Barnacle']",9.0,6.25,6.378673363965823,8.60274840148824,6.713975911211974,46.0,2020-08-21,,,30
31,A. Farensis,female,adult,False,Consuming algae scraped from barnacles.,"['Shrimp', 'Sea Anemone']",6.0,7.959292518179692,7.219939368519539,9.013180758628254,8.709634520469905,42.0,2020-08-21,,,31
32,u. olhanen.,female,pre_puberty,True,Protecting territory in confined space.,['Jellyfish'],8.0,8.24378117639515,6.859012180173854,8.812266209741324,8.833893593153567,44.0,2020-08-21,,,32
33,u. olhanen.,male,adult,,Mating ritual involving antennae brushing.,"['Barnacle', 'Polychaete Worm', 'Algae']",9.0,15.0,14.725975941960222,18.462514824524554,15.076314344464596,44.0,2020-08-21,,,33
34,A. Farensis,male,adult,,Picking algae carefully off rock faces.,"['Sea Sponge', 'Barnacle', 'Crab (Other Species)', 'Polychaete Worm', 'Sea Star']",6.0,48.0,46.075542219349366,55.89832881483045,50.086907262907516,45.0,2020-08-21,,,34
35,U. olhanensis,male,adult,,Displaying territorial behavior against intruder.,"['Hermit Crab', 'Sea Anemone', 'Polychaete Worm', 'Barnacle', 'Crab (Other Species)']",9.0,19.5,19.978609627821815,27.785722416480702,19.85973880610776,44.0,2020-08-21,,,35
36,u. olhanen.,female,adult,False,Harvesting food beneath floating debris.,"['Sea Anemone', 'Mussel']",8.0,19.827932480313468,18.106451555686785,25.178465531456457,21.403233827840637,44.0,2020-08-21,,,36
37,U. olhanensis,female,adult,False,Vibrating antennae in flowing current.,"['Mussel', 'Jellyfish']",6.0,12.728516925544191,14.39632711478081,19.236728397742272,13.097515982739647,43.0,2020-08-21,,,37
38,u. olhanen.,male,adult,,Guarding hole in substrate from intruders.,"['Mussel', 'Sea Urchin', 'Small Fish']",9.0,9.0,9.141078930101797,12.410515691830867,9.452243878237464,43.0,2020-08-21,,,38
39,A. Farensis,female,pre_puberty,False,Nibbling detritus off seabed patches.,"['Sea Sponge', 'Shrimp', 'Polychaete Worm']",7.0,13.117139235621114,12.538824846017121,15.769048961679104,13.875434083361029,43.0,2020-08-21,,,39
40,u. olhanen.,male,pre_puberty,True,Slowly navigating around seagrass beds.,"['Polychaete Worm', 'Sea Anemone', 'Sea Star', 'Hermit Crab']",5.0,9.75,7.103662968880281,9.781635736367809,9.971023215883266,45.0,2020-08-21,,,40
41,u. olhanen.,male,juvenile,,Traversing algae-slick rock surfaces.,"['Shrimp', 'Algae', 'Sea Sponge']",9.0,5.5,4.558752003594771,6.564184767371174,5.768603834629324,43.0,2020-08-21,,,41
42,U. olhanensis,female,adult,False,Concealing self beneath floating matter.,"['Mussel', 'Small Fish', 'Shrimp', 'Sea Urchin']",6.0,9.619682593886175,12.17898657170917,15.879446925700655,10.258873311385628,45.0,2020-08-21,,,42
43,A farensis,female,juvenile,False,Camouflaging with nearby mud.,"['Hermit Crab', 'Barnacle']",7.0,6.710575168263521,6.387430741965585,7.671108584307402,6.776649222804834,43.0,2020-08-21,,,43
