,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,120,47.540225600549235,40,A. Farensis,-7.99163,False,58.856713067664394,s,male,1,151.065541414196,37.01025,"['Polychaete Worm', 'Sea Star']",10,Crab moving quickly across rocks.
1,310,32.871908397255254,40,u. olhanen.,,False,257.6025516054425,a, ,2,144.18869395818126,,['Algae'],8,Hiding beneath rocks.
2,110,7.82294502687745,40,A farensis,,False,1500.0,p,female,3,127.97771065515587,,"['Coral Fragment', 'Sea Sponge', 'Mussel']",5,Exploring new territory.
3,150,56.79681458220823,30,A. Farensis,,False,26.947352749150433,s,male,4,134.7828390410092,,"['Sea Star', 'Small Fish', 'Coral Fragment']",5,Escaping predator silhouette overhead.
4,80,50.001055168836565,40,A. Farensis,,False,22.500527639368624,s,female,5,126.30115838401798,,"['Coral Fragment', 'Snail', 'Sea Star']",10,Picking detritus from seabed.
5,350,56.18385177665751,20,A. Farensis,,True,270.70080816047675,a,female,6,141.47338888869814,,['Sea Sponge'],3,Searching for mates at twilight.
6,110,33.71467020433269,40,A. Farensis,,False,53.12560574909834,s, ,7,143.90948284464838,,"['Crab (Other Species)', 'Sea Urchin']",5,Rapid crossing of open sand.
7,250,43.535819756068356,40,u. olhanen.,,True,1500.0,s, ,8,130.87521076279393,,"['Sea Star', 'Jellyfish', 'Polychaete Worm', 'Algae']",11,Exploring new territory.
8,170,61.54235051096089,30,A farensis,,False,674.7412633718585,s,female,9,140.3371866586602,,"['Algae', 'Small Fish', 'Sea Star']",4,Shaking claws after contact.
9,270,14.85405716338105,100,A farensis,,False,260.1216409682623,s,female,10,104.75114495720389,,"['Sea Sponge', 'Jellyfish']",4,Slow movement near seagrass patches.
10,300,58.15225059879313,40,U. olhanensis,,False,751.6350819635113,a,male,11,145.98835628687934,,"['Polychaete Worm', 'Sea Urchin']",13,Color changes during molting.
11,300,55.42547467689475,20,A farensis,,False,204.3852141279495,s,male,12,125.46385296664953,,"['Barnacle', 'Jellyfish', 'Coral Fragment', 'Sea Anemone', 'Sea Star']",10,Moving sideways along sandy bottom.
12,100,87.85922898496815,80,A farensis,,False,109.49508137997267,a,male,13,163.83932661858995,,"['Sea Star', 'Small Fish', 'Sea Anemone', 'Polychaete Worm', 'Jellyfish']",2,Feeding on small crustaceans.
13,40,52.96356523538941,40,A. Farensis,,False,1233.180679066293,p,female,14,170.4946151021255,,"['Barnacle', 'Polychaete Worm', 'Mussel', 'Shrimp']",10,Picking detritus from seabed.
14,160,48.66166466625743,20,A. Farensis,,False,75.61829655571702,s,male or female,15,151.7753742819752,,"['Polychaete Worm', 'Sea Sponge', 'Mussel', 'Small Fish']",9,Burrowing into sandy sediment.
15,50,70.95830753329233,20,A. Farensis,,False,28.55296750187256,j,female,16,157.2348189176098,,"['Sea Urchin', 'Algae', 'Barnacle']",6,Feeding on algae scraped from rocks.
16,140,30.67052098177973,50,u. olhanen.,,False,1596.9082480538384,p,male,17,156.90787736987687,,"['Mussel', 'Sea Urchin', 'Jellyfish', 'Sea Star', 'Crab (Other Species)']",6,Feeding on small crustaceans.
17,190,72.26015803092292,50,A. Farensis,,True,27.834473489648687,p,female,18,146.92173616367214,,"['Jellyfish', 'Crab (Other Species)', 'Coral Fragment', 'Algae']",9,Defensive posture when approached.
18,110,29.690146803134922,70,u. olhanen.,,False,44.301943493664524,s,male,19,161.2221195932612,,"['Sea Urchin', 'Mussel', 'Polychaete Worm', 'Shrimp', 'Sea Anemone']",10,Picking algae from rock surface.
19,40,50.793721796674504,40,A. Farensis,,False,21.386463770063454,s, ,20,158.67886308335898,,"['Shrimp', 'Sea Sponge']",9,Climbing submerged rocks.
20,130,42.70805421771408,90,A farensis,,True,327.9115885175148,s,female,21,157.09681865897713,,"['Small Fish', 'Sea Anemone']",11,Emerging cautiously from hiding.
21,250,62.87404185480955,40,u. olhanen.,,False,121.23042119166847,s,nan,22,126.52019176631205,,"['Jellyfish', 'Small Fish', 'Snail', 'Coral Fragment', 'Mussel']",12,Guarding eggs under abdominal flap.
22,200,47.57830267789208,70,A farensis,,False,396.1468622740736,s, ,23,165.50899933404264,,"['Shrimp', 'Hermit Crab', 'Snail', 'Sea Anemone']",10,Picking detritus from seabed.
23,70,86.64022595972526,30,A. Farensis,,False,356.6123206524661,s,male,24,128.30070152328528,,"['Snail', 'Sea Anemone', 'Jellyfish', 'Crab (Other Species)']",12,Rapid crossing of open sand.
24,190,53.606469252435865,40,u. olhanen.,,False,142.15266633869976,p,female,25,140.6323266443822,,"['Jellyfish', 'Small Fish', 'Polychaete Worm', 'Snail', 'Algae']",6,Scavenging near tidal pools.
25,140,40.619002131811456,70,A farensis,,False,71.05522535156385,a,male,26,146.74879273764202,,"['Algae', 'Shrimp', 'Jellyfish', 'Snail', 'Mussel']",7,Picking algae from rock surface.
26,70,49.13994825353633,40,A farensis,,False,79.22326414178093,s,female,27,132.33036242377906,,"['Sea Star', 'Hermit Crab']",6,Picking biofilm on submerged wood.
27,160,40.763402573912316,30,u. olhanen.,,False,159.18045396477817,p,female,28,135.75377201135382,,"['Crab (Other Species)', 'Sea Star', 'Shrimp', 'Hermit Crab']",7,Feeding on algae scraped from rocks.
28,310,73.65582555705261,50,u. olhanen.,,False,11.511264822926314,j,?,29,145.21898829607773,,['Shrimp'],9,Hiding in sandy burrow.
29,70,21.705902962322924,60,U. olhanensis,,True,15.29949603008446,s,female,30,154.65031496001092,,"['Sea Star', 'Sea Sponge', 'Sea Urchin']",9,Sitting still blending with environment.
30,200,43.7606101833914,20,A. Farensis,,False,114.99610561479255,s,-,31,147.9950606257912,,"['Sea Sponge', 'Sea Urchin', 'Hermit Crab', 'Polychaete Worm']",10,Stillness in cold water.
31,140,36.71887604460019,40,A. Farensis,,False,93.83392757138782,s,male,32,117.64625855705259,,"['Mussel', 'Coral Fragment', 'Snail']",7,Feeding on small crustaceans.
32,140,63.03442754087566,40,A farensis,,False,1500.0,j,female,33,127.94807171862593,,['Sea Urchin'],8,Climbing onto submerged logs.
33,40,61.89073870414354,80,u. olhanen.,,False,20.1457933040314,p,male,34,148.48819396850135,,"['Snail', 'Sea Sponge', 'Hermit Crab']",3,Retreating quickly from shadow.
34,60,82.5094099300155,90,A. Farensis,,False,50.004360663344556,s,female,35,139.07695877600136,,"['Snail', 'Sea Urchin']",9,Interacting with small fish nearby.
35,190,44.21714718025256,60,A farensis,,False,266.8449302086612,a,female,36,146.6737127551193,,"['Polychaete Worm', 'Algae']",9,Moving toward bait.
36,240,12.14820391117736,40,A. Farensis,,False,76.73460369475595,p,male,37,165.86972767223313,,"['Sea Anemone', 'Crab (Other Species)', 'Barnacle', 'Snail']",6,Sitting still blending with environment.
37,100,67.99619341164963,20,u. olhanen.,,True,204.35234587343888,s,male or female,38,144.31149465662034,,"['Sea Sponge', 'Coral Fragment', 'Polychaete Worm', 'Mussel', 'Jellyfish']",6,Dragging shell fragment backward.
38,160,32.237565678404636,40,A farensis,,False,438.8250883882689,p,male,39,148.64022901549828,,"['Mussel', 'Polychaete Worm']",7,Moving toward bait.
39,160,33.15499024262596,40,A farensis,,False,223.5448262664716,p,male,40,118.26110992254527,,['Barnacle'],8,Color changes during molting.
40,250,53.13989214142141,50,A farensis,,False,64.94403250638858,s,male,41,157.74592378645693,,"['Polychaete Worm', 'Shrimp', 'Sea Sponge', 'Sea Star']",8,Interacting with small fish nearby.
41,370,58.624624731760946,20,U. olhanensis,,True,68.44337240886122,s,?,42,135.93053554718185,,"['Barnacle', 'Sea Anemone', 'Small Fish']",11,Claw waving directed at nearby crab.
42,220,54.82244052177233,60,A. Farensis,,False,70.18733974993648,s,female,43,152.6489774468741,,['Barnacle'],11,Escaping from aggressive fish.
43,310,41.355678860198644,20,A farensis,,False,850.4846187828838,p,nan,44,151.0210412721119,,['Barnacle'],12,Interacting with small fish nearby.
44,190,76.29150778104173,20,A farensis,,False,1112.8614460486192,a,female,45,156.87039317101582,,"['Jellyfish', 'Snail']",9,Claw snapping in competition.
45,140,79.91668722066724,30,A. Farensis,,False,728.0256906291673,p,male,46,120.8771188041865,,"['Sea Urchin', 'Coral Fragment']",8,Exchanging antenna taps.
46,180,42.87921113326411,50,A farensis,,False,36.673747684162386,p,nan,47,145.97650492389954,,['Coral Fragment'],6,Hiding beneath rocks.
47,160,40.31261064164566,30,A farensis,,False,144.10026127839527,s,female,48,148.12260299715837,,['Shrimp'],10,Swimming short distance to escape.
48,90,86.84575953252,60,A farensis,,False,333.17627325219985,a,male,49,138.17405000170115,,['Barnacle'],7,Inspecting discarded crab shell.
49,190,61.27418336611652,50,U. olhanensis,,True,135.51368628362906,j,female,50,143.93851399104034,,['Snail'],5,Interacting with small fish nearby.
50,190,71.47210118496861,80,A farensis,,False,84.32422551477173,p,female,51,170.18545249221174,,"['Crab (Other Species)', 'Hermit Crab', 'Jellyfish', 'Coral Fragment', 'Sea Sponge']",13,Sideways walking along bay edge.
51,240,69.2199172572774,40,u. olhanen.,,False,58.36967962106652,p,female,52,155.6282855878843,,['Small Fish'],10,Climbing onto submerged logs.
52,180,71.50948017327593,70,u. olhanen.,,False,1500.0,s,male,53,122.06950521614115,,"['Algae', 'Polychaete Worm', 'Shrimp', 'Sea Urchin']",6,Claw snapping in competition.
53,120,70.26438734993637,50,u. olhanen.,,False,897.6773141976487,s,male,54,152.85878478335087,,['Sea Urchin'],7,Feeding on algae scraped from rocks.
54,200,57.54254027899794,70,A. Farensis,,False,282.5238360025742,a,female,55,161.61394125583539,,"['Small Fish', 'Sea Sponge', 'Coral Fragment', 'Sea Star']",12,Emerging cautiously from hiding.
55,170,45.815843286027544,30,u. olhanen.,,False,347.6819628656823,a,female,56,150.75015974110923,,"['Jellyfish', 'Coral Fragment']",6,Sitting still blending with environment.
56,110,92.8732445048847,40,A. Farensis,,False,43.293807857200036,p, ,57,152.19197067433146,,"['Shrimp', 'Small Fish', 'Sea Sponge']",7,Defensive posture when approached.
57,340,51.074084371582245,40,U. olhanensis,,False,173.85198694768525,a,male,58,113.1825195073825,,"['Algae', 'Barnacle']",4,Resting under shell fragment.
58,60,51.19184630754573,20,A farensis,,False,172.04364948273522,p,male,59,157.84717752380035,,"['Algae', 'Sea Urchin', 'Crab (Other Species)', 'Coral Fragment', 'Polychaete Worm']",9,Guarding a small hole in sediment.
59,90,20.209248137025263,30,u. olhanen.,,True,14.206985740035766,p, ,60,131.03387024731921,,"['Jellyfish', 'Crab (Other Species)']",6,Hiding beneath rocks.
60,370,80.42848893646143,30,U. olhanensis,,False,171.84903431523455,s,male,61,99.48571220981066,,"['Snail', 'Barnacle', 'Sea Sponge']",7,Exchanging antenna taps.
61,120,53.42998830164671,30,A farensis,,False,357.7667852962102,a,male,62,131.55183276663934,,['Snail'],8,Dragging shell fragment backward.
62,190,71.15795686499531,40,U. olhanensis,,False,200.14909972095953,a,male,63,129.07678236544487,,"['Algae', 'Sea Star', 'Sea Urchin', 'Jellyfish']",10,Feeding on small crustaceans.
63,130,38.994501533763724,30,u. olhanen.,,False,60.790340442196694,j,?,64,133.40048269681685,,"['Coral Fragment', 'Crab (Other Species)']",7,Dragging shell fragment backward.
64,140,64.28682207038418,50,A farensis,,False,196.82206775716796,p,?,65,131.8386926209089,,['Mussel'],13,Searching for food in tidal pools.
65,240,53.42838394945491,40,A. Farensis,,False,249.06848555493121,s,male,66,151.85201798034146,,"['Mussel', 'Sea Anemone', 'Coral Fragment']",9,Foraging among seagrass roots.
66,90,56.92103927200834,20,A. Farensis,,False,76.73916979911519,s,female,67,161.6953640552017,,['Sea Urchin'],8,Waving claws rhythmically.
67,220,60.60702719218667,30,A farensis,,False,17.234058265661716,s, ,68,147.694369931045,,"['Crab (Other Species)', 'Sea Urchin', 'Sea Star', 'Sea Sponge', 'Sea Anemone']",10,Using claws to dig into sediment.
