species,sex,stage,species_name,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
,male,sub_adult,A farensis,True,Using claws to dig into sediment.,"['Sea Star', 'Coral Fragment', 'Snail', 'Crab (Other Species)']",5.0,4.318181818181818,3.6235050294150635,5.216397049120833,4.491895580773986,3.0,2021-01-10,37.1,-8.62,0
,male,pre_puberty,A. Farensis,,Stillness in cold water.,"['Sea Urchin', 'Hermit Crab']",7.0,1.8409090909090908,1.8027737655560043,2.527364172420477,1.9271717137938573,3.0,2021-01-10,,,1
,-,adult,Ucides alvorensis,,Exploring new territory.,"['Shrimp', 'Coral Fragment', 'Sea Urchin', 'Small Fish']",7.0,5.318181818181818,4.9440845567484,6.777829783953751,5.7711105077882605,2.909090909090909,2021-01-10,,,2
,male,juvenile,U. olhanensis,,Stillness in cold water.,"['Sea Sponge', 'Sea Urchin', 'Coral Fragment', 'Barnacle', 'Sea Anemone']",9.0,1.5454545454545454,1.4726413066351967,2.208096324853068,1.5907442858563023,3.0,2021-01-10,,,3
,female,sub_adult,U. olhanensis,False,Dragging shell fragment backward.,"['Algae', 'Barnacle', 'Sea Star', 'Shrimp', 'Sea Sponge']",4.0,1.0211088145961429,1.1167302198735005,1.4852130386649756,1.038587028179901,3.1818181818181817,2021-01-10,,,4
,female,adult,U. olhanensis,False,Struggling with entangled seaweed.,"['Mussel', 'Shrimp']",3.0,1.8813620095053496,2.0700572335911245,2.633386007499095,1.9534196263185495,2.909090909090909,2021-01-10,,,5
,female,adult,U. olhanensis,False,Foraging among seagrass roots.,"['Algae', 'Barnacle']",2.0,0.6972763849705205,0.8232490454929929,1.0616640019331451,0.7398277989904364,3.090909090909091,2021-01-10,,,6
,male or female,juvenile,A farensis,,Climbing seaweed stalks.,"['Shrimp', 'Crab (Other Species)', 'Snail']",3.0,1.8181818181818181,2.417054219395528,3.0135110679217947,1.912628567339709,3.090909090909091,2021-01-10,,,7
,male,adult,u. olhanen.,,Moving in groups.,"['Hermit Crab', 'Coral Fragment', 'Sea Sponge', 'Crab (Other Species)']",6.0,3.272727272727273,3.1739357166944746,4.031804086496439,3.496059233462969,3.0,2021-01-10,,,8
,female,sub_adult,u. olhanen.,False,Slow movement near seagrass patches.,['Algae'],6.0,1.6125363857089239,1.631200867348288,2.0012484824221777,1.6899489361258326,2.909090909090909,2021-01-10,,,9
,male,sub_adult,U. olhanensis,True,Defensive posture when approached.,"['Crab (Other Species)', 'Barnacle', 'Hermit Crab', 'Polychaete Worm']",8.0,2.727272727272727,2.2018495441992187,2.822592059263861,2.8086818927984725,3.090909090909091,2021-01-10,,,10
, ,juvenile,Ucides alvorensis,,Swimming short distance to escape.,"['Algae', 'Jellyfish', 'Small Fish', 'Shrimp', 'Polychaete Worm']",7.0,1.3181818181818181,0.9936062595010438,1.4014121903267804,1.362766379962573,3.0,2021-01-10,,,11
,male,pre_puberty,U. olhanensis,,Claw snapping in competition.,"['Sea Sponge', 'Barnacle', 'Sea Urchin']",9.0,1.0909090909090908,1.4105239217382974,1.7363534790011401,1.1288332139050568,3.090909090909091,2021-01-10,,,12
,male,pre_puberty,u. olhanen.,,Guarding a small hole in sediment.,"['Shrimp', 'Sea Sponge', 'Coral Fragment']",4.0,0.8181818181818182,0.6505692776650629,0.9677633342290585,0.8705961803000523,3.0,2021-01-10,,,13
