species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
U. olhanensis,male,sub_adult,True,Resting in shaded rock crevice.,"['Sea Anemone', 'Algae', 'Jellyfish', 'Sea Sponge', 'Coral Fragment']",8.0,4.545454545454546,3.7060735828003946,5.39942204627252,4.796651138318143,2.1818181818181817,2022-04-20,37.1,-8.62,0
A farensis,male,adult,,Guarding a small hole in sediment.,"['Small Fish', 'Polychaete Worm', 'Crab (Other Species)']",8.0,4.090909090909091,4.141868150718107,5.570359799863748,4.347329373872512,2.272727272727273,2022-04-20,,,1
A farensis,male,adult,,Half buried in sand.,"['Mussel', 'Shrimp', 'Sea Star', 'Hermit Crab']",9.0,1.3636363636363635,1.4877739801498182,1.815209871042551,1.3913047546938841,2.1818181818181817,2022-04-20,,,2
A. Farensis,female,adult,False,Social contact with other crabs.,"['Mussel', 'Coral Fragment']",9.0,4.179067337065925,4.551819902457412,5.876434096137611,4.443375501346005,2.0,2022-04-20,,,3
A farensis,female,adult,False,Burrowing into sandy sediment.,['Sea Anemone'],4.0,3.2382260252318686,3.3793648440545456,4.2881094543840925,3.4861909381953633,2.090909090909091,2022-04-20,,,4
A. Farensis,male,juvenile,,Hiding under seagrass blades.,"['Shrimp', 'Sea Urchin', 'Sea Sponge', 'Sea Star', 'Hermit Crab']",7.0,1.5,0.9454337206741031,1.1856045101949602,1.6106681571205663,2.0,2022-04-20,,,5
A. Farensis,male,juvenile,,Resting under shell fragment.,"['Small Fish', 'Shrimp']",7.0,0.45454545454545453,0.414531258460822,0.5595328394201743,0.47686475092292807,2.090909090909091,2022-04-20,,,6
A farensis,male,adult,,Escaping predator silhouette overhead.,['Sea Urchin'],10.0,3.9545454545454546,3.766006569541051,5.156620986900228,4.081611425452345,2.090909090909091,2022-04-20,,,7
A. Farensis,male,sub_adult,,Inspecting discarded crab shell.,"['Sea Sponge', 'Shrimp', 'Coral Fragment', 'Hermit Crab']",4.0,5.113636363636363,4.776604400012165,6.365856997551692,5.3876692675865225,2.0,2022-04-20,,,8
A. Farensis,female,adult,False,Moving toward bait.,"['Sea Sponge', 'Sea Anemone', 'Algae']",6.0,4.332721375412216,4.434651070545069,6.637365200842868,4.50760127050054,2.272727272727273,2022-04-20,,,9
A. Farensis,male,juvenile,True,Hiding under seagrass blades.,"['Barnacle', 'Sea Sponge']",7.0,0.8636363636363636,1.0852038983147754,1.5939413513662366,0.9312463424878427,2.3636363636363638,2022-04-20,,,10
A. Farensis,-,sub_adult,,Moving toward warmer water pockets.,"['Snail', 'Sea Star', 'Algae', 'Jellyfish', 'Coral Fragment']",7.0,1.7045454545454546,1.9603079821125626,2.539488378694533,1.7268694081406328,2.090909090909091,2022-04-20,,,11
u. olhanen.,male,sub_adult,,Interacting with small fish nearby.,['Shrimp'],7.0,1.7045454545454546,1.7778935713513144,2.431725145480879,1.8259423163858635,2.3636363636363638,2022-04-20,,,12
Ucides alvorensis,female,pre_puberty,False,Shaking claws after contact.,"['Shrimp', 'Jellyfish']",11.0,1.8393185740584643,2.5835863706728683,3.672177868761469,1.8402095622911536,2.272727272727273,2022-04-20,,,13
u. olhanen.,male,sub_adult,,Inspecting discarded crab shell.,"['Hermit Crab', 'Barnacle', 'Sea Anemone']",6.0,4.431818181818182,4.7987164643060325,6.450042414552535,4.812749469525025,2.272727272727273,2022-04-20,,,14
A farensis,female,adult,False,Hiding under floating debris.,"['Shrimp', 'Snail', 'Small Fish']",8.0,1.258140117831059,1.3585255789875896,1.894573617833502,1.3081416620023647,2.090909090909091,2022-04-20,,,15
A farensis,male,juvenile,,Retreating quickly from shadow.,['Algae'],4.0,1.8181818181818181,1.5427912218888125,1.9508449786526463,1.867031743467429,2.1818181818181817,2022-04-20,,,16
