,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,70,86.44301677421977,30,A farensis,-7.99163,False,3.4033408187877257,s,male,1,208.0194580547631,37.01025,"['Sea Anemone', 'Sea Urchin']",8,Climbing vertical rock face.
1,250,86.8380912852946,30,A farensis,,True,32.85259672522716,p,male,2,202.77642157202882,,"['Shrimp', 'Hermit Crab', 'Coral Fragment', 'Sea Urchin']",9,Defensive posture when approached.
2,100,101.02391083659643,70,A farensis,,True,15.12796148223801,s,male,3,222.18180670065328,,"['Sea Anemone', 'Small Fish', 'Crab (Other Species)']",6,Emerging cautiously from hiding.
3,260,95.32526747974921,60,U. olhanensis,,False,13.418914924322616,p, ,4,215.7925371421223,,"['Crab (Other Species)', 'Jellyfish', 'Coral Fragment', 'Mussel', 'Hermit Crab']",3,Hiding under seagrass blades.
4,250,86.97507365034043,70,A farensis,,True,24.226601050675303,j,female,5,197.91958705362188,,['Mussel'],8,Claw waving directed at nearby crab.
5,390,76.34187352527361,30,A. Farensis,,False,138.5509092610285,s, ,6,235.80296234358198,,"['Mussel', 'Hermit Crab', 'Sea Urchin', 'Barnacle', 'Sea Anemone']",4,Resting under shell fragment.
6,270,95.97435598272448,100,A farensis,,False,46.04896535617571,p,male,7,216.3811214521576,,"['Jellyfish', 'Hermit Crab', 'Coral Fragment']",7,Territorial display against intruder.
7,520,104.99380913243894,40,u. olhanen.,,False,26.72722708517499,s,male,8,216.2008787390948,,"['Sea Anemone', 'Snail']",9,Hiding under seagrass blades.
8,520,111.78493351494616,50,A farensis,,False,246.53651714657417,s,male,9,215.5109088902174,,['Sea Anemone'],9,Picking biofilm on submerged wood.
9,250,97.00438029636561,100,A. Farensis,,False,7.07116228437094,j,male,10,221.14809247910796,,"['Small Fish', 'Sea Sponge']",9,Feeding on detritus in shallow water.
10,130,73.91326424601843,60,u. olhanen.,,True,40.68306763641686,s,male,11,207.62900658752397,,['Coral Fragment'],5,Rapid claw movement while feeding.
11,230,99.16767275695464,80,A farensis,,False,3.2088237078860087,a,male,12,192.02098149794614,,['Crab (Other Species)'],8,Sideways walking along bay edge.
12,190,97.41963800536143,40,u. olhanen.,,False,35.21568682944471,s,male,13,206.03267142170483,,"['Barnacle', 'Crab (Other Species)']",9,Exchanging antenna taps.
13,310,75.39379771377163,70,A. Farensis,,False,343.7300176281662,a,male,14,218.12319348567624,,"['Snail', 'Sea Sponge', 'Sea Anemone']",8,Feeding on algae scraped from rocks.
14,190,125.74030546526339,80,A farensis,,True,240.1378701114619,p,female,15,213.30851361600966,,"['Small Fish', 'Algae']",10,Interacting with small fish nearby.
15,310,100.86216143469491,20,A farensis,,False,489.018593138779,a,male,16,214.43280444277138,,"['Crab (Other Species)', 'Shrimp', 'Small Fish', 'Sea Sponge', 'Polychaete Worm']",5,Camouflaging with surrounding mud.
16,250,136.70079397038091,30,A. Farensis,,False,41.60542744272508,s,male,17,221.6707117959865,,"['Mussel', 'Sea Sponge', 'Crab (Other Species)', 'Coral Fragment', 'Algae']",10,Moving toward warmer water pockets.
17,320,98.39553596602215,80,U. olhanensis,,True,622.6327134937158,p,male,18,219.37576120193071,,"['Sea Sponge', 'Hermit Crab', 'Algae']",7,Cleaning claws with rubbing motion.
18,390,93.8220103543197,90,A. Farensis,,False,5.679559308166327,a,female,19,211.59820497563672,,"['Snail', 'Crab (Other Species)', 'Jellyfish']",7,Vibrating antennae in water currents.
19,110,122.22459686126079,20,A farensis,,False,15.480683975371827,s,male,20,241.80665298187972,,"['Sea Urchin', 'Sea Anemone', 'Algae', 'Small Fish', 'Crab (Other Species)']",5,Claw waving directed at nearby crab.
20,350,81.38619243264641,20,A. Farensis,,False,102.43330546329014,a,nan,21,215.25791275046456,,"['Crab (Other Species)', 'Small Fish']",11,Rapid crossing of open sand.
21,220,118.20740197629237,70,A farensis,,False,59.5304066470915,a,female,22,244.02072589782404,,"['Crab (Other Species)', 'Barnacle', 'Sea Urchin', 'Sea Sponge']",7,Claw snapping at diver.
22,420,93.9110445465029,50,A. Farensis,,False,0.29056311820199127,s,male,23,224.1907885806787,,"['Mussel', 'Polychaete Worm']",8,Swimming short distance to escape.
23,370,95.99706227394105,20,A farensis,,False,2.6882471523859985,s,female,24,209.14895338247163,,"['Coral Fragment', 'Algae']",12,Hiding under seagrass blades.
24,230,122.80831213774759,40,A farensis,,False,11.696479097813523,s,female,25,222.19353126504302,,"['Snail', 'Shrimp', 'Sea Anemone', 'Sea Sponge']",9,Feeding on algae scraped from rocks.
