,cl [cm],lcl [cm],fw [cm],species_name,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],is_gravid?,behavior
0,16,8.514848594680455,6,u. olhanen.,-7.99163,False,0.5984584191564694,pre_puberty,male,1,11.273268218231308,37.01025,"['Coral Fragment', 'Barnacle', 'Sea Sponge', 'Shrimp']",7,False,Displaying dominance by lifting body.
1,34,10.207319713514465,4,A farensis,,True,150.0,pre_puberty,male,2,6.225511626559825,,"['Snail', 'Jellyfish', 'Sea Sponge']",8,True,Guarding a small hole in sediment.
2,27,9.70439903147093,5,u. olhanen.,,False,3.046249423045474,juvenile,male,3,8.50554624630897,,"['Sea Urchin', 'Polychaete Worm']",7,False,Picking algae from rock surface.
3,21,10.656322952723807,4,u. olhanen.,,False,150.0,pre_puberty,male,4,4.757376975284512,,"['Mussel', 'Crab (Other Species)']",8,False,Exchanging antenna taps.
4,23,9.29662323793599,2,u. olhanen.,,False,1.2738496769855658,juvenile,female,5,12.103981978766594,,"['Crab (Other Species)', 'Snail']",8,False,Interacting with small fish nearby.
5,24,8.277346468387181,3,A farensis,,False,87.51872596820272,sub_adult,female,6,7.7414747409643905,,"['Snail', 'Algae', 'Hermit Crab']",8,False,Escaping from aggressive fish.
6,35,8.603708124130643,8,A. Farensis,,True,150.0,sub_adult,male or female,7,8.462314785001068,,"['Snail', 'Sea Sponge']",5,True,Picking biofilm on submerged wood.
7,25,11.073241322234903,5,A farensis,,False,57.481025788763766,sub_adult,female,8,10.829420836113046,,"['Barnacle', 'Coral Fragment', 'Sea Sponge', 'Sea Anemone', 'Crab (Other Species)']",3,False,Picking detritus from seabed.
8,21,12.181255120939712,3,A. Farensis,,False,1.5264426948826515,pre_puberty,female,9,7.391955034995739,,"['Sea Sponge', 'Small Fish', 'Hermit Crab', 'Mussel']",12,False,Rapid claw movement while feeding.
9,20,7.898298402826804,2,A farensis,,False,4.556553103391972,sub_adult,male,10,6.9846430809243945,,['Sea Sponge'],7,False,Sideways walking along bay edge.
10,36,6.991577976383638,2,A farensis,,False,76.02975352235804,pre_puberty,male,11,7.703518440406807,,"['Shrimp', 'Hermit Crab']",4,False,Camouflaging with surrounding mud.
11,26,7.499681310623122,3,A. Farensis,,False,79.2584499674576,sub_adult,male,12,6.64098170183229,,"['Sea Urchin', 'Coral Fragment', 'Sea Star']",7,False,Emerging cautiously from hiding.
12,8,6.195684302242109,10,A. Farensis,,False,0.4116760563901216,sub_adult,male,13,12.93953823804841,,"['Algae', 'Coral Fragment', 'Mussel', 'Sea Star']",7,False,Hiding in sandy burrow.
13,15,7.093863380589847,5,A. Farensis,,False,26.37960148499918,sub_adult,male,14,10.537214646618818,,"['Sea Anemone', 'Sea Star']",12,False,Crab moving quickly across rocks.
14,14,8.098030905347132,5,A farensis,,False,0.9268007313401205,sub_adult, ,15,6.730312985030003,,"['Crab (Other Species)', 'Sea Star', 'Snail', 'Mussel']",10,False,Climbing vertical rock face.
