,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,140,82.0040159313937,40,u. olhanen.,-7.99163,False,11.129654667987541,j, ,1,162.75564366972156,37.01025,"['Coral Fragment', 'Sea Sponge', 'Sea Urchin']",11,Slow movement near seagrass patches.
1,390,90.9198508943098,40,A farensis,,False,51.91260392736049,j,male,2,170.25890855446664,,"['Sea Sponge', 'Mussel', 'Polychaete Worm', 'Algae']",9,Crab moving quickly across rocks.
2,380,74.82904336563712,60,A. Farensis,,False,39.54349992844493,p,male,3,184.70439552185,,"['Snail', 'Jellyfish', 'Crab (Other Species)']",8,Picking detritus from seabed.
3,320,87.14468431898769,30,A farensis,,False,21.816382805946105,s,male,4,99.3174261344236,,"['Mussel', 'Sea Urchin', 'Small Fish', 'Sea Star']",10,Feeding on detritus in shallow water.
4,200,88.32754026869384,20,A farensis,,False,26.76809913989343,p,male,5,179.13123515494442,,"['Crab (Other Species)', 'Sea Urchin', 'Sea Star', 'Mussel']",6,Hiding in sandy burrow.
5,140,84.43750972293222,60,u. olhanen.,,False,39.391642216221705,p, ,6,111.16197576434828,,['Small Fish'],11,Exploring new territory.
6,240,90.63390257992677,30,A farensis,,False,27.370037751203423,p,male,7,131.0943513515323,,"['Hermit Crab', 'Barnacle', 'Mussel', 'Sea Star', 'Algae']",10,Swimming short distance to escape.
7,280,85.7301910695165,40,u. olhanen.,,True,23.73553005701789,s,female,8,198.55660711168355,,"['Small Fish', 'Sea Anemone', 'Shrimp', 'Barnacle']",6,Claw snapping in competition.
8,430,69.32726019046024,60,A farensis,,False,266.52259170197993,s,female,9,134.3745702641028,,['Small Fish'],13,Displaying dominance by lifting body.
9,340,84.19149266042758,60,A farensis,,False,50.89176692573491,p,male,10,167.19313650828514,,"['Sea Anemone', 'Algae']",6,Struggling with entangled seaweed.
10,160,71.61361556053288,40,A. Farensis,,False,36.40294232468215,s,male,11,154.0548631985808,,"['Crab (Other Species)', 'Barnacle']",12,Territorial display against intruder.
11,200,82.15029527901982,30,A farensis,,False,43.34856765625957,s,male,12,122.39203267463472,,"['Small Fish', 'Jellyfish']",9,Feeding on algae scraped from rocks.
12,240,84.33134497432755,40,u. olhanen.,,True,93.39703861698945,p,nan,13,141.49596112893659,,"['Jellyfish', 'Small Fish', 'Crab (Other Species)']",10,Defensive posture when approached.
13,310,73.75676662796704,20,A. Farensis,,False,30.574392719207456,p,male,14,170.16612259815133,,['Hermit Crab'],12,Resting under shell fragment.
14,240,81.03694211720216,30,u. olhanen.,,True,8.781941509223461,s,male,15,148.52851181588818,,"['Crab (Other Species)', 'Hermit Crab', 'Sea Sponge', 'Sea Star', 'Sea Urchin']",12,Hiding under floating debris.
15,130,74.93548211653554,50,A. Farensis,,False,33.042753452075075,s,N/R,16,132.81876577276765,,['Small Fish'],10,Retreating into burrow.
16,80,91.4366595723564,70,A. Farensis,,True,163.5308226314065,s, ,17,115.81761616704941,,['Crab (Other Species)'],7,Hiding under seagrass blades.
17,100,93.58301666872536,80,A. Farensis,,False,125.39043274264772,p,female,18,121.33466303855786,,['Sea Star'],9,Sideways walking along bay edge.
18,160,79.21402631691879,20,A. Farensis,,True,65.96400207142311,s,female,19,140.61553979399963,,"['Sea Urchin', 'Mussel', 'Sea Anemone', 'Small Fish', 'Coral Fragment']",9,Escaping from aggressive fish.
