species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
u. olhanen.,female,sub_adult,False,Sitting still blending with environment.,"['Barnacle', 'Small Fish', 'Jellyfish']",9.0,35.975975441845314,33.84747241479179,48.301024042891505,36.40527754158009,29.0,2021-12-21,37.02606,-8.01873,0
A farensis,male,adult,,Cleaning claws with rubbing motion.,['Sea Star'],10.0,49.5,53.648850992476206,70.06897095363402,50.934534475649286,31.0,2021-12-21,,,1
u. olhanen.,male,adult,,Resting under shell fragment.,"['Snail', 'Barnacle', 'Hermit Crab', 'Coral Fragment', 'Polychaete Worm']",9.0,25.5,23.60720382381906,31.05209436875211,26.457040305430006,28.0,2021-12-21,,,2
A. Farensis,male,sub_adult,,Claw waving directed at nearby crab.,"['Sea Sponge', 'Shrimp']",6.0,6.25,6.238396331441627,7.868048462776156,6.461218286583624,29.0,2021-12-21,,,3
A farensis,male,pre_puberty,,Territorial display against intruder.,['Small Fish'],11.0,10.5,12.338240651547641,16.378883150796703,11.335494157945265,31.0,2021-12-21,,,4
A. Farensis,female,pre_puberty,False,Exploring new territory.,"['Barnacle', 'Coral Fragment']",6.0,6.521884183247113,7.373217672517102,8.851478127171081,6.666817429915642,31.0,2021-12-21,,,5
U. olhanensis,male,adult,,Feeding on detritus in shallow water.,"['Shrimp', 'Mussel', 'Polychaete Worm']",6.0,55.5,55.717815974335096,83.36044599543243,56.51785976666388,28.0,2021-12-21,,,6
u. olhanen.,male,juvenile,,Retreating quickly from shadow.,"['Sea Sponge', 'Mussel', 'Sea Anemone', 'Hermit Crab']",9.0,13.0,14.370932774217895,19.114484142094113,13.389411405788943,30.0,2021-12-21,,,7
Ucides alvorensis,female,adult,False,Picking biofilm on submerged wood.,"['Crab (Other Species)', 'Coral Fragment', 'Algae']",10.0,17.008226706456668,16.69076189739772,20.115397611372682,17.97465209637162,31.0,2021-12-21,,,8
Ucides alvorensis,female,juvenile,False,Sideways walking along bay edge.,"['Polychaete Worm', 'Sea Urchin', 'Sea Anemone', 'Mussel']",11.0,7.5697064815740465,9.026763503384199,12.951925922696496,8.11064313663229,29.0,2021-12-21,,,9
