,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,37,7.848341134861657,4,A. Farensis,-7.99163,False,4.420444572662322,pre_puberty,female,1,21.83368062934275,37.01025,"['Sea Star', 'Algae', 'Sea Sponge', 'Barnacle', 'Jellyfish']",10,Emerging cautiously from hiding.
1,11,8.34009021693958,3,u. olhanen.,,False,113.11717727923725,sub_adult,male,2,23.818123612305037,,['Small Fish'],10,Climbing algae-covered rocks.
2,24,10.211366262444962,3,A farensis,,False,83.71807777602112,sub_adult,male,3,22.41544955079329,,"['Crab (Other Species)', 'Shrimp', 'Mussel', 'Hermit Crab']",10,Scavenging near tidal pools.
3,38,9.520012260610235,3,u. olhanen.,,False,19.759895713369968,adult,male,4,21.52526673326225,,"['Sea Sponge', 'Coral Fragment', 'Small Fish', 'Sea Anemone', 'Shrimp']",10,Rapid claw movement while feeding.
4,40,6.562910861374068,7,A farensis,,True,6.2678859602895525,sub_adult,male,5,16.790567447540926,,"['Crab (Other Species)', 'Snail']",11,Moving toward bait.
5,10,11.16419832176251,4,A. Farensis,,False,1.8788274065006905,adult,male,6,21.61205951358584,,"['Snail', 'Algae', 'Sea Sponge', 'Sea Urchin', 'Mussel']",6,Hiding under floating debris.
6,47,8.84489920198389,3,u. olhanen.,,False,29.65015693631236,sub_adult, ,7,19.52748218745339,,"['Shrimp', 'Hermit Crab', 'Sea Sponge', 'Sea Urchin']",7,Moving toward bait.
7,22,6.10102785131561,3,A. Farensis,,False,103.22657696110335,pre_puberty,female,8,22.296909144983314,,['Crab (Other Species)'],9,Displaying dominance by lifting body.
8,26,7.115137480541513,7,A farensis,,True,8.425490744953983,sub_adult,male,9,20.11594681559346,,"['Polychaete Worm', 'Crab (Other Species)', 'Barnacle', 'Shrimp']",5,Searching for mates at twilight.
9,18,7.395583235138602,4,U. olhanensis,,False,5.545977169896625,juvenile,male,10,26.09542239561526,,"['Hermit Crab', 'Sea Urchin']",10,Pausing frequently during exploration.
10,31,8.20702968968909,5,A farensis,,False,19.249308319805415,pre_puberty, ,11,18.28224686536278,,"['Sea Anemone', 'Snail', 'Jellyfish']",10,Escaping from aggressive fish.
11,31,9.261566260261741,2,A. Farensis,,False,138.5304983812851,pre_puberty,?,12,18.41421761569153,,"['Sea Sponge', 'Snail']",9,Climbing submerged rocks.
12,15,7.3612336089854615,4,u. olhanen.,,False,5.735364294672933,sub_adult,male,13,19.12253484734062,,"['Barnacle', 'Mussel', 'Sea Star', 'Small Fish']",11,Climbing seaweed stalks.
13,18,9.204311617598565,3,A. Farensis,,False,9.026393410503223,juvenile,female,14,22.320081291670057,,"['Sea Anemone', 'Coral Fragment']",5,Retreating quickly from shadow.
14,14,8.816693632528908,7,U. olhanensis,,True,4.22251682532186,sub_adult,male,15,23.614389617954078,,"['Sea Anemone', 'Mussel', 'Polychaete Worm']",8,Color changes during molting.
15,9,7.370648174342659,4,U. olhanensis,,False,0.5567772582469653,sub_adult,female,16,19.936824338324268,,"['Hermit Crab', 'Polychaete Worm', 'Coral Fragment', 'Shrimp', 'Sea Sponge']",4,Stillness in cold water.
16,12,4.001097719869573,2,A. Farensis,,True,53.722370792935,adult,male,17,22.29795221907938,,"['Small Fish', 'Sea Anemone', 'Sea Star', 'Mussel']",12,Stillness in cold water.
17,14,11.785912200604763,11,A farensis,,False,1.344031629682681,sub_adult,male or female,18,22.813137786801853,,"['Sea Urchin', 'Coral Fragment']",11,Resting in shaded rock crevice.
18,23,9.710491345278268,6,U. olhanensis,,False,7.224568163073032,sub_adult,female,19,22.259724109296815,,['Polychaete Worm'],7,Hiding beneath rocks.
19,30,10.431981398827912,3,U. olhanensis,,False,1.3216080808936819,sub_adult,male or female,20,24.329524702444925,,"['Jellyfish', 'Sea Sponge', 'Algae', 'Hermit Crab']",10,Moving sideways along sandy bottom.
20,26,10.424659600788324,2,U. olhanensis,,False,1.579153232505922,sub_adult,female,21,22.40253471443076,,"['Sea Anemone', 'Sea Star']",9,Moving sideways along sandy bottom.
21,12,9.81956909555142,4,A farensis,,False,83.76006529812844,pre_puberty,male,22,24.525368734510824,,['Mussel'],9,Half buried in sand.
