,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,A farensis,female,pre_puberty,False,Grazing on mollusks among debris.,"['Hermit Crab', 'Algae', 'Sea Anemone']",6.0,28.84033477629282,28.478603592815766,41.31289227070642,28.91451096855111,41.0,2020-11-21,37.02606,-8.01873,0
1,u. olhanen.,male,adult,,Displaying territorial behavior against intruder.,"['Sea Anemone', 'Algae', 'Sea Star', 'Mussel', 'Hermit Crab']",9.0,43.5,39.547184118365806,56.20192164119054,47.362489732793065,39.0,2020-11-21,,,1
2,u. olhanen.,male,sub_adult,,Camouflaging with nearby mud.,"['Shrimp', 'Snail', 'Sea Star']",8.0,28.75,25.952260718231667,38.34638171446657,30.974479419894205,42.0,2020-11-21,,,2
3,u. olhanen.,female,pre_puberty,True,Peering out cautiously from cover.,"['Hermit Crab', 'Crab (Other Species)']",5.0,12.481617278343926,16.082971185149432,21.292210967285968,12.977272251561251,40.0,2020-11-21,,,3
4,U. olhanensis,male,adult,,Searching tidal pools for nutrients.,"['Sea Anemone', 'Crab (Other Species)', 'Snail', 'Hermit Crab', 'Jellyfish']",9.0,36.0,37.474771959525775,46.9140129748368,36.40196634740215,42.0,2020-11-21,,,4
5,U. olhanensis,N/R,sub_adult,,Progressing cautiously through new area.,['Sea Anemone'],6.0,15.0,16.881928555603224,23.589314884753815,15.23848886778188,39.0,2020-11-21,,,5
6,u. olhanen.,male,juvenile,,Claw snapping in aggressive encounter.,"['Polychaete Worm', 'Hermit Crab', 'Jellyfish', 'Sea Urchin']",9.0,15.5,19.963802757942062,28.252444138137204,16.699029135031402,41.0,2020-11-21,,,6
7,A. Farensis,female,sub_adult,False,Claw snapping in aggressive encounter.,"['Algae', 'Polychaete Worm', 'Mussel', 'Shrimp', 'Barnacle']",9.0,38.534014662904895,44.029207604835655,56.34478910771796,42.099726970250956,43.0,2020-11-21,,,7
8,u. olhanen.,female,sub_adult,True,Brief social contact with fellow crabs.,"['Algae', 'Shrimp']",5.0,14.99363365264568,13.696438464611607,20.012357532916194,15.436111720954191,42.0,2020-11-21,,,8
9,U. olhanensis,nan,sub_adult,,Rapid clawing during feeding bouts.,['Snail'],6.0,20.0,19.402730859082155,25.01683432416551,21.12951921627673,40.0,2020-11-21,,,9
10,A. Farensis,female,adult,True,Filtering detritus from shallow bottom.,"['Jellyfish', 'Snail', 'Sea Urchin', 'Polychaete Worm', 'Sea Star']",10.0,26.275617359632314,29.566767795406832,41.09163291248729,26.72326876699901,41.0,2020-11-21,,,10
11,A. Farensis,female,pre_puberty,False,Claw snapping in diver confrontation.,"['Hermit Crab', 'Sea Star', 'Coral Fragment', 'Snail']",11.0,19.48930220218824,24.85879473000784,30.5730604214218,21.40383649426251,41.0,2020-11-21,,,11
12,u. olhanen.,male,pre_puberty,,Adopting threatening stance when approached.,['Polychaete Worm'],6.0,24.0,28.902247117305446,41.05339092730718,24.561848147131048,40.0,2020-11-21,,,12
13,U. olhanensis,male,sub_adult,,Gradual movement in cold conditions.,"['Sea Star', 'Polychaete Worm']",12.0,25.0,22.437169502192784,30.840331116147887,25.441415872033968,42.0,2020-11-21,,,13
14,Ucides alvorensis,male,adult,,Frequent pausing while exploring.,['Algae'],6.0,37.5,36.56478263209025,49.49165569792699,40.445118639518974,42.0,2020-11-21,,,14
