,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],is_gravid?,behavior
0,160,103.74088090640824,40,A farensis,-7.99163,True,10.210295445920485,p,male,1,145.51300446724912,37.01025,"['Small Fish', 'Polychaete Worm', 'Sea Sponge', 'Mussel']",6,True,Inspecting discarded crab shell.
1,190,126.83565028965174,40,A farensis,,False,409.84750139948994,j, ,2,159.95912727797452,,"['Jellyfish', 'Snail', 'Small Fish', 'Sea Anemone', 'Sea Urchin']",7,False,Stillness in cold water.
2,190,129.93545704322605,90,A farensis,,False,10.720759164355407,p,female,3,136.97202259564207,,"['Barnacle', 'Shrimp', 'Hermit Crab']",7,False,Social contact with other crabs.
3,220,123.47494094394227,60,u. olhanen.,,False,377.6090039189742,a,male,4,146.5396769791297,,"['Algae', 'Sea Star', 'Mussel']",7,False,Displaying dominance by lifting body.
4,270,134.2176077361558,50,A farensis,,True,51.718548412478924,a,female,5,149.66533353960497,,['Barnacle'],10,True,Stillness in cold water.
5,490,135.95855386758302,40,A. Farensis,,False,578.1175352671356,p,male,6,118.13241469765399,,"['Barnacle', 'Small Fish', 'Sea Urchin']",4,False,Escaping from aggressive fish.
6,120,131.46656464945397,70,U. olhanensis,,False,2.956992158359104,a, ,7,134.89612254663555,,"['Hermit Crab', 'Crab (Other Species)', 'Coral Fragment', 'Snail', 'Algae']",9,False,Waving claws rhythmically.
7,150,131.7272668050101,30,A farensis,,True,727.9334846595988,s,male,8,113.15363656132118,,"['Barnacle', 'Polychaete Worm', 'Sea Star']",9,True,Interacting with small fish nearby.
8,70,96.75105434569215,30,A farensis,,False,20.787143486954648,a,female,9,146.97889308916183,,"['Sea Urchin', 'Algae', 'Hermit Crab']",5,False,Rapid claw movement while feeding.
9,140,128.34066098010126,80,A. Farensis,,False,268.739074371606,s,male,10,118.58289244214625,,['Polychaete Worm'],8,False,Moving toward bait.
10,200,115.942938366421,50,u. olhanen.,,False,254.20885537819424,p,female,11,136.09957713492875,,['Algae'],7,False,Moving toward warmer water pockets.
11,170,117.8167828278164,30,A. Farensis,,False,16.39153294126126,p,?,12,134.2128728758504,,"['Crab (Other Species)', 'Sea Sponge', 'Hermit Crab', 'Barnacle']",10,False,Camouflaging with surrounding mud.
12,140,144.19122792607436,30,u. olhanen.,,True,131.31578072139337,a,female,13,151.12267310634996,,"['Jellyfish', 'Sea Urchin', 'Snail', 'Barnacle']",10,True,Slow movement near seagrass patches.
13,100,152.32678854794852,40,A farensis,,False,1500.0,p, ,14,155.12652614927032,,"['Mussel', 'Snail', 'Hermit Crab']",9,False,Emerging cautiously from hiding.
14,100,106.76208177456444,80,u. olhanen.,,False,601.0617128729988,s,male,15,139.05807671557358,,"['Snail', 'Small Fish', 'Sea Sponge', 'Mussel', 'Hermit Crab']",10,False,Shaking claws after contact.
15,230,143.84936088217296,60,A. Farensis,,False,18.096793825658118,p, ,16,127.36518911200855,,"['Mussel', 'Sea Anemone', 'Small Fish', 'Jellyfish', 'Coral Fragment']",7,False,Camouflaging with surrounding mud.
16,60,128.4059973774268,50,A. Farensis,,False,445.9808542641701,s,female,17,138.9241051276768,,"['Sea Sponge', 'Small Fish']",6,False,Moving toward warmer water pockets.
17,100,134.66920638549885,30,A farensis,,False,4.305688415340915,a,male,18,131.4280766860399,,['Polychaete Worm'],11,False,Slow movement near seagrass patches.
18,330,109.62993960578444,50,A. Farensis,,False,435.2558353843651,a,female,19,142.05428329607466,,['Small Fish'],9,False,Using claws to dig into sediment.
19,260,120.96241475658927,50,u. olhanen.,,False,209.15487755341658,s,male or female,20,122.69790863390239,,"['Sea Anemone', 'Mussel']",9,False,Crab moving quickly across rocks.
20,180,119.05545176751477,40,A. Farensis,,False,4.081622936339426,s,female,21,146.18457528230869,,['Small Fish'],11,False,Moving in groups.
21,170,136.86049803567005,50,u. olhanen.,,False,36.626543910676986,s, ,22,106.54754795680894,,['Hermit Crab'],5,False,Rapid crossing of open sand.
22,120,123.74469176144927,70,A farensis,,False,19.254525014404678,s,female,23,122.51452415860194,,"['Shrimp', 'Coral Fragment', 'Jellyfish', 'Small Fish']",10,False,Claw snapping in competition.
