,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,U. olhanensis,female,sub_adult,False,Swimming briefly to avoid disturbance.,"['Coral Fragment', 'Small Fish', 'Polychaete Worm', 'Shrimp']",8.0,12.078330143849554,10.581793242571356,13.882748115411719,12.190736143350808,49.0,2020-01-02,37.02606,-8.01873,0
1,U. olhanensis,male,adult,,Swiftly dashing across exposed sand.,"['Algae', 'Jellyfish', 'Coral Fragment', 'Sea Sponge', 'Small Fish']",10.0,19.5,20.405236273495024,24.732819077276712,21.120793983858732,50.0,2020-01-02,,,1
2,A. Farensis,female,sub_adult,False,Guarding eggs beneath body flap.,"['Hermit Crab', 'Shrimp']",9.0,13.340503162099607,13.612457048166124,16.88684219543035,13.755537540603502,49.0,2020-01-02,,,2
3,A. Farensis,female,juvenile,False,Consuming algae scraped from barnacles.,"['Algae', 'Mussel', 'Sea Star']",5.0,10.443463622198843,11.121640307218357,15.776576044495322,10.774695975937075,50.0,2020-01-02,,,3
4,A farensis,male,adult,,Advancing toward bait in water.,['Sea Anemone'],4.0,16.5,15.48932549994586,18.609789724483413,16.905332408826506,49.0,2020-01-02,,,4
5,A. Farensis,male,adult,,Protecting territory in confined space.,"['Algae', 'Sea Star', 'Polychaete Worm', 'Small Fish']",9.0,27.0,25.450748452020225,32.259549732408814,27.81920559906758,48.0,2020-01-02,,,5
6,Ucides alvorensis,N/R,adult,,Feeding on small crustaceans in crevices.,"['Jellyfish', 'Barnacle']",9.0,22.5,22.1625733483282,30.103371173845943,23.57420352739854,50.0,2020-01-02,,,6
7,u. olhanen.,male,adult,,Protecting territory in confined space.,"['Sea Sponge', 'Snail', 'Barnacle', 'Algae']",6.0,18.0,17.402792353894448,25.53421073939706,18.276697294635376,50.0,2020-01-02,,,7
8,U. olhanensis,female,adult,False,Grazing on mollusks among debris.,"['Mussel', 'Algae', 'Jellyfish', 'Snail']",7.0,7.041739299342792,6.854021014758506,8.899240132598267,7.25045716175409,50.0,2020-01-02,,,8
9,Ucides alvorensis,male,juvenile,,Foraging through tangled seagrass roots.,"['Hermit Crab', 'Polychaete Worm']",11.0,3.5,3.1611648653087205,4.130868457676514,3.68310870693936,49.0,2020-01-02,,,9
