,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,u. olhanen.,male,sub_adult,True,Camouflaging with nearby mud.,['Polychaete Worm'],9.0,40.0,37.734116983316596,30.863951177618212,987.1289416141357,37.02606,-8.01873,0
1,A. Farensis,male,adult,,Picking algae carefully off rock faces.,"['Polychaete Worm', 'Mussel', 'Sea Urchin', 'Snail', 'Algae']",9.0,21.0,19.192769820171016,13.75688577064209,212.10577581960155,,,1
2,A farensis,male,adult,,Traversing algae-slick rock surfaces.,"['Coral Fragment', 'Hermit Crab']",10.0,30.0,27.090591549073075,19.026308058780316,480.3045451695392,,,2
3,u. olhanen.,female,adult,True,Foraging through tangled seagrass roots.,"['Mussel', 'Hermit Crab', 'Snail', 'Sea Anemone']",9.0,15.358483757415241,14.519819917436031,12.21155986538565,11.081405313317733,,,3
4,u. olhanen.,female,sub_adult,True,Protecting territory in confined space.,"['Polychaete Worm', 'Barnacle', 'Coral Fragment', 'Sea Anemone', 'Shrimp']",10.0,27.907989469753645,38.05429696147366,31.7339980467198,30.841720561014068,,,4
5,u. olhanen.,male,juvenile,,Concealing self beneath floating matter.,['Sea Anemone'],10.0,5.5,5.891209920905454,17.662623928699272,4.355468501900229,,,5
6,Ucides alvorensis,male or female,juvenile,,Claw snapping in aggressive encounter.,"['Sea Anemone', 'Crab (Other Species)', 'Sea Urchin']",11.0,7.5,9.323496697755772,24.679655196695354,6.712541801393721,,,6
7,u. olhanen.,male,juvenile,,Grazing on mollusks among debris.,"['Crab (Other Species)', 'Polychaete Worm', 'Coral Fragment', 'Sea Star', 'Sea Urchin']",8.0,10.5,9.640033020675903,7.40500034304952,51.429498436184474,,,7
8,u. olhanen.,female,juvenile,True,Reacting to sudden changes in temperature.,"['Mussel', 'Snail', 'Barnacle', 'Jellyfish']",6.0,6.466606860905043,4.745502064933157,3.328138354571234,3.4601061866660574,,,8
9,A farensis,female,pre_puberty,True,Protecting territory in confined space.,"['Sea Star', 'Sea Anemone']",9.0,17.99930807440972,19.743894582855205,17.623824149424053,14.340113881007058,,,9
10,A farensis,male,adult,True,Claw snapping in aggressive encounter.,"['Shrimp', 'Mussel', 'Crab (Other Species)', 'Algae']",10.0,40.5,38.97309315746338,31.278238694363747,771.9755848716644,,,10
11,U. olhanensis,female,adult,False,Engaging in struggle with seaweed entanglement.,"['Snail', 'Sea Anemone', 'Sea Sponge', 'Polychaete Worm', 'Crab (Other Species)']",8.0,30.15002363412278,32.67228966797915,31.153309785630785,24.60279964996866,,,11
12,u. olhanen.,male,sub_adult,,Lying still to avoid detection.,['Hermit Crab'],8.0,72.5,59.463582158453406,42.40136118530007,1958.1874311909514,,,12
13,A farensis,male,juvenile,,Protecting territory in confined space.,"['Sea Sponge', 'Sea Urchin', 'Mussel', 'Sea Anemone']",7.0,7.5,5.106912212206613,3.8425149433565577,14.824357045175121,,,13
14,u. olhanen.,male,adult,,Claw snapping in aggressive encounter.,"['Algae', 'Sea Anemone', 'Sea Urchin', 'Polychaete Worm']",6.0,37.5,39.63633841934526,28.487197924863633,858.5084780745273,,,14
15,A farensis,female,adult,True,Scavenging at the edge of tidal pools.,"['Snail', 'Sea Anemone', 'Shrimp', 'Barnacle']",5.0,28.3230772199138,25.98801779970746,16.665698832255668,22.30753994726271,,,15
16,U. olhanensis,male,pre_puberty,,Displaying territorial behavior against intruder.,"['Sea Star', 'Small Fish']",8.0,9.0,8.257578036493278,6.120802350060435,42.66505560248365,,,16
17,A farensis,female,sub_adult,True,Waving claw in signal to another crab.,['Sea Urchin'],8.0,23.233543970096328,28.26556092045029,26.045162702840322,23.58342178612977,,,17
18,A. Farensis,male,pre_puberty,,Slowly navigating around seagrass beds.,"['Hermit Crab', 'Snail', 'Sea Urchin', 'Sea Anemone', 'Polychaete Worm']",7.0,12.75,9.474861519860854,7.621913702367717,59.95371352037778,,,18
19,u. olhanen.,male or female,pre_puberty,,Group migration across shallow seabed.,"['Snail', 'Shrimp', 'Barnacle', 'Sea Star']",11.0,12.31669073451674,13.405081726388383,10.984510295039408,14.268487994197484,,,19
20,u. olhanen.,male,adult,True,Performing dominance display by body lifting.,"['Shrimp', 'Snail', 'Crab (Other Species)', 'Sea Urchin', 'Polychaete Worm']",4.0,58.5,63.45401094297569,52.626933981471666,2128.315324792901,,,20
21,A farensis,female,sub_adult,True,Displaying territorial behavior against intruder.,"['Polychaete Worm', 'Barnacle', 'Coral Fragment', 'Sea Anemone']",6.0,19.585386117357956,16.16330864441808,10.752866005618513,12.841995861852997,,,21
