,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,U. olhanensis,N/R,adult,True,Feeding on decaying matter among rocks.,"['Mussel', 'Sea Sponge']",10.0,17.266077687829615,14.37100523496401,11.933639951859067,14.729511520916425,37.02606,-8.01873,0
1,u. olhanen.,male,sub_adult,,Color change during molting stress.,['Shrimp'],8.0,17.5,20.572742565849342,15.171112789462322,249.01694366415228,,,1
2,A farensis,N/R,pre_puberty,,Retreating swiftly from perceived danger.,"['Snail', 'Algae', 'Shrimp']",7.0,7.5,6.49079239929669,14.82182902275707,5.034389572634192,,,2
3,u. olhanen.,male,pre_puberty,,Searching tidal pools for nutrients.,"['Barnacle', 'Hermit Crab', 'Jellyfish', 'Polychaete Worm', 'Shrimp']",8.0,5.25,5.518748233501146,20.22450509679768,4.470879069637289,,,3
4,Ucides alvorensis, ,juvenile,,Scaling steep rock faces near shore.,"['Hermit Crab', 'Coral Fragment']",9.0,10.0,8.426939845849969,25.598073660326854,6.79852832313604,,,4
5,A farensis,male,pre_puberty,,Clambering up submerged tree trunks.,"['Sea Anemone', 'Mussel']",6.0,9.75,11.933129740354651,110.72865210204576,8.478761770419231,,,5
6,u. olhanen.,male,adult,,Scuttling swiftly over rocky terrain.,"['Coral Fragment', 'Sea Star', 'Jellyfish']",9.0,36.0,36.9575131023752,711.4756133722962,28.543043456431377,,,6
7,u. olhanen.,female,adult,True,Feeding on decaying matter among rocks.,['Barnacle'],7.0,11.830480001855264,13.72696508316027,12.105402919973262,9.626333439045359,,,7
8,A farensis,female,pre_puberty,False,Clambering up submerged tree trunks.,"['Coral Fragment', 'Jellyfish', 'Polychaete Worm', 'Algae']",9.0,12.265801855165085,14.616567304753138,12.448885143909989,11.468836657161006,,,8
9,U. olhanensis,male,sub_adult,,Side-stepping along sandy coastal floor.,"['Sea Star', 'Snail', 'Jellyfish']",6.0,30.0,34.36528730742298,25.537451656926184,748.1033323040972,,,9
10,u. olhanen.,female,adult,True,Inspecting remains of another crab.,"['Sea Anemone', 'Barnacle', 'Jellyfish']",10.0,33.39997806360445,36.59317260819262,30.338699644035525,27.262026293782576,,,10
11,A. Farensis,male,pre_puberty,,"Stationary, blending into rocky backdrop.","['Polychaete Worm', 'Coral Fragment']",8.0,9.75,7.993224393717466,6.013837283436687,45.10747345174712,,,11
12,A farensis,male,sub_adult,,Peering out cautiously from cover.,"['Hermit Crab', 'Shrimp', 'Sea Urchin', 'Algae', 'Coral Fragment']",11.0,11.25,11.963143413291826,9.353836506038837,82.28599757970755,,,12
13,u. olhanen.,male,adult,,Interaction with nearby hermit crab.,"['Sea Star', 'Sea Urchin']",6.0,16.5,17.400730352167656,14.252137895348914,185.5149737506327,,,13
14,U. olhanensis,male,sub_adult,,Reacting to sudden changes in temperature.,"['Snail', 'Coral Fragment', 'Sea Anemone']",10.0,33.75,38.73733204909769,32.92117954278113,1051.3644138104992,,,14
15,u. olhanen.,female,adult,True,"Burrowing into soft, sandy sediment.","['Coral Fragment', 'Sea Urchin', 'Mussel', 'Snail']",8.0,18.380752887496907,22.998866666506245,19.775995907843335,16.842790228862057,,,15
16,A farensis,female,sub_adult,False,Retreating quickly into hidden burrow.,['Algae'],8.0,18.362399888258796,21.05695570857759,14.692264238629459,15.785665189140193,,,16
17,u. olhanen., ,adult,,Claw snapping in aggressive encounter.,['Coral Fragment'],9.0,25.273341441545405,25.60643368139523,21.461586837516407,23.811067650270317,,,17
18,A. Farensis,female,adult,True,Group migration across shallow seabed.,"['Barnacle', 'Algae']",9.0,13.44182781259444,13.732229609366948,11.191319241940116,12.21922982517367,,,18
19,U. olhanensis,female,adult,False,Scaling steep rock faces near shore.,"['Sea Star', 'Sea Urchin', 'Coral Fragment', 'Crab (Other Species)', 'Sea Sponge']",9.0,32.37271538856514,29.90326408398161,20.89332701052903,23.9237849273356,,,19
20,u. olhanen.,male,sub_adult,True,Lying still to avoid detection.,['Sea Sponge'],9.0,16.25,18.33973873427148,172.98167111867542,13.773394312717224,,,20
21,A farensis,male,sub_adult,,Resting in shaded crevice along cliff.,"['Sea Anemone', 'Shrimp', 'Polychaete Worm', 'Hermit Crab']",10.0,22.5,26.228633133223706,22.919042846836327,446.4672337319697,,,21
22,u. olhanen.,female,adult,False,Hiding beneath overhanging rock.,"['Polychaete Worm', 'Mussel']",10.0,31.60379247189737,41.08614949459872,41.01474871617516,36.12597528175825,,,22
23,Ucides alvorensis,male,adult,,Grazing on mollusks among debris.,['Sea Star'],11.0,19.5,20.506551655196333,252.45826656485517,17.13362741296429,,,23
24,A. Farensis,female,adult,True,Brief social contact with fellow crabs.,"['Small Fish', 'Mussel', 'Polychaete Worm']",8.0,26.310530328388744,26.511741005771697,17.126719885372985,21.578283850162755,,,24
25,U. olhanensis,female,sub_adult,False,Picking algae carefully off rock faces.,"['Shrimp', 'Sea Star']",9.0,14.423029125935916,13.949529032107415,11.240260911769523,11.32608114182445,,,25
26,U. olhanensis,N/R,sub_adult,,Scaling steep rock faces near shore.,"['Sea Sponge', 'Hermit Crab', 'Sea Anemone']",7.0,12.074659793488586,10.72663785014258,9.009179214105544,11.045127688979711,,,26
27,A farensis,male,adult,,Inspecting remains of another crab.,['Crab (Other Species)'],9.0,33.0,32.92539255087514,692.6415929627746,23.412480447786642,,,27
28,U. olhanensis,female,adult,False,Consuming algae scraped from barnacles.,"['Sea Urchin', 'Sea Star']",8.0,6.395629557450992,7.8922297771236725,7.8122832518289975,6.130164671239182,,,28
29,A farensis,male,adult,,Gradual movement in cold conditions.,"['Sea Anemone', 'Algae', 'Sea Sponge']",7.0,12.0,12.296299992759725,9.538688399836067,97.39847728505737,,,29
30,A farensis,male,adult,True,Scuttling swiftly over rocky terrain.,"['Jellyfish', 'Small Fish', 'Shrimp', 'Polychaete Worm', 'Coral Fragment']",7.0,18.0,16.914983148882737,13.711180256083102,176.11731875310883,,,30
31,u. olhanen.,male,sub_adult,,Scuttling swiftly over rocky terrain.,"['Sea Sponge', 'Barnacle']",9.0,17.5,19.540303523551064,271.865588834217,14.991920081180423,,,31
32,u. olhanen.,male,juvenile,,Engaging in struggle with seaweed entanglement.,"['Sea Sponge', 'Algae', 'Small Fish', 'Hermit Crab']",7.0,7.0,8.790775968131733,38.887476555238415,6.313971139944436,,,32
33,A farensis,male,juvenile,,Reacting to sudden changes in temperature.,['Jellyfish'],6.0,5.0,6.737521779628343,26.7016758607362,5.7173855648893985,,,33
34,u. olhanen.,female,sub_adult,False,Rhythmic waving as social cue.,['Shrimp'],10.0,19.079248378646792,15.858810315749148,13.855406027287374,11.623317396284696,,,34
35,U. olhanensis,male,pre_puberty,,Scavenging at the edge of tidal pools.,"['Hermit Crab', 'Snail']",11.0,5.25,5.216632509103081,14.63500125254011,4.257473206613242,,,35
36,A. Farensis,male,adult,,Feeding on decaying matter among rocks.,"['Algae', 'Coral Fragment']",9.0,19.5,20.427249433824546,16.844908063794787,291.11863257254095,,,36
37,u. olhanen.,male,adult,,Escaping from pursuing predator silhouette.,"['Snail', 'Barnacle']",8.0,15.0,15.054917879684343,12.554088976421136,151.079491138809,,,37
38,A. Farensis,female,juvenile,False,Hiding beneath overhanging rock.,"['Hermit Crab', 'Coral Fragment', 'Small Fish', 'Sea Urchin', 'Algae']",7.0,1.4904036324852548,1.1854737914592741,0.8590307506503808,0.9524177580154253,,,38
39,U. olhanensis,male,adult,,Traversing algae-slick rock surfaces.,"['Small Fish', 'Snail']",8.0,22.5,21.91640987947675,17.857577913000682,252.34855912622686,,,39
40,U. olhanensis,female,adult,False,Vibrating antennae in flowing current.,"['Mussel', 'Jellyfish', 'Sea Anemone', 'Snail', 'Crab (Other Species)']",6.0,20.371631284469327,23.375927965248916,18.387737883321563,20.02972580526686,,,40
41,A. Farensis,female,adult,False,Camouflaging with nearby mud.,"['Sea Sponge', 'Shrimp']",7.0,6.674998579276661,6.898687354300056,4.497782551764853,5.547040845016786,,,41
42,u. olhanen.,male,pre_puberty,,Displaying territorial behavior against intruder.,"['Small Fish', 'Coral Fragment']",7.0,26.25,27.402973034312648,20.72195194878296,403.86007530121367,,,42
43,u. olhanen.,male,pre_puberty,,Collecting biofilm from sunken wood.,"['Coral Fragment', 'Algae', 'Hermit Crab', 'Sea Star', 'Crab (Other Species)']",6.0,21.0,23.16818332719045,373.3819349339793,17.253363429940077,,,43
44,u. olhanen.,male,adult,,Slowly navigating around seagrass beds.,"['Sea Anemone', 'Coral Fragment', 'Barnacle', 'Shrimp']",6.0,16.5,17.492141245319623,221.4814384820814,15.711327372874491,,,44
45,A farensis,male,pre_puberty,,Reacting to sudden changes in temperature.,"['Algae', 'Hermit Crab', 'Sea Anemone']",7.0,6.75,4.964909292679365,4.234432395517607,14.22489498048114,,,45
46,A farensis,male,pre_puberty,,Rhythmic waving as social cue.,"['Coral Fragment', 'Snail', 'Sea Urchin', 'Barnacle', 'Polychaete Worm']",9.0,12.75,13.059040235582497,126.0945866440313,11.308344445202692,,,46
47,u. olhanen.,male or female,sub_adult,,Emerging slowly after perceived threat.,"['Algae', 'Sea Sponge']",6.0,17.5,16.30410921685611,70.48417997102776,12.407048382250474,,,47
48,A. Farensis,female,sub_adult,False,Mating ritual involving antennae brushing.,"['Polychaete Worm', 'Small Fish', 'Shrimp', 'Mussel']",7.0,9.826795286377234,11.380052876282662,8.834865938540476,10.179184814041896,,,48
49,U. olhanensis,male,adult,,Scuttling swiftly over rocky terrain.,['Small Fish'],7.0,37.5,38.95515725821414,33.80235352109048,1004.615129150049,,,49
50,A. Farensis,female,pre_puberty,False,Slowly navigating around seagrass beds.,"['Hermit Crab', 'Sea Sponge', 'Algae', 'Small Fish']",8.0,10.780547520555348,8.11946128392413,6.2711175224996465,7.251801801587691,,,50
51,u. olhanen.,male,adult,,Defensive claw movement in water.,"['Small Fish', 'Mussel', 'Sea Star', 'Sea Sponge']",4.0,33.0,32.546238420532596,24.586193125920868,778.1411051764769,,,51
52,U. olhanensis,female,adult,False,Resisting aggressive fish encounter.,"['Algae', 'Crab (Other Species)']",10.0,17.40035191813464,16.056833368184275,15.969274266190116,13.086504924854758,,,52
53,A. Farensis,female,sub_adult,True,Approaching small fish with curiosity.,"['Coral Fragment', 'Algae']",9.0,19.34090197476788,19.456495753345738,18.50181133708117,14.18544076674883,,,53
54,A farensis,female,pre_puberty,True,Color change during molting stress.,['Algae'],9.0,13.894439591065456,15.158360772675397,14.849307474894168,11.329551566686963,,,54
