,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid?,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],behavior
0,130,100.13109687217533,100,A farensis,-7.99163,False,2.2133647295221652,s,female,1,188.26878599100655,37.01025,"['Mussel', 'Sea Star', 'Algae', 'Sea Urchin']",9,Inspecting discarded crab shell.
1,150,90.73263548927531,20,u. olhanen.,,False,35.282446852174544,a,male,2,180.31069570656737,,"['Mussel', 'Small Fish', 'Crab (Other Species)', 'Sea Star']",7,Claw snapping in competition.
2,330,118.04328320277811,50,u. olhanen.,,True,41.6003583035161,a,male,3,148.73157104673163,,"['Mussel', 'Polychaete Worm']",8,Interacting with small fish nearby.
3,190,99.42378751746074,40,A farensis,,False,2.8619141918812367,p,female,4,184.79692162689724,,['Hermit Crab'],10,Burrowing into sandy sediment.
4,70,136.2144256604952,20,U. olhanensis,,False,0.5599870477681336,j,female,5,164.24324831155275,,"['Mussel', 'Polychaete Worm', 'Sea Sponge', 'Hermit Crab']",7,Moving sideways along sandy bottom.
5,120,105.66691137415647,40,A farensis,,False,8.078363058410568,p,male,6,166.16781049560103,,"['Sea Sponge', 'Algae', 'Barnacle', 'Sea Anemone']",11,Mating behavior with antenna touching.
6,240,107.14292618739051,50,u. olhanen.,,True,71.91247331900915,a,male,7,167.47208186915347,,['Coral Fragment'],5,Camouflaging with surrounding mud.
7,220,91.64646238300043,40,A farensis,,False,4.425786038336476,p, ,8,157.6027025302371,,"['Polychaete Worm', 'Sea Star', 'Mussel', 'Small Fish']",9,Swimming short distance to escape.
8,130,91.70395128069514,100,u. olhanen.,,True,0.6981663102060576,p,male,9,157.29133654433167,,"['Sea Star', 'Mussel', 'Sea Sponge', 'Crab (Other Species)', 'Hermit Crab']",7,Hiding beneath rocks.
9,330,105.37458470068323,20,A farensis,,False,247.3048313579541,s,male,10,133.87452483112207,,"['Sea Sponge', 'Mussel', 'Sea Star', 'Hermit Crab']",7,Sitting still blending with environment.
10,130,117.26909216011285,90,u. olhanen.,,True,52.86818822529311,p,male,11,153.82109493071408,,"['Small Fish', 'Shrimp', 'Sea Star', 'Hermit Crab', 'Sea Urchin']",7,Moving in groups.
11,170,108.86877458139695,20,u. olhanen.,,False,591.5682923769273,a,-,12,169.5563188472027,,['Barnacle'],10,Feeding on small crustaceans.
12,190,108.02965642441265,30,A. Farensis,,True,1283.608065534124,s,female,13,147.57790799245967,,"['Sea Sponge', 'Barnacle', 'Sea Urchin', 'Hermit Crab', 'Mussel']",13,Picking detritus from seabed.
13,180,91.85793889200035,50,A. Farensis,,True,5.768455846293289,s,male,14,158.3653716269825,,"['Mussel', 'Hermit Crab', 'Polychaete Worm', 'Crab (Other Species)']",9,Searching for food in tidal pools.
14,350,122.63361284383082,40,A farensis,,False,121.91639618592554,p,female,15,159.19635677117464,,"['Crab (Other Species)', 'Sea Sponge']",7,Sitting still blending with environment.
15,190,101.15208522982587,20,A farensis,,False,63.70024761560599,s,male,16,176.83323474015114,,"['Hermit Crab', 'Crab (Other Species)', 'Algae', 'Jellyfish', 'Small Fish']",9,Swimming short distance to escape.
16,110,123.28229420713689,30,u. olhanen.,,False,0.3617718712081222,p,N/R,17,168.78593677078467,,"['Algae', 'Jellyfish', 'Sea Anemone', 'Small Fish', 'Mussel']",6,Sitting still blending with environment.
17,230,82.79655006987252,60,A farensis,,False,1.205054652610277,p,female,18,163.24357284173348,,"['Crab (Other Species)', 'Hermit Crab', 'Polychaete Worm', 'Barnacle']",5,Feeding on small crustaceans.
18,250,103.32934095749084,40,A. Farensis,,True,86.37214130736623,s,male,19,143.61650695032705,,"['Hermit Crab', 'Sea Star']",9,Interacting with small fish nearby.
19,240,99.03863207955197,90,u. olhanen.,,False,6.894214493400971,j,female,20,166.2298531798305,,"['Snail', 'Shrimp', 'Small Fish', 'Algae', 'Sea Sponge']",7,Hiding under floating debris.
20,80,91.25101501368192,50,u. olhanen.,,False,239.16902416587516,s,female,21,163.10808308162598,,"['Hermit Crab', 'Sea Sponge']",6,Dragging shell fragment backward.
