,cl [cm],lcl [cm],fw [cm],species_name,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],is_gravid?,behavior
0,21,8.286859274470437,2,U. olhanensis,-7.99163,False,0.5591589673705248,pre_puberty,male or female,1,9.940608028519838,37.01025,"['Polychaete Worm', 'Hermit Crab']",11,False,Climbing onto submerged logs.
1,15,7.882057536921039,4,A farensis,,False,0.4426308881002251,pre_puberty, ,2,12.79895018557267,,"['Sea Sponge', 'Barnacle', 'Sea Anemone', 'Small Fish', 'Polychaete Worm']",10,False,Dragging shell fragment backward.
2,20,4.813204162567343,3,A. Farensis,,False,80.69904021071017,pre_puberty,male,3,11.122441085586784,,"['Shrimp', 'Sea Urchin', 'Snail', 'Algae', 'Hermit Crab']",7,False,Sideways walking along bay edge.
3,37,8.152052852413318,5,U. olhanensis,,False,99.11021299180153,juvenile,male,4,15.738520897662138,,['Shrimp'],10,False,Guarding a small hole in sediment.
4,6,5.12071031314687,7,A farensis,,False,21.89756576657589,sub_adult,male,5,10.040925935892759,,"['Sea Anemone', 'Sea Urchin', 'Crab (Other Species)', 'Barnacle']",10,False,Feeding on small mollusks.
5,8,7.9507119673880595,2,A. Farensis,,False,43.22927999949366,sub_adult,?,6,13.004007005958872,,"['Sea Anemone', 'Algae']",9,False,Climbing barnacle-covered surfaces.
6,17,5.9869394576282176,3,A farensis,,True,1.5537308688145293,sub_adult,female,7,13.175208011003864,,"['Barnacle', 'Algae', 'Hermit Crab']",12,True,Hiding under floating debris.
7,15,6.074641733513245,5,A. Farensis,,True,108.95951663777254,juvenile,male or female,8,10.233291474896102,,"['Small Fish', 'Algae', 'Snail', 'Sea Urchin', 'Shrimp']",8,True,Camouflaging with surrounding mud.
8,23,9.900240595447599,7,A. Farensis,,True,1.3185664131336707,adult,female,9,13.128740050493343,,"['Hermit Crab', 'Coral Fragment', 'Crab (Other Species)', 'Shrimp']",10,True,Foraging among seagrass roots.
9,20,7.8174424921862045,5,A farensis,,True,5.694780026430087,juvenile,female,10,12.691889061564202,,['Barnacle'],5,True,Hiding in sandy burrow.
10,8,9.647082655485699,6,A farensis,,False,27.69924658939713,juvenile,male,11,8.154311179065513,,['Shrimp'],10,False,Rapid claw movement while feeding.
11,32,7.017752096899501,4,A farensis,,False,13.36702150127791,sub_adult, ,12,10.117711527209943,,"['Crab (Other Species)', 'Sea Sponge', 'Sea Anemone', 'Sea Urchin']",11,False,Camouflaging with surrounding mud.
12,34,8.088892268827776,4,A. Farensis,,False,3.6302252418646916,sub_adult,female,13,11.95860669988311,,"['Polychaete Worm', 'Algae']",8,False,Escaping predator silhouette overhead.
13,13,9.150171239342635,3,u. olhanen.,,False,2.0424854484157513,sub_adult,female,14,9.791748369581377,,['Sea Star'],11,False,Social contact with other crabs.
14,26,5.195701119124736,4,A farensis,,False,5.478008548119747,sub_adult,female,15,13.853504946099799,,"['Sea Sponge', 'Polychaete Worm', 'Jellyfish', 'Sea Star', 'Snail']",8,False,Exploring new territory.
15,18,6.400297204428309,8,A. Farensis,,False,150.0,juvenile,male,16,10.666841387741684,,"['Sea Urchin', 'Mussel', 'Barnacle', 'Algae', 'Sea Sponge']",5,False,Retreating into burrow.
16,22,8.408397819231672,8,u. olhanen.,,False,4.753818478246046,juvenile,female,17,15.666279723303301,,"['Polychaete Worm', 'Shrimp', 'Sea Urchin', 'Crab (Other Species)', 'Sea Sponge']",9,False,Inspecting discarded crab shell.
17,40,6.265732579684089,2,A farensis,,False,23.403369428510814,sub_adult,nan,18,10.375351484435184,,"['Sea Sponge', 'Barnacle', 'Algae', 'Small Fish', 'Coral Fragment']",7,False,Moving toward warmer water pockets.
18,6,5.10996650834926,2,A farensis,,False,3.794979189841353,pre_puberty,female,19,11.666906227222446,,"['Shrimp', 'Algae', 'Snail', 'Sea Sponge', 'Crab (Other Species)']",6,False,Climbing algae-covered rocks.
19,15,8.767273041862058,2,A. Farensis,,False,122.34631892835694,sub_adult,male,20,15.451124057105359,,"['Hermit Crab', 'Snail', 'Crab (Other Species)', 'Coral Fragment']",8,False,Feeding on small crustaceans.
20,15,6.940379786833483,7,A farensis,,False,31.326003443326655,adult,male,21,9.437678021017277,,"['Hermit Crab', 'Sea Anemone', 'Snail', 'Algae', 'Polychaete Worm']",9,False,Dragging shell fragment backward.
