species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
u. olhanen.,female,adult,True,Color changes during molting.,"['Mussel', 'Snail']",8.0,24.283922138328723,28.07894530279051,34.42750945126374,26.32232561341161,38.0,2021-03-27,37.02606,-8.01873,0
u. olhanen.,male,adult,,Feeding on small crustaceans.,"['Sea Sponge', 'Jellyfish']",11.0,39.0,35.299259848628196,49.9147929491533,40.62606605279078,36.0,2021-03-27,,,1
u. olhanen.,female,juvenile,True,Using claws to dig into sediment.,"['Sea Sponge', 'Hermit Crab', 'Algae', 'Barnacle', 'Snail']",6.0,8.581384598455736,6.222215089033002,8.59393233778814,9.044432665519704,36.0,2021-03-27,,,2
Ucides alvorensis,male or female,juvenile,,Moving toward bait.,"['Coral Fragment', 'Snail', 'Sea Sponge', 'Barnacle']",6.0,13.0,14.227557024804057,17.260456073279983,14.212768084395032,37.0,2021-03-27,,,3
A farensis,-,adult,,Scavenging near tidal pools.,"['Sea Anemone', 'Small Fish']",7.0,34.5,33.14978817123395,40.25764086637145,35.878503856402375,38.0,2021-03-27,,,4
u. olhanen.,female,adult,False,Pausing frequently during exploration.,"['Coral Fragment', 'Mussel']",9.0,15.18091626596786,15.484414159053712,19.826593172721168,16.475459786055513,38.0,2021-03-27,,,5
U. olhanensis,male,sub_adult,,Climbing onto submerged logs.,['Shrimp'],10.0,11.25,12.789386620374287,16.37195263153055,12.110342103266568,37.0,2021-03-27,,,6
u. olhanen.,female,adult,True,Feeding on algae scraped from rocks.,"['Sea Urchin', 'Crab (Other Species)', 'Algae']",9.0,54.47050416853676,47.95272737929981,67.49765597057596,55.60014304084248,37.0,2021-03-27,,,7
U. olhanensis,female,sub_adult,False,Searching for food in tidal pools.,"['Polychaete Worm', 'Small Fish', 'Snail', 'Crab (Other Species)']",9.0,16.41365696672898,13.808548158894913,20.365896363257303,16.678704443819257,38.0,2021-03-27,,,8
u. olhanen.,male,sub_adult,,Claw snapping in competition.,"['Polychaete Worm', 'Sea Urchin', 'Mussel', 'Sea Anemone', 'Sea Star']",6.0,41.25,47.898723526102366,58.2606731255792,43.87085336967243,35.0,2021-03-27,,,9
A farensis,female,pre_puberty,False,Retreating quickly from shadow.,"['Barnacle', 'Sea Urchin', 'Crab (Other Species)', 'Mussel', 'Small Fish']",9.0,10.448504214366832,11.47502449252553,17.034845091303747,11.080643788646146,37.0,2021-03-27,,,10
Ucides alvorensis,female,adult,True,Color changes during molting.,"['Crab (Other Species)', 'Small Fish']",9.0,40.547597718939876,39.75401427496853,58.56755846531122,41.61512570042255,37.0,2021-03-27,,,11
u. olhanen.,male,adult,,Exchanging antenna taps.,['Sea Anemone'],10.0,36.0,39.32217128566785,48.65208014097225,36.95131905270105,37.0,2021-03-27,,,12
A farensis,male,adult,,Picking biofilm on submerged wood.,"['Sea Star', 'Barnacle']",7.0,54.0,59.299240847547026,79.39326799842436,58.0923398142126,38.0,2021-03-27,,,13
Ucides alvorensis,male,sub_adult,,Hiding in sandy burrow.,"['Polychaete Worm', 'Mussel', 'Sea Urchin', 'Crab (Other Species)', 'Coral Fragment']",6.0,52.5,49.67197488710434,69.77713606104429,53.43482811690886,37.0,2021-03-27,,,14
U. olhanensis,female,adult,False,Dragging shell fragment backward.,"['Sea Anemone', 'Sea Sponge', 'Crab (Other Species)']",5.0,11.54732251904974,10.683051461089269,15.449563700951943,11.720223198440296,39.0,2021-03-27,,,15
A. Farensis,male,adult,,Vibrating antennae in water currents.,['Shrimp'],8.0,31.5,32.850172673729375,44.120188384929605,31.506589968624706,39.0,2021-03-27,,,16
U. olhanensis,female,sub_adult,False,Burrowing into sandy sediment.,"['Shrimp', 'Small Fish', 'Crab (Other Species)', 'Sea Anemone', 'Sea Urchin']",8.0,23.021613576878597,19.271336646044922,24.298132259632418,23.574923335535228,36.0,2021-03-27,,,17
u. olhanen.,female,pre_puberty,True,Half buried in sand.,"['Mussel', 'Small Fish', 'Coral Fragment', 'Sea Sponge']",7.0,12.634417582584252,15.009914489458563,20.449091360705033,13.814976212219086,36.0,2021-03-27,,,18
U. olhanensis,female,sub_adult,False,Claw waving directed at nearby crab.,"['Sea Anemone', 'Hermit Crab', 'Sea Urchin', 'Sea Star']",11.0,29.79528205529588,29.308268508061172,36.09609364819707,31.838042253546117,38.0,2021-03-27,,,19
u. olhanen.,male,sub_adult,True,Picking detritus from seabed.,"['Coral Fragment', 'Polychaete Worm', 'Snail']",8.0,33.75,35.031681307818246,51.84163679163726,35.845051568515586,39.0,2021-03-27,,,20
u. olhanen.,female,adult,True,Moving in groups.,"['Sea Sponge', 'Polychaete Worm']",8.0,36.90709725463143,37.44101058698532,48.04046437243476,37.88492010092588,38.0,2021-03-27,,,21
U. olhanensis,female,adult,True,Moving toward bait.,"['Polychaete Worm', 'Shrimp', 'Sea Urchin']",5.0,11.714460868835397,10.664622940252949,14.36908434161737,12.02108541023727,36.0,2021-03-27,,,22
U. olhanensis,male,adult,,Shaking claws after contact.,"['Algae', 'Sea Sponge', 'Hermit Crab', 'Coral Fragment']",8.0,31.5,33.508312533417026,49.377427458799644,32.79276960495589,37.0,2021-03-27,,,23
Ucides alvorensis,male,juvenile,,Inspecting discarded crab shell.,"['Sea Urchin', 'Shrimp', 'Barnacle', 'Small Fish', 'Jellyfish']",11.0,7.0,6.141896169580415,9.204604247518548,7.652762483034818,37.0,2021-03-27,,,24
A farensis,female,pre_puberty,True,Vibrating antennae in water currents.,"['Shrimp', 'Sea Anemone', 'Sea Sponge', 'Polychaete Worm']",6.0,5.098069710366934,6.531865036118766,8.208903729550876,5.4253340221890936,39.0,2021-03-27,,,25
U. olhanensis,male,juvenile,,Slow movement near seagrass patches.,"['Sea Sponge', 'Hermit Crab', 'Polychaete Worm', 'Mussel', 'Crab (Other Species)']",8.0,6.5,6.3845557354577425,9.232537297417174,7.0674809615585925,39.0,2021-03-27,,,26
