,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],latitude,longitude,id
0,A. Farensis,female,s,False,Swiftly dashing across exposed sand.,"['Sea Anemone', 'Coral Fragment']",5.0,3.5410089108244547,4.634948924087042,3.6596349566663475,4.047280339561988,37.1,-8.62,0
1,Ucides alvorensis,female,a,True,Creeping under the cover of seagrass.,"['Polychaete Worm', 'Snail']",5.0,6.337634400238423,5.9423306784080205,4.31819663227654,5.080028740917781,,,1
2,u. olhanen.,female,s,True,Peering out cautiously from cover.,"['Polychaete Worm', 'Barnacle', 'Coral Fragment']",10.0,3.189611528525256,3.165675828125858,2.111048236050172,2.56235194453274,,,2
3,u. olhanen.,female,p,True,Sheltering under broken shell piece.,"['Hermit Crab', 'Jellyfish', 'Snail', 'Algae']",2.0,1.3427275992026393,1.110374749248537,0.8126854855049701,0.9220890261709961,,,3
4,U. olhanensis,male,p,,Foraging through tangled seagrass roots.,"['Algae', 'Small Fish', 'Sea Star', 'Polychaete Worm', 'Hermit Crab']",6.0,2.590909090909091,2.134365624565417,12.532151518056667,1.7562684002321,,,4
5,U. olhanensis,female,p,False,Displaying territorial behavior against intruder.,['Algae'],9.0,2.4012017657571865,2.9970375063386303,1.9617487330898216,2.6798146954240076,,,5
6,A farensis,male,a,,Feeding on small crustaceans in crevices.,"['Small Fish', 'Mussel', 'Jellyfish', 'Sea Star', 'Shrimp']",2.0,1.3636363636363635,1.4185695232074076,1.0370328382700367,7.277434557992894,,,6
7,U. olhanensis,male,j,,Claw snapping in diver confrontation.,"['Sea Urchin', 'Algae']",6.0,0.9090909090909091,0.6021849025595035,0.4705595117958134,1.5709426929293249,,,7
8,Ucides alvorensis,male,p,,Retreating swiftly from perceived danger.,"['Algae', 'Shrimp', 'Sea Urchin']",5.0,2.25,2.2752637682114334,1.978908547883554,17.28275669616033,,,8
9,A farensis,female,a,False,Escaping from pursuing predator silhouette.,"['Sea Sponge', 'Algae', 'Crab (Other Species)']",5.0,2.4952832707330455,2.607077383961523,1.8361063744519412,2.225888764842434,,,9
10,Ucides alvorensis,female,j,False,Inspecting remains of another crab.,['Mussel'],11.0,1.4181259879409274,1.883978044418125,1.3604711702365753,1.5710390924418696,,,10
11,u. olhanen.,male,j,,Performing dominance display by body lifting.,"['Barnacle', 'Polychaete Worm']",4.0,1.6363636363636365,1.406551768683049,1.2064505378809844,7.273948445542825,,,11
12,A. Farensis,male,p,,Resting in shaded crevice along cliff.,"['Jellyfish', 'Snail', 'Coral Fragment']",8.0,0.4772727272727273,0.42197650887047883,0.3035837525146761,0.8479656792921518,,,12
13,A farensis,female,a,False,Approaching small fish with curiosity.,"['Jellyfish', 'Hermit Crab', 'Sea Anemone']",5.0,2.877411522934367,3.6235768046998724,2.4313570561820472,3.0167695128862615,,,13
14,A farensis,female,a,True,Frequent pausing while exploring.,"['Polychaete Worm', 'Jellyfish', 'Small Fish', 'Shrimp', 'Crab (Other Species)']",4.0,4.094283798044735,3.749837447027625,2.987344327406611,3.3685809875832664,,,14
15,A. Farensis,male,a,,Searching tidal pools for nutrients.,['Coral Fragment'],9.0,1.6363636363636365,1.6542785320855815,1.4166968102202178,9.210997707392472,,,15
16,Ucides alvorensis,female,j,False,Sifting through sediment for scraps.,"['Crab (Other Species)', 'Sea Sponge', 'Sea Anemone', 'Algae']",7.0,2.3234854026444074,2.107404007455209,1.3579871225501625,1.7167690971368428,,,16
17,U. olhanensis,male,a,,"Stationary, blending into rocky backdrop.",['Small Fish'],5.0,2.4545454545454546,2.697493425366733,22.66546882717971,1.9517492072477467,,,17
18,U. olhanensis,male,j,,Lying still to avoid detection.,"['Crab (Other Species)', 'Shrimp', 'Sea Star', 'Small Fish']",5.0,1.7727272727272727,1.5622189861462459,1.1696647397235784,8.729830297867753,,,18
19,U. olhanensis,male,a,,Frequent pausing while exploring.,"['Jellyfish', 'Snail', 'Coral Fragment', 'Sea Sponge', 'Polychaete Worm']",8.0,2.0454545454545454,1.8605177890405877,1.3666987769780534,10.134066491896698,,,19
20,A farensis,male,j,True,Vibrating antennae in flowing current.,"['Coral Fragment', 'Sea Sponge']",8.0,1.1818181818181819,1.3941177423643034,6.053422139405041,0.9791812935466762,,,20
21,A farensis,male,s,,Rapid clawing during feeding bouts.,['Mussel'],8.0,4.090909090909091,4.886555155057797,3.5008724193718965,49.62576666487675,,,21
22,U. olhanensis,male,s,,Claw snapping in aggressive encounter.,['Coral Fragment'],7.0,9.772727272727273,7.95088730883794,6.631795064738498,116.51557163505,,,22
