species,sex,stage,species_name,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
,female,pre_puberty,U. olhanensis,False,Claw waving directed at nearby crab.,"['Mussel', 'Polychaete Worm', 'Crab (Other Species)']",6.0,1.0535967081287636,0.8338788731357518,1.13621068794403,1.057026246472201,3.5454545454545454,2020-04-21,37.1,-8.62,0
,male,juvenile,A farensis,,Struggling with entangled seaweed.,"['Mussel', 'Crab (Other Species)']",6.0,0.5454545454545454,0.5661865406123963,0.7951593251141783,0.5794084823777784,3.4545454545454546,2020-04-21,,,1
,female,pre_puberty,u. olhanen.,False,Resting in shaded rock crevice.,"['Sea Star', 'Coral Fragment', 'Sea Anemone', 'Polychaete Worm']",5.0,1.1605781727108444,1.4079544203800725,2.0926173408280992,1.2195439484361645,3.4545454545454546,2020-04-21,,,2
,female,sub_adult,u. olhanen.,True,Feeding on algae scraped from rocks.,"['Sea Urchin', 'Sea Star']",8.0,0.8777171297569584,0.8562953093745379,1.1074441857564798,0.93722252459376,3.4545454545454546,2020-04-21,,,3
,male,adult,A farensis,,Climbing barnacle-covered surfaces.,"['Crab (Other Species)', 'Shrimp', 'Sea Urchin', 'Snail']",7.0,2.590909090909091,2.7918097620437012,3.548327730980806,2.8122954990064084,3.3636363636363638,2020-04-21,,,4
,male,pre_puberty,A farensis,,Emerging cautiously from hiding.,"['Sea Sponge', 'Algae', 'Sea Star', 'Jellyfish']",8.0,2.1136363636363638,1.6199231741020357,2.2219318651625204,2.260307287123982,3.4545454545454546,2020-04-21,,,5
,female,sub_adult,A. Farensis,True,Resting under shell fragment.,"['Polychaete Worm', 'Crab (Other Species)', 'Sea Urchin', 'Mussel']",6.0,0.5883492044381851,0.5346746845893258,0.7577353581301677,0.5992469835015516,3.4545454545454546,2020-04-21,,,6
,female,adult,u. olhanen.,False,Vibrating antennae in water currents.,['Coral Fragment'],4.0,1.0916483724239876,1.0760408313632883,1.5021899587170402,1.161113096569168,3.4545454545454546,2020-04-21,,,7
,male,sub_adult,U. olhanensis,,Claw snapping in competition.,['Sea Star'],8.0,2.272727272727273,1.9524316295782804,2.582230177872358,2.294456740132995,3.4545454545454546,2020-04-21,,,8
,male,adult,Ucides alvorensis,,Scavenging near tidal pools.,"['Polychaete Worm', 'Small Fish', 'Snail', 'Sea Anemone']",4.0,3.409090909090909,3.441065185474009,4.4565714782270645,3.4492861304969242,3.4545454545454546,2020-04-21,,,9
