species,sex,stage,species_name,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
,male,adult,A farensis,True,Climbing vertical rock face.,"['Sea Sponge', 'Mussel']",4.0,3.8181818181818183,3.6613211537412167,4.903918312207131,4.188303869420111,2.272727272727273,2022-02-27,37.1,-8.62,0
,male,sub_adult,U. olhanensis,,Feeding on small mollusks.,"['Jellyfish', 'Mussel']",7.0,2.9545454545454546,3.4005292867203063,4.274602060268358,3.2261673013802716,2.4545454545454546,2022-02-27,,,1
,female,adult,A. Farensis,False,Guarding a small hole in sediment.,"['Crab (Other Species)', 'Sea Star', 'Jellyfish']",7.0,5.838107065418051,4.962177381787647,6.183763469510425,5.95940466544935,2.3636363636363638,2022-02-27,,,2
,female,pre_puberty,U. olhanensis,False,Social contact with other crabs.,"['Polychaete Worm', 'Coral Fragment', 'Small Fish']",4.0,2.4550765279630564,2.736536018406109,3.8652850169540214,2.5375126935192927,2.3636363636363638,2022-02-27,,,3
,female,adult,u. olhanen.,False,Color changes during molting.,"['Crab (Other Species)', 'Snail']",5.0,1.8982392722319281,2.238178098063075,2.744255974947254,1.931929143105455,2.272727272727273,2022-02-27,,,4
,male,adult,U. olhanensis,,Crab moving quickly across rocks.,"['Hermit Crab', 'Small Fish', 'Mussel']",8.0,1.9090909090909092,1.8583034458343726,2.4498316570971657,2.086927803170767,2.272727272727273,2022-02-27,,,5
,female,sub_adult,A. Farensis,False,Exchanging antenna taps.,['Barnacle'],6.0,1.0182203968922794,1.2082266101866133,1.7384031642932172,1.0221429410656382,2.272727272727273,2022-02-27,,,6
,female,pre_puberty,u. olhanen.,False,Hiding in sandy burrow.,"['Shrimp', 'Polychaete Worm', 'Sea Star', 'Sea Sponge']",7.0,1.750159505627847,2.1610445377687526,2.8475084355351394,1.884347962234076,2.272727272727273,2022-02-27,,,7
,female,sub_adult,U. olhanensis,False,Searching for food in tidal pools.,"['Coral Fragment', 'Polychaete Worm']",8.0,1.68697668587412,2.062168505564353,2.8590964837953936,1.781601600362797,2.1818181818181817,2022-02-27,,,8
,female,juvenile,A farensis,False,Shaking claws after contact.,"['Crab (Other Species)', 'Shrimp', 'Hermit Crab', 'Algae']",7.0,0.9056283994920694,0.8381677688069238,1.0074070574451253,0.9204202459283352,2.3636363636363638,2022-02-27,,,9
