,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,u. olhanen.,female,pre_puberty,False,Entering burrow after disturbance.,"['Crab (Other Species)', 'Snail', 'Shrimp', 'Sea Sponge', 'Sea Anemone']",9.0,11.383626967270956,11.6908262759294,8.481253770803544,10.018762577590845,37.02606,-8.01873,0
1,u. olhanen.,female,adult,False,Advancing toward bait in water.,"['Barnacle', 'Crab (Other Species)', 'Sea Sponge', 'Polychaete Worm', 'Sea Anemone']",11.0,23.409975826456552,20.751345348407956,14.681687746759856,16.663391051527356,,,1
2,A. Farensis,male,sub_adult,,Traversing algae-slick rock surfaces.,"['Crab (Other Species)', 'Sea Sponge', 'Hermit Crab', 'Algae']",11.0,37.5,32.66030194611592,605.2290048375287,28.10864744259961,,,2
3,U. olhanensis,female,adult,False,Brief social contact with fellow crabs.,"['Jellyfish', 'Sea Star', 'Snail', 'Algae']",5.0,38.278743044483264,42.578609798011435,34.95271131028627,35.197257743498916,,,3
4,Ucides alvorensis, ,sub_adult,,Camouflaging with nearby mud.,['Coral Fragment'],7.0,43.75,42.74334964507295,506.24970665700164,35.455143787607724,,,4
5,A farensis,male,sub_adult,,Consuming algae scraped from barnacles.,"['Coral Fragment', 'Mussel', 'Jellyfish']",12.0,37.5,30.15519939053993,604.8758087375534,23.704306116211033,,,5
6,A. Farensis,male,adult,,Adopting threatening stance when approached.,['Algae'],11.0,42.0,41.50908831285662,1325.2909208240917,31.29482839523326,,,6
7,A. Farensis,female,adult,False,Clambering up submerged tree trunks.,"['Snail', 'Jellyfish', 'Barnacle', 'Sea Anemone', 'Polychaete Worm']",5.0,32.518259378857515,32.61791531398641,22.391955040199637,25.1399965729609,,,7
8,A. Farensis,male,pre_puberty,,Emerging slowly after perceived threat.,"['Algae', 'Sea Urchin']",8.0,4.5,3.2301558150914276,2.45385699207874,6.111408000966395,,,8
9,A. Farensis,female,juvenile,True,Peering out cautiously from cover.,"['Sea Star', 'Sea Sponge']",7.0,7.918304209224179,8.20307321366607,6.509895556214192,6.49372642646195,,,9
10,U. olhanensis,female,adult,False,Sifting through sediment for scraps.,['Snail'],9.0,11.710452078304943,11.289347847531868,7.509438237847464,8.977224281242497,,,10
11,A farensis,male,adult,,Gradual movement in cold conditions.,"['Coral Fragment', 'Hermit Crab']",9.0,36.0,38.48659099441425,27.921868512835147,1074.2374822176475,,,11
12,u. olhanen.,female,juvenile,True,Camouflaging with nearby mud.,"['Mussel', 'Small Fish', 'Sea Sponge', 'Barnacle']",10.0,12.095106658371323,15.342345812536072,11.147420697847348,11.737218587710803,,,12
13,A farensis,female,juvenile,False,Clambering up submerged tree trunks.,['Sea Star'],9.0,10.592383960938518,15.145890899516788,11.257047236864326,12.687714572930354,,,13
14,U. olhanensis,female,adult,False,Sheltering under broken shell piece.,"['Hermit Crab', 'Algae', 'Mussel', 'Sea Sponge', 'Sea Urchin']",8.0,14.778744620154136,18.281077803882425,14.530639818074691,15.438945311670953,,,14
15,A farensis,male,juvenile,,Harvesting food beneath floating debris.,['Sea Sponge'],7.0,6.5,7.512532918006581,5.376298153807374,41.133755526060014,,,15
16,A farensis,N/R,pre_puberty,,Nibbling detritus off seabed patches.,"['Hermit Crab', 'Algae', 'Sea Urchin']",10.0,5.25,5.960642541799113,12.514995023291014,4.346408424455631,,,16
17,u. olhanen.,female,juvenile,False,Approaching small fish with curiosity.,"['Small Fish', 'Sea Urchin', 'Sea Star']",7.0,3.1014039830739732,3.29680607057116,2.293621844351093,2.930724346579497,,,17
18,u. olhanen.,female,sub_adult,False,Color change during molting stress.,"['Hermit Crab', 'Polychaete Worm', 'Small Fish', 'Barnacle', 'Algae']",7.0,20.501598875919505,16.875151708788078,10.329437727293605,14.429063887065311,,,18
19,u. olhanen.,female,pre_puberty,False,Hiding beneath overhanging rock.,['Mussel'],7.0,8.63830201392928,10.3810181991294,9.910650785904014,7.4369017398956005,,,19
20,A. Farensis,male,sub_adult,True,Brief social contact with fellow crabs.,"['Algae', 'Hermit Crab']",8.0,46.25,52.59400308243631,40.767086713571075,1763.4195701355393,,,20
21,u. olhanen.,female,adult,False,Side-stepping along sandy coastal floor.,"['Sea Star', 'Small Fish', 'Mussel']",9.0,5.393520919116385,6.116977225525099,3.76238932188863,5.215501680154201,,,21
22,A farensis,male,pre_puberty,,Scaling steep rock faces near shore.,"['Polychaete Worm', 'Crab (Other Species)', 'Small Fish', 'Sea Anemone', 'Algae']",8.0,8.25,6.661561695131403,34.72545040547881,5.689151008425274,,,22
23,u. olhanen.,male,pre_puberty,,Color change during molting stress.,"['Coral Fragment', 'Sea Urchin', 'Algae', 'Crab (Other Species)']",9.0,15.75,20.23755004791053,17.959047295295214,289.638705505276,,,23
24,u. olhanen.,female,juvenile,True,Rapid clawing during feeding bouts.,['Snail'],9.0,15.126271589536138,12.642968921181128,9.641745871874106,10.506407475463748,,,24
