,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,U. olhanensis,female,adult,True,Foraging among seagrass roots.,"['Snail', 'Barnacle', 'Polychaete Worm', 'Algae']",9.0,26.487024102597026,30.405618730991975,40.48194752769363,29.00079473329629,34.0,2021-07-18,37.02606,-8.01873,0
1,U. olhanensis,female,sub_adult,True,Slow movement near seagrass patches.,"['Algae', 'Sea Star', 'Jellyfish', 'Shrimp']",8.0,16.86300484065919,15.668381128013124,19.694893328793878,16.86859125744311,35.0,2021-07-18,,,1
2,U. olhanensis,male,adult,,Searching for mates at twilight.,['Mussel'],10.0,48.0,48.295926489736736,68.23885157152753,49.32285725030965,33.0,2021-07-18,,,2
3,u. olhanen.,male,pre_puberty,,Climbing barnacle-covered surfaces.,"['Shrimp', 'Sea Sponge', 'Crab (Other Species)', 'Sea Anemone']",4.0,20.25,20.495334731297252,28.12013838649325,21.752543237261943,35.0,2021-07-18,,,3
4,A farensis,male,sub_adult,,Feeding on algae scraped from rocks.,"['Hermit Crab', 'Mussel', 'Sea Star', 'Sea Sponge', 'Sea Anemone']",9.0,33.75,35.16564856628875,45.43720178939726,34.1318316727129,34.0,2021-07-18,,,4
5,u. olhanen.,male,juvenile,,Territorial display against intruder.,"['Small Fish', 'Algae', 'Shrimp', 'Sea Star', 'Snail']",10.0,14.0,15.263420611975604,18.9416158313495,15.197873055365843,33.0,2021-07-18,,,5
6,U. olhanensis,male,sub_adult,,Climbing barnacle-covered surfaces.,"['Mussel', 'Algae', 'Shrimp', 'Sea Star']",7.0,15.0,12.058937618105475,15.491726354628588,15.450575325593306,33.0,2021-07-18,,,6
7,u. olhanen.,female,pre_puberty,False,Searching for food in tidal pools.,"['Sea Urchin', 'Sea Star', 'Sea Sponge', 'Jellyfish']",13.0,5.40156889893899,5.156401479463524,7.108606660022498,5.622983881140039,34.0,2021-07-18,,,7
8,A. Farensis,female,sub_adult,True,Claw snapping at diver.,"['Snail', 'Coral Fragment', 'Barnacle']",7.0,7.678782832684098,6.8509125679469225,9.130348712494387,7.9014806840300285,35.0,2021-07-18,,,8
9,U. olhanensis,female,sub_adult,True,Guarding eggs under abdominal flap.,['Small Fish'],5.0,8.015897142697785,7.445827642201867,9.12002204179086,8.627546357213319,34.0,2021-07-18,,,9
10,u. olhanen.,female,pre_puberty,False,Interacting with small fish nearby.,"['Sea Anemone', 'Sea Urchin', 'Mussel']",8.0,12.248952653608743,9.008613433869678,10.998134345948275,13.328942029865868,35.0,2021-07-18,,,10
11,A. Farensis,female,pre_puberty,True,Claw snapping at diver.,"['Hermit Crab', 'Snail']",6.0,12.473077101876472,13.982483567386376,17.948500980665198,13.569024115955127,35.0,2021-07-18,,,11
12,A. Farensis,male,pre_puberty,,Exchanging antenna taps.,"['Sea Urchin', 'Sea Anemone', 'Algae']",7.0,18.0,22.045212574618,32.81350551879309,18.704630270030343,33.0,2021-07-18,,,12
13,U. olhanensis,female,sub_adult,False,Feeding on small crustaceans.,"['Snail', 'Sea Sponge', 'Small Fish', 'Algae']",9.0,28.438148301083686,31.191883139694163,39.51916394273855,29.53415199055094,34.0,2021-07-18,,,13
14,u. olhanen.,female,pre_puberty,True,Hiding in sandy burrow.,"['Shrimp', 'Algae', 'Polychaete Worm']",8.0,20.327734735506017,18.08500479596852,22.944099861757604,20.66892356355388,35.0,2021-07-18,,,14
15,u. olhanen.,female,pre_puberty,False,Interaction with hermit crabs.,"['Jellyfish', 'Sea Star', 'Small Fish', 'Crab (Other Species)']",9.0,16.83684087723106,13.649726651671209,17.267674663598296,17.94544645659696,34.0,2021-07-18,,,15
