,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour
0,13,7.008733382384842,2,A farensis,-8.01873,True,25.43277378330956,juvenile,female,1,14.875244015655717,37.02606,"['Sea Anemone', 'Polychaete Worm']",7,Searching for mates at twilight.
1,16,9.402371454369332,9,A farensis,,False,1.6982296391059948,sub_adult,male,2,12.499213454813486,,"['Crab (Other Species)', 'Mussel']",11,Interacting with small fish nearby.
2,5,9.783858295676598,3,A farensis,,False,0.24956551177039027,adult,male,3,9.414479623988843,,"['Shrimp', 'Sea Sponge', 'Barnacle', 'Polychaete Worm']",11,Exchanging antenna taps.
3,12,2.959527641982131,6,A. Farensis,,True,0.42817921769461603,pre_puberty,female,4,13.66282946580455,,"['Small Fish', 'Jellyfish']",7,Resting under shell fragment.
4,23,9.036486118557306,3,A. Farensis,,False,3.0695852836318287,sub_adult, ,5,17.92048537470748,,['Jellyfish'],6,Feeding on small mollusks.
5,6,8.502614466880676,3,U. olhanensis,,False,2.4168398776213813,sub_adult,female,6,13.34944737351229,,"['Sea Urchin', 'Crab (Other Species)', 'Small Fish']",4,Picking detritus from seabed.
6,17,8.938772770486757,9,u. olhanen.,,False,1.8652176012698323,sub_adult,?,7,14.693044790721476,,"['Jellyfish', 'Small Fish', 'Hermit Crab', 'Sea Star']",7,Retreating quickly from shadow.
7,9,8.767382049332447,4,u. olhanen.,,False,0.704356557987191,adult,male,8,10.531778474580769,,"['Mussel', 'Barnacle']",10,Social contact with other crabs.
8,24,8.665318449824596,6,A farensis,,False,0.9116308920098318,pre_puberty,nan,9,16.200612270526413,,"['Hermit Crab', 'Polychaete Worm', 'Shrimp']",7,Color changes during molting.
9,21,5.2282200439367825,5,A. Farensis,,False,0.08006999804106867,sub_adult,female,10,16.88183293540994,,"['Jellyfish', 'Coral Fragment', 'Sea Sponge', 'Sea Star', 'Algae']",7,Camouflaging with surrounding mud.
10,20,6.907224303082128,6,u. olhanen.,,False,1.4060981714101155,juvenile,male,11,14.373470909974449,,"['Mussel', 'Sea Star', 'Shrimp', 'Barnacle', 'Sea Sponge']",7,Foraging among seagrass roots.
11,17,8.731673409170222,2,A. Farensis,,False,18.72476759677453,pre_puberty,male,12,13.188756078299615,,"['Crab (Other Species)', 'Sea Sponge', 'Shrimp']",4,Cleaning claws with rubbing motion.
12,12,6.693515098703707,3,u. olhanen.,,False,0.004967084896746545,adult,male,13,12.63292111610242,,"['Mussel', 'Coral Fragment', 'Small Fish']",7,Sideways walking along bay edge.
13,7,6.200799058545151,5,u. olhanen.,,False,0.8774639254312881,adult, ,14,11.641798068045006,,"['Coral Fragment', 'Polychaete Worm', 'Mussel', 'Snail']",11,Moving sideways along sandy bottom.
14,20,8.918347057462933,3,A. Farensis,,False,0.17131023304572154,juvenile,female,15,14.149404883790206,,"['Jellyfish', 'Sea Sponge']",7,Claw snapping at diver.
15,35,6.598515878306076,5,A farensis,,False,0.07552290746222115,sub_adult,female,16,18.243092381305377,,"['Crab (Other Species)', 'Sea Sponge', 'Small Fish', 'Polychaete Worm', 'Sea Anemone']",9,Territorial display against intruder.
16,16,5.113570311382945,3,A. Farensis,,False,2.7200888365437312,juvenile,male,17,10.767808271167198,,['Coral Fragment'],7,Hiding in sandy burrow.
17,5,6.376339745244357,5,A farensis,,False,0.16724019776044474,pre_puberty,male,18,9.463315986546629,,['Crab (Other Species)'],7,Emerging cautiously from hiding.
18,10,6.5778432229099755,5,u. olhanen.,,False,0.1245711030187738,juvenile,female,19,14.603173419048428,,"['Hermit Crab', 'Sea Anemone']",8,Inspecting discarded crab shell.
19,21,5.55398900534649,3,u. olhanen.,,False,0.013868498533439582,juvenile,male,20,15.089485996777743,,['Sea Sponge'],9,Territorial display against intruder.
