,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,u. olhanen.,male,sub_adult,True,Slowly navigating around seagrass beds.,['Coral Fragment'],8.0,32.5,27.492573315069276,36.72881243252178,33.30764469820549,24.0,2022-08-08,37.02606,-8.01873,0
1,A farensis,female,pre_puberty,True,Progressing cautiously through new area.,"['Hermit Crab', 'Sea Star', 'Sea Sponge', 'Sea Urchin', 'Crab (Other Species)']",6.0,10.474941048659156,9.050732124831223,12.51933892783806,11.190687305629675,22.0,2022-08-08,,,1
2,A. Farensis,female,sub_adult,False,Clambering up submerged tree trunks.,"['Algae', 'Shrimp', 'Barnacle', 'Jellyfish']",4.0,24.74224952507396,22.372146416581327,32.51632044501202,25.78335986866341,23.0,2022-08-08,,,2
3,A. Farensis,male,adult,,Group migration across shallow seabed.,"['Sea Anemone', 'Sea Urchin']",12.0,105.0,115.38189153345684,160.64737123444948,107.77298382528605,22.0,2022-08-08,,,3
4,u. olhanen.,female,sub_adult,False,Slowly navigating around seagrass beds.,['Jellyfish'],7.0,7.452339497829802,8.390003899822371,11.90408328561745,8.048052871829638,21.0,2022-08-08,,,4
5,A farensis,male,adult,,Searching tidal pools for nutrients.,"['Hermit Crab', 'Small Fish']",11.0,9.0,9.206453450471207,13.433561175526274,9.273074369603457,22.0,2022-08-08,,,5
6,U. olhanensis,female,adult,False,Darting away in response to sudden shadow.,"['Hermit Crab', 'Sea Urchin']",7.0,7.642631217325983,9.16207765168179,13.547595891114923,7.686825029330871,22.0,2022-08-08,,,6
7,A. Farensis,male,pre_puberty,,Rhythmic waving as social cue.,"['Snail', 'Coral Fragment', 'Barnacle', 'Sea Star', 'Shrimp']",7.0,21.0,16.76368586066622,22.57350646235839,21.967208704453718,24.0,2022-08-08,,,7
8,u. olhanen.,female,adult,False,Mating ritual involving antennae brushing.,"['Shrimp', 'Crab (Other Species)']",9.0,38.74006591273894,43.734322496939626,58.950275637099494,40.59062547872594,23.0,2022-08-08,,,8
9,U. olhanensis,male,pre_puberty,,Vibrating antennae in flowing current.,"['Jellyfish', 'Sea Anemone', 'Sea Sponge', 'Coral Fragment', 'Snail']",9.0,20.25,17.213384034128634,21.992811873594594,21.928665558154506,24.0,2022-08-08,,,9
10,u. olhanen.,female,pre_puberty,False,Slowly navigating around seagrass beds.,"['Crab (Other Species)', 'Sea Urchin', 'Sea Star', 'Algae']",7.0,41.279262547161366,43.954434406875805,56.87218162707627,42.79924462454005,22.0,2022-08-08,,,10
11,A farensis,male,pre_puberty,,Gradual movement in cold conditions.,"['Mussel', 'Sea Sponge', 'Sea Anemone']",9.0,15.75,18.639272857135637,22.62976054179752,16.943146191734815,23.0,2022-08-08,,,11
12,A farensis,male,adult,,Mating ritual involving antennae brushing.,"['Barnacle', 'Shrimp', 'Hermit Crab', 'Sea Urchin', 'Algae']",5.0,42.0,45.50755240006052,54.967096101574185,44.183775158092864,21.0,2022-08-08,,,12
13,U. olhanensis,male,sub_adult,,Traversing algae-slick rock surfaces.,['Crab (Other Species)'],7.0,48.75,41.591686586990306,54.496094206526344,50.86551192673553,22.0,2022-08-08,,,13
14,U. olhanensis,female,adult,False,Slowly navigating around seagrass beds.,"['Algae', 'Coral Fragment']",9.0,15.766607375027837,14.53702317435874,21.09450217028415,16.33747383240621,23.0,2022-08-08,,,14
15,A farensis,female,pre_puberty,True,Darting away in response to sudden shadow.,"['Sea Urchin', 'Algae']",11.0,8.426650267425536,11.386236833292811,14.887438127479301,9.068272522423753,24.0,2022-08-08,,,15
16,u. olhanen.,male,sub_adult,,Guarding eggs beneath body flap.,"['Crab (Other Species)', 'Mussel', 'Snail', 'Coral Fragment']",10.0,36.25,30.76596396733069,39.90142875245319,39.2744504051689,23.0,2022-08-08,,,16
17,U. olhanensis,female,adult,False,Protecting territory in confined space.,"['Small Fish', 'Snail', 'Mussel', 'Jellyfish', 'Crab (Other Species)']",5.0,12.183761110779223,12.888747828540383,17.30881250475795,12.192391562218694,23.0,2022-08-08,,,17
18,A farensis,female,adult,False,Sifting through sediment for scraps.,"['Shrimp', 'Mussel', 'Algae']",6.0,50.44747632512716,56.818343391914716,79.28185664384988,53.255103493799,23.0,2022-08-08,,,18
19,u. olhanen.,female,sub_adult,False,"Burrowing into soft, sandy sediment.","['Barnacle', 'Coral Fragment', 'Sea Urchin', 'Sea Star', 'Snail']",3.0,50.16343344415894,38.215638824773414,56.73312770736425,53.55094786142767,21.0,2022-08-08,,,19
20,U. olhanensis,female,pre_puberty,False,"Burrowing into soft, sandy sediment.",['Jellyfish'],7.0,5.8879776900101914,5.046325331554636,7.423115694429702,6.3045337323216515,23.0,2022-08-08,,,20
21,U. olhanensis,female,pre_puberty,True,Taking cover beneath seagrass leaves.,"['Sea Star', 'Mussel', 'Coral Fragment', 'Snail']",11.0,16.462857984586336,11.241869108408704,14.729953048943818,18.03370454135516,22.0,2022-08-08,,,21
22,U. olhanensis,female,adult,True,Swimming briefly to avoid disturbance.,"['Coral Fragment', 'Sea Urchin', 'Sea Sponge']",9.0,46.114420906986865,42.120843206471456,54.41044034208225,50.52293943741797,22.0,2022-08-08,,,22
23,U. olhanensis,male,adult,,Harvesting food beneath floating debris.,"['Coral Fragment', 'Hermit Crab', 'Small Fish', 'Mussel']",6.0,12.0,11.302938180649907,13.841113098643872,12.52284711442385,23.0,2022-08-08,,,23
24,U. olhanensis,female,adult,False,Entering burrow after disturbance.,"['Snail', 'Sea Urchin', 'Jellyfish']",6.0,49.038621933553486,51.92529134784918,65.07482532197234,50.675367839583515,24.0,2022-08-08,,,24
25,u. olhanen.,male,adult,,Hiding beneath overhanging rock.,"['Crab (Other Species)', 'Hermit Crab']",5.0,55.5,58.024455662840154,71.3936798507782,59.93270157057012,24.0,2022-08-08,,,25
26,u. olhanen.,female,sub_adult,False,Advancing toward bait in water.,"['Algae', 'Hermit Crab', 'Polychaete Worm', 'Small Fish', 'Barnacle']",11.0,14.81761376520817,12.343679532852303,15.866422114692295,16.282107595494914,23.0,2022-08-08,,,26
27,A. Farensis,female,sub_adult,True,Guarding hole in substrate from intruders.,"['Barnacle', 'Coral Fragment', 'Small Fish', 'Hermit Crab', 'Algae']",9.0,44.28332612286817,35.64782861079186,52.71749776638783,45.053299223133166,21.0,2022-08-08,,,27
28,Ucides alvorensis, ,sub_adult,,Collecting biofilm from sunken wood.,"['Polychaete Worm', 'Small Fish', 'Barnacle', 'Sea Anemone', 'Shrimp']",8.0,61.25,51.9520478049633,70.19327352096632,66.10356816770602,24.0,2022-08-08,,,28
29,U. olhanensis,female,sub_adult,True,Filtering detritus from shallow bottom.,"['Shrimp', 'Sea Star', 'Algae', 'Hermit Crab']",13.0,9.035908949544714,9.118273021783274,13.256972164094966,9.556189946694033,22.0,2022-08-08,,,29
30,U. olhanensis,female,sub_adult,False,Gradual movement in cold conditions.,"['Algae', 'Sea Star', 'Barnacle', 'Shrimp', 'Coral Fragment']",6.0,19.800891806054054,-999.0,26.521400461368803,19.986348982037626,22.0,2022-08-08,,,30
31,u. olhanen.,female,pre_puberty,False,Frequent pausing while exploring.,"['Snail', 'Sea Sponge']",11.0,9.510635145541862,12.748050985714249,15.68389035600533,10.17843913777985,23.0,2022-08-08,,,31
32,U. olhanensis,female,adult,True,Side-stepping along sandy coastal floor.,['Polychaete Worm'],9.0,32.74038808303925,30.146289363115294,36.467376762472014,33.96003626607468,23.0,2022-08-08,,,32
33,u. olhanen.,male,adult,,Performing dominance display by body lifting.,"['Coral Fragment', 'Hermit Crab', 'Sea Anemone', 'Snail']",11.0,79.5,83.29702144683813,118.09868653923283,83.81046498968878,21.0,2022-08-08,,,33
34,U. olhanensis,female,adult,False,Concealing self beneath floating matter.,"['Sea Urchin', 'Coral Fragment', 'Barnacle']",11.0,50.4988480279269,55.5332127559174,79.41410914864107,50.9562085111879,24.0,2022-08-08,,,34
35,Ucides alvorensis,male or female,sub_adult,,Engaging in struggle with seaweed entanglement.,['Crab (Other Species)'],7.0,43.75,46.6955230046473,61.78458664548301,45.995569064816166,22.0,2022-08-08,,,35
36,u. olhanen.,male,adult,,Lying still to avoid detection.,"['Small Fish', 'Sea Anemone']",10.0,52.5,56.771640999024974,71.65358816671386,53.069216795619425,22.0,2022-08-08,,,36
37,A. Farensis,male,adult,,Mating ritual involving antennae brushing.,['Sea Urchin'],9.0,30.0,32.598882514971365,47.61458857583306,30.34190573488283,23.0,2022-08-08,,,37
38,A farensis,female,sub_adult,False,Feeding on decaying matter among rocks.,['Sea Star'],6.0,45.5459243460953,49.91445605751167,67.7405860119528,49.7035830684659,23.0,2022-08-08,,,38
39,Ucides alvorensis,female,sub_adult,True,Rapid clawing during feeding bouts.,"['Polychaete Worm', 'Sea Anemone', 'Algae']",8.0,40.826371352785344,41.91783030792178,61.03641778882073,41.8708964463424,23.0,2022-08-08,,,39
40,u. olhanen.,male,adult,True,Group migration across shallow seabed.,['Snail'],4.0,58.5,58.7426104180692,84.43293218677442,61.96368194365248,24.0,2022-08-08,,,40
41,A farensis,male,sub_adult,,Sifting through sediment for scraps.,"['Polychaete Worm', 'Crab (Other Species)', 'Mussel', 'Algae', 'Sea Urchin']",9.0,33.75,33.35306951263963,42.99774663701454,34.551665674317405,23.0,2022-08-08,,,41
42,Ucides alvorensis,male or female,pre_puberty,,Performing dominance display by body lifting.,"['Mussel', 'Sea Urchin', 'Sea Star', 'Snail']",8.0,22.5,27.71123802287131,40.90677371005317,22.84802910069757,22.0,2022-08-08,,,42
43,A farensis,female,pre_puberty,False,Consuming algae scraped from barnacles.,"['Sea Star', 'Sea Urchin', 'Hermit Crab', 'Sea Anemone', 'Polychaete Worm']",9.0,31.482724694298803,22.072916156913358,32.67208042564669,32.97229313976496,23.0,2022-08-08,,,43
44,U. olhanensis,male,adult,,Filtering detritus from shallow bottom.,"['Small Fish', 'Shrimp', 'Algae', 'Hermit Crab', 'Snail']",5.0,31.5,30.988170084571966,41.50130396809014,33.02526498225406,24.0,2022-08-08,,,44
45,U. olhanensis,female,adult,True,Resting in shaded crevice along cliff.,['Snail'],4.0,39.274284196164494,36.35604667240252,49.05668084818707,40.20126062890293,23.0,2022-08-08,,,45
46,A farensis,male,juvenile,,Consuming algae scraped from barnacles.,"['Hermit Crab', 'Polychaete Worm', 'Crab (Other Species)']",5.0,16.0,21.133766444992126,27.283707586365313,16.449569179370155,24.0,2022-08-08,,,46
47,u. olhanen.,female,adult,False,Inspecting remains of another crab.,"['Crab (Other Species)', 'Small Fish', 'Mussel', 'Snail']",7.0,11.148080106414326,12.893927582777668,16.435980996135182,11.693830718455375,22.0,2022-08-08,,,47
48,u. olhanen.,female,sub_adult,False,Clambering up submerged tree trunks.,"['Sea Sponge', 'Barnacle', 'Shrimp']",4.0,25.33278621057836,22.197528750730715,27.745933731294166,25.663236457513307,22.0,2022-08-08,,,48
49,U. olhanensis,male,juvenile,,Peering out cautiously from cover.,"['Sea Sponge', 'Hermit Crab', 'Sea Anemone', 'Barnacle']",9.0,10.5,8.661240208307973,12.393933508137163,10.62001484259649,22.0,2022-08-08,,,49
50,U. olhanensis,female,juvenile,False,Color change during molting stress.,"['Sea Anemone', 'Polychaete Worm', 'Algae', 'Small Fish']",7.0,9.936069918623353,6.9314076560520705,9.46635967929137,10.179238410781736,23.0,2022-08-08,,,50
51,A farensis,female,sub_adult,False,Engaging in antennae-to-antennae contact.,"['Hermit Crab', 'Small Fish']",12.0,11.801560864992386,10.420305058393977,13.406737518468393,12.96430011936073,23.0,2022-08-08,,,51
52,A farensis,female,sub_adult,False,Rapid clawing during feeding bouts.,"['Hermit Crab', 'Sea Urchin']",4.0,47.57064382644509,56.1867227933578,77.58945852096946,49.51477991254024,22.0,2022-08-08,,,52
53,u. olhanen.,female,sub_adult,True,Engaging in struggle with seaweed entanglement.,"['Sea Star', 'Coral Fragment']",10.0,30.84305929484606,39.320887160237284,50.31555054402429,33.68217203136562,23.0,2022-08-08,,,53
54,A. Farensis,male,sub_adult,,Sifting through sediment for scraps.,"['Coral Fragment', 'Sea Anemone']",9.0,22.5,25.308660270781925,35.848945894541856,23.843351942834826,24.0,2022-08-08,,,54
55,A farensis,female,sub_adult,True,Filtering detritus from shallow bottom.,"['Barnacle', 'Sea Anemone']",11.0,19.06065504135289,14.401765777662991,20.801720094319066,19.609267639651847,23.0,2022-08-08,,,55
56,Ucides alvorensis,-,juvenile,,Grazing on mollusks among debris.,"['Crab (Other Species)', 'Mussel', 'Sea Star', 'Algae', 'Snail']",9.0,9.5,13.056851907280446,18.077365110865845,10.029536649137375,23.0,2022-08-08,,,56
57,u. olhanen.,female,juvenile,False,Filtering detritus from shallow bottom.,['Polychaete Worm'],10.0,4.962098130473262,2.940415524657825,3.7040935066069522,5.122979834870496,24.0,2022-08-08,,,57
58,A. Farensis,female,sub_adult,False,Retreating quickly into hidden burrow.,"['Hermit Crab', 'Algae', 'Mussel', 'Crab (Other Species)', 'Sea Urchin']",8.0,28.981770139613847,40.36470589163213,59.429828706957096,29.208078228507365,23.0,2022-08-08,,,58
59,A farensis,female,adult,True,Feeding on decaying matter among rocks.,"['Mussel', 'Snail', 'Small Fish', 'Jellyfish', 'Shrimp']",4.0,11.594498391970339,11.332330627922419,14.099647593438478,12.554321602970514,22.0,2022-08-08,,,59
60,u. olhanen.,female,adult,False,Color change during molting stress.,"['Barnacle', 'Coral Fragment', 'Jellyfish', 'Polychaete Worm', 'Crab (Other Species)']",8.0,23.822688235375185,28.84809989446464,37.4568453975971,25.18808655031697,21.0,2022-08-08,,,60
61,A farensis,male,sub_adult,,"Burrowing into soft, sandy sediment.","['Sea Urchin', 'Sea Star', 'Crab (Other Species)']",7.0,76.25,80.29259560406054,103.02311492937874,81.28624996104169,23.0,2022-08-08,,,61
62,A. Farensis,male,adult,,Scavenging at the edge of tidal pools.,"['Mussel', 'Crab (Other Species)']",8.0,39.0,39.8966356776937,58.02041511675445,39.13238203108166,24.0,2022-08-08,,,62
63,A farensis,female,adult,True,Peering out cautiously from cover.,"['Shrimp', 'Jellyfish', 'Snail', 'Crab (Other Species)', 'Barnacle']",8.0,31.212853157106018,35.746005590077246,52.62335226174262,31.873163188367666,23.0,2022-08-08,,,63
64,A farensis,female,sub_adult,False,Staying half-submerged in loose sand.,['Algae'],12.0,29.88069258085469,32.219977441733,39.0731946534707,31.422157815470573,25.0,2022-08-08,,,64
65,A. Farensis,male,sub_adult,,Swiftly dashing across exposed sand.,['Coral Fragment'],8.0,7.5,8.224278705749992,11.759058440408351,7.737300471242804,21.0,2022-08-08,,,65
66,A farensis,male,pre_puberty,,Defensive claw movement in water.,"['Snail', 'Barnacle']",7.0,15.0,16.077207090202158,21.455554470457,15.867511205166172,23.0,2022-08-08,,,66
67,u. olhanen.,female,pre_puberty,False,Hiding beneath overhanging rock.,"['Sea Star', 'Coral Fragment', 'Jellyfish']",8.0,29.7239505825851,19.81942823871555,27.630870561837714,32.564799831539524,21.0,2022-08-08,,,67
68,A. Farensis,male,pre_puberty,,"Burrowing into soft, sandy sediment.","['Sea Sponge', 'Hermit Crab']",7.0,28.5,29.46196925815736,43.40233668445427,29.482628956073594,22.0,2022-08-08,,,68
69,U. olhanensis,male,adult,,Defensive claw movement in water.,['Algae'],6.0,46.5,50.40208803434052,72.37695946010997,47.36511240576258,23.0,2022-08-08,,,69
70,A. Farensis,female,juvenile,True,Creeping under the cover of seagrass.,"['Mussel', 'Sea Urchin', 'Coral Fragment', 'Sea Star', 'Barnacle']",9.0,5.68099847255737,5.986947967318342,7.884032870509301,5.991920499914623,23.0,2022-08-08,,,70
71,A farensis,female,sub_adult,False,Progressing cautiously through new area.,"['Jellyfish', 'Shrimp', 'Small Fish', 'Sea Anemone']",8.0,17.82782996109407,14.706514389631517,18.447196197073588,18.660436099463983,24.0,2022-08-08,,,71
72,Ucides alvorensis,male or female,sub_adult,,Swimming briefly to avoid disturbance.,['Sea Urchin'],8.0,22.5,26.516248496516255,37.310659837626424,22.55586968475095,24.0,2022-08-08,,,72
73,u. olhanen.,female,adult,True,Swiftly dashing across exposed sand.,"['Shrimp', 'Snail']",12.0,25.948070970386354,24.724093361245547,33.41624947754163,27.072850927683863,25.0,2022-08-08,,,73
74,U. olhanensis,female,pre_puberty,True,Entering burrow after disturbance.,"['Small Fish', 'Coral Fragment', 'Crab (Other Species)', 'Polychaete Worm']",6.0,26.00998597643103,32.581644435140674,45.217933888225964,26.474029010732075,21.0,2022-08-08,,,74
