,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,U. olhanensis,male,adult,True,Filtering detritus from shallow bottom.,"['Shrimp', 'Jellyfish', 'Sea Urchin', 'Sea Star', 'Snail']",10.0,28.5,30.858960147005373,24.560992496763145,749.4861232201673,37.02606,-8.01873,0
1,A farensis,female,sub_adult,False,Searching tidal pools for nutrients.,"['Sea Urchin', 'Algae']",5.0,11.61151839043037,12.52016232532126,9.941135916731145,9.024492586151572,,,1
2,A. Farensis,female,sub_adult,False,Claw shaking post-contact gesture.,['Algae'],8.0,32.24921234467876,38.976800847868724,33.26776447508901,27.689182213417386,,,2
3,U. olhanensis,male,pre_puberty,,Progressing cautiously through new area.,"['Barnacle', 'Polychaete Worm']",8.0,31.5,36.03056196452268,756.7654973704296,29.505131902511142,,,3
4,Ucides alvorensis,N/R,juvenile,,Brief social contact with fellow crabs.,"['Sea Anemone', 'Sea Urchin', 'Shrimp']",10.0,13.5,16.74320032666008,76.82334974448997,11.750815912285937,,,4
5,A farensis,male,sub_adult,,Side-stepping along sandy coastal floor.,['Polychaete Worm'],12.0,20.0,16.343097820839503,182.86217837794098,14.351959861619012,,,5
6,A. Farensis,male,adult,,Emerging slowly after perceived threat.,"['Barnacle', 'Sea Anemone']",8.0,34.5,33.07045238845492,28.739780488212713,712.0190688852872,,,6
7,A farensis,male,sub_adult,,Swiftly dashing across exposed sand.,"['Shrimp', 'Crab (Other Species)', 'Hermit Crab', 'Small Fish']",8.0,28.75,24.193636758743565,19.655669214649187,339.7252534879928,,,7
8,A farensis,female,sub_adult,True,Gradual movement in cold conditions.,"['Sea Star', 'Sea Sponge']",7.0,20.973228121322375,16.499626775641662,10.263457871918328,12.209752711868852,,,8
9,A farensis,female,adult,False,Scavenging at the edge of tidal pools.,['Jellyfish'],6.0,47.12500361934487,48.55642094945426,41.177203134935404,42.89413142678754,,,9
