,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
0,Ucides alvorensis,female,sub_adult,False,Interacting with small fish nearby.,"['Sea Anemone', 'Mussel', 'Sea Urchin', 'Algae', 'Polychaete Worm']",7.0,3.3751338810509894,3.535665194063468,5.212532549614583,3.6365278649244117,2.3636363636363638,2022-03-04,37.1,-8.62,0
1,A farensis,male,juvenile,,Dragging shell fragment backward.,"['Sea Star', 'Jellyfish', 'Coral Fragment', 'Barnacle']",7.0,3.1363636363636362,2.2717730593814403,3.306910159761435,3.226834411080223,2.272727272727273,2022-03-04,,,1
2,A. Farensis,female,sub_adult,False,Cleaning claws with rubbing motion.,"['Snail', 'Jellyfish', 'Hermit Crab']",6.0,2.8704654618213077,2.2873836845691815,3.04802515586675,3.1488395975024703,2.090909090909091,2022-03-04,,,2
3,A. Farensis,female,sub_adult,True,Scavenging near tidal pools.,"['Small Fish', 'Sea Star', 'Sea Urchin']",7.0,2.595161569046992,2.5153845552560035,3.5082919475266796,2.7202982536722655,2.272727272727273,2022-03-04,,,3
4,U. olhanensis,male,sub_adult,,Mating behavior with antenna touching.,"['Coral Fragment', 'Shrimp']",6.0,2.159090909090909,2.315254355872544,3.040911754389288,2.3655814684173873,2.272727272727273,2022-03-04,,,4
5,U. olhanensis,male,pre_puberty,,Defensive posture when approached.,"['Sea Sponge', 'Polychaete Worm', 'Sea Star', 'Crab (Other Species)', 'Algae']",8.0,3.5454545454545454,2.9133146982963356,3.8914740695756977,3.7352838002086988,2.272727272727273,2022-03-04,,,5
6,A. Farensis,male,adult,,Moving toward bait.,"['Barnacle', 'Sea Anemone', 'Sea Sponge', 'Jellyfish', 'Polychaete Worm']",9.0,5.7272727272727275,5.408506493222339,7.88543084722829,5.884243647205525,2.272727272727273,2022-03-04,,,6
7,U. olhanensis,male,sub_adult,,Climbing onto submerged logs.,['Coral Fragment'],6.0,2.6136363636363638,2.3094662680232068,3.3286752858164577,2.8370118095874113,2.090909090909091,2022-03-04,,,7
8,U. olhanensis,female,pre_puberty,True,Hiding in sandy burrow.,['Sea Urchin'],7.0,1.0011594044807894,0.8547530849532106,1.167375787341139,1.0929376484917706,2.090909090909091,2022-03-04,,,8
9,u. olhanen.,-,sub_adult,,Camouflaging with surrounding mud.,"['Sea Anemone', 'Crab (Other Species)', 'Snail', 'Coral Fragment']",6.0,2.6136363636363638,2.621185195723978,3.314651251789057,2.625149183102406,2.3636363636363638,2022-03-04,,,9
10,u. olhanen.,female,sub_adult,False,Claw waving directed at nearby crab.,"['Jellyfish', 'Shrimp']",12.0,1.541673773063007,1.9891785559195532,2.842884105697705,1.591648105414047,2.272727272727273,2022-03-04,,,10
11,A farensis,male,adult,,Retreating quickly from shadow.,"['Hermit Crab', 'Small Fish']",8.0,7.090909090909091,7.724039684282212,10.945067441642774,7.710340155883838,2.272727272727273,2022-03-04,,,11
12,U. olhanensis,male,sub_adult,,Struggling with entangled seaweed.,"['Algae', 'Sea Sponge', 'Hermit Crab', 'Barnacle']",6.0,3.6363636363636362,2.964150325303871,4.045315465315685,3.798689064092997,2.1818181818181817,2022-03-04,,,12
13,A farensis,male,sub_adult,,Swimming short distance to escape.,['Polychaete Worm'],2.0,4.431818181818182,5.157275335980338,7.056640950757505,4.707757712993464,2.1818181818181817,2022-03-04,,,13
14,U. olhanensis,male,adult,,Exploring new territory.,"['Sea Anemone', 'Sea Sponge', 'Sea Urchin', 'Jellyfish']",4.0,4.2272727272727275,4.523845214683617,6.642220964715242,4.5916376801289935,2.3636363636363638,2022-03-04,,,14
15,A. Farensis,male,adult,,Climbing vertical rock face.,"['Jellyfish', 'Snail']",4.0,3.5454545454545454,3.4336250841861644,4.1976098597845075,3.6688727650830235,2.272727272727273,2022-03-04,,,15
16,A farensis,female,juvenile,False,Feeding on small mollusks.,"['Barnacle', 'Sea Anemone', 'Crab (Other Species)', 'Shrimp', 'Sea Urchin']",5.0,1.268099020711874,1.2556162328149651,1.666089438320917,1.3538883082627724,2.272727272727273,2022-03-04,,,16
17,u. olhanen.,female,juvenile,False,Feeding on small crustaceans.,"['Crab (Other Species)', 'Jellyfish', 'Algae', 'Sea Anemone']",7.0,1.0583458871395364,1.0639908389209491,1.575928487023441,1.0817266455612797,2.1818181818181817,2022-03-04,,,17
18,U. olhanensis,female,adult,True,Displaying dominance by lifting body.,"['Shrimp', 'Polychaete Worm', 'Barnacle', 'Coral Fragment']",7.0,3.133955382179741,3.137803397606468,4.12284785038763,3.352138303136623,2.272727272727273,2022-03-04,,,18
19,u. olhanen.,female,sub_adult,False,Interacting with small fish nearby.,"['Sea Urchin', 'Snail']",8.0,4.058744209041387,4.412846343435548,5.455433449635795,4.375157472550695,2.090909090909091,2022-03-04,,,19
20,U. olhanensis,male,juvenile,True,Hiding under floating debris.,"['Small Fish', 'Jellyfish', 'Coral Fragment', 'Hermit Crab']",3.0,2.1818181818181817,1.6632672746534403,2.288330132327042,2.2078862058334767,2.272727272727273,2022-03-04,,,20
21,A farensis,female,juvenile,False,Displaying dominance by lifting body.,"['Coral Fragment', 'Shrimp']",6.0,2.2740546700203077,2.1818452009179707,3.1174425106210877,2.4691805400806848,2.1818181818181817,2022-03-04,,,21
22,u. olhanen.,male,adult,,Retreating into burrow.,"['Polychaete Worm', 'Algae', 'Sea Star', 'Jellyfish', 'Crab (Other Species)']",13.0,5.181818181818182,5.323280156051903,7.537136748219129,5.366987392166934,2.272727272727273,2022-03-04,,,22
23,u. olhanen.,male,sub_adult,,Feeding on small mollusks.,"['Sea Sponge', 'Sea Urchin', 'Coral Fragment', 'Hermit Crab', 'Mussel']",7.0,2.272727272727273,1.9497393266952534,2.708862868343922,2.4337796659789053,2.3636363636363638,2022-03-04,,,23
24,U. olhanensis,male,adult,,Cleaning claws with rubbing motion.,"['Crab (Other Species)', 'Coral Fragment']",10.0,3.272727272727273,3.1720306554224815,4.709996874216645,3.341638744497959,2.0,2022-03-04,,,24
25,u. olhanen.,female,pre_puberty,False,Sitting still blending with environment.,"['Sea Urchin', 'Small Fish', 'Sea Sponge']",1.0,1.2607292766663145,0.9419320591049928,1.3200449483153551,1.289832942900179,2.1818181818181817,2022-03-04,,,25
26,A. Farensis,male,sub_adult,,Hiding under seagrass blades.,['Snail'],4.0,3.0681818181818183,3.469433018229673,4.440416562734271,3.1806403213022523,2.4545454545454546,2022-03-04,,,26
27,U. olhanensis,male,sub_adult,,Slow movement near seagrass patches.,['Barnacle'],9.0,5.340909090909091,4.383596976637467,5.709466016921956,5.5821071484919695,2.3636363636363638,2022-03-04,,,27
28,U. olhanensis,male,adult,,Climbing vertical rock face.,"['Mussel', 'Algae']",5.0,4.090909090909091,4.1643819338803985,5.603114137376205,4.484385986645946,2.3636363636363638,2022-03-04,,,28
29,u. olhanen.,male,sub_adult,,Escaping from aggressive fish.,"['Small Fish', 'Barnacle', 'Shrimp']",6.0,5.2272727272727275,4.5503829484812774,5.972160103319717,5.647294627912913,2.272727272727273,2022-03-04,,,29
30,U. olhanensis,female,sub_adult,True,Escaping predator silhouette overhead.,['Sea Urchin'],5.0,5.4006658120583655,6.958984496366244,9.321250504324931,5.893184313447603,2.1818181818181817,2022-03-04,,,30
31,A farensis,male,sub_adult,,Territorial display against intruder.,"['Crab (Other Species)', 'Snail']",5.0,4.545454545454546,4.716065249951476,6.894582228538912,4.950734114349114,2.090909090909091,2022-03-04,,,31
32,U. olhanensis,female,adult,False,Scavenging near tidal pools.,"['Sea Anemone', 'Barnacle', 'Hermit Crab']",4.0,2.6177103379112903,2.6065892355425793,3.322576171802208,2.7650515933853512,2.1818181818181817,2022-03-04,,,32
33,Ucides alvorensis,female,juvenile,False,Crab moving quickly across rocks.,"['Crab (Other Species)', 'Sea Star', 'Snail', 'Polychaete Worm']",6.0,0.9805449104200581,1.1710947683818598,1.6213539598060889,1.0283762282003501,2.3636363636363638,2022-03-04,,,33
34,Ucides alvorensis, ,adult,,Resting in shaded rock crevice.,['Hermit Crab'],3.0,4.2272727272727275,4.163454859654819,5.6306377971895145,4.310888115854426,2.1818181818181817,2022-03-04,,,34
35,A farensis,male,adult,,Hiding under floating debris.,"['Sea Sponge', 'Crab (Other Species)', 'Barnacle', 'Mussel']",6.0,5.318181818181818,5.5471959510419735,7.481046123061892,5.372613451595301,2.272727272727273,2022-03-04,,,35
36,A. Farensis,male,adult,,Stillness in cold water.,['Algae'],6.0,1.0909090909090908,1.1274207725455954,1.3916219612658947,1.1269915550501663,2.1818181818181817,2022-03-04,,,36
37,u. olhanen.,male or female,adult,,Climbing algae-covered rocks.,"['Sea Sponge', 'Small Fish']",5.0,6.0,5.983356127525477,7.961138785967643,6.281830505500682,2.090909090909091,2022-03-04,,,37
38,u. olhanen.,male,juvenile,,Guarding a small hole in sediment.,"['Barnacle', 'Sea Sponge', 'Jellyfish', 'Shrimp', 'Sea Urchin']",6.0,1.8636363636363635,1.6106038864173478,1.9458048419540903,1.9007724839685674,2.272727272727273,2022-03-04,,,38
39,A farensis,female,adult,False,Foraging among seagrass roots.,"['Algae', 'Mussel', 'Snail', 'Sea Star', 'Coral Fragment']",5.0,2.8196494343541816,2.7939147679785425,3.8125521617188443,2.860137899981662,2.1818181818181817,2022-03-04,,,39
