,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],latitude,longitude,id
0,A farensis,male,a,True,Rhythmic waving as social cue.,"['Crab (Other Species)', 'Jellyfish']",7.0,1.6363636363636365,1.7511119723600534,1.5017573082631357,10.159998683913976,37.1,-8.62,0
1,u. olhanen., ,s,,Grazing on mollusks among debris.,"['Polychaete Worm', 'Sea Sponge', 'Shrimp', 'Sea Anemone']",7.0,4.318181818181818,3.5531174500937226,12.988931779923734,2.945386992472621,,,1
2,U. olhanensis,female,a,False,Creeping under the cover of seagrass.,['Barnacle'],7.0,3.5203832231656023,3.9319638046903704,2.5557205515841632,3.5216777912734316,,,2
3,U. olhanensis,female,j,False,Protecting territory in confined space.,['Jellyfish'],6.0,0.9581331431396687,0.5738378898338703,0.37319508326140427,0.4820447082524972,,,3
4,A. Farensis,male,a,,Claw shaking post-contact gesture.,"['Snail', 'Shrimp', 'Hermit Crab', 'Mussel']",6.0,2.727272727272727,2.605799493839342,1.9132580925179405,18.9164396076874,,,4
5,u. olhanen.,female,a,True,Retreating swiftly from perceived danger.,"['Mussel', 'Shrimp', 'Hermit Crab', 'Barnacle', 'Polychaete Worm']",5.0,3.654021896263899,3.434819292713863,2.383722281183901,2.836097818938225,,,5
6,u. olhanen.,male,a,,Reacting to sudden changes in temperature.,['Barnacle'],7.0,2.727272727272727,2.9159883595482756,2.5029794929911233,26.389839508680424,,,6
7,A farensis,male,p,,Picking algae carefully off rock faces.,"['Barnacle', 'Coral Fragment', 'Sea Star', 'Algae']",7.0,0.2727272727272727,0.19149523246971425,0.15975666681426232,0.2362149320656376,,,7
8,U. olhanensis,male,a,,Brief social contact with fellow crabs.,['Crab (Other Species)'],7.0,1.7727272727272727,1.9093036271641077,1.6619111767434307,12.59139482982547,,,8
9,U. olhanensis,female,a,False,Approaching small fish with curiosity.,"['Polychaete Worm', 'Small Fish']",3.0,1.2772180761439833,1.4455434940385863,0.8682768818480551,1.2005434776510882,,,9
10,U. olhanensis,female,p,True,Sheltering under broken shell piece.,"['Sea Anemone', 'Shrimp', 'Mussel', 'Small Fish', 'Barnacle']",7.0,0.9424216182970888,1.1831974615699226,0.8810273172364901,0.9630193180361246,,,10
11,U. olhanensis,male,s,,Scavenging at the edge of tidal pools.,['Coral Fragment'],6.0,2.0454545454545454,1.8473103841652858,1.3836068239426635,10.877253842733762,,,11
12,U. olhanensis,female,a,False,Claw snapping in diver confrontation.,"['Sea Urchin', 'Mussel']",4.0,2.973065006097765,3.368759232635061,2.3907146562700734,2.9588500254198764,,,12
13,u. olhanen.,female,a,False,Creeping under the cover of seagrass.,"['Jellyfish', 'Sea Sponge']",7.0,2.2175667909882124,2.4179787364545864,1.7291168078065953,2.1111509930753676,,,13
