,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
0,A farensis,female,adult,False,Emerging cautiously from hiding.,"['Sea Anemone', 'Sea Star', 'Polychaete Worm', 'Algae', 'Snail']",4.0,3.056509819603814,2.847534261512335,4.226424814241962,3.125891769375342,3.4545454545454546,2020-06-26,37.1,-8.62,0
1,A farensis,male,pre_puberty,,Claw waving directed at nearby crab.,"['Barnacle', 'Shrimp']",8.0,3.272727272727273,2.9865752412102613,4.456516223212757,3.34203464167291,3.090909090909091,2020-06-26,,,1
2,u. olhanen.,male,sub_adult,,Climbing seaweed stalks.,"['Snail', 'Small Fish']",6.0,1.9318181818181819,1.84245118820618,2.3396152436912283,2.0760151144169154,3.272727272727273,2020-06-26,,,2
3,U. olhanensis,male,pre_puberty,,Hiding in sandy burrow.,"['Hermit Crab', 'Small Fish', 'Crab (Other Species)']",6.0,0.8181818181818182,0.9074447939561042,1.2721801910669421,0.878408465530551,3.3636363636363638,2020-06-26,,,3
4,A farensis,male,pre_puberty,,Feeding on algae scraped from rocks.,['Crab (Other Species)'],5.0,0.9545454545454546,1.1356638854074332,1.4275590839275667,1.0176791704565569,3.272727272727273,2020-06-26,,,4
5,u. olhanen.,N/R,adult,,Dragging shell fragment backward.,"['Algae', 'Crab (Other Species)', 'Sea Urchin', 'Sea Anemone', 'Hermit Crab']",7.0,2.4545454545454546,2.5249443896825374,3.3769335409005787,2.5436380508010856,3.272727272727273,2020-06-26,,,5
6,A farensis,male,pre_puberty,,Picking biofilm on submerged wood.,"['Polychaete Worm', 'Sea Star', 'Sea Urchin']",5.0,2.3181818181818183,2.378243639565158,3.224905178113927,2.4698488334296296,3.3636363636363638,2020-06-26,,,6
7,A farensis,male,adult,,Cleaning claws with rubbing motion.,['Hermit Crab'],6.0,3.0,2.938853801662648,4.401805813074068,3.2912062251830108,3.4545454545454546,2020-06-26,,,7
8,Ucides alvorensis,male,adult,,Claw snapping in competition.,"['Crab (Other Species)', 'Algae']",7.0,2.4545454545454546,2.5878855149326236,3.853116984825969,2.612748518514577,3.272727272727273,2020-06-26,,,8
9,A farensis,male,sub_adult,,Picking detritus from seabed.,['Jellyfish'],8.0,0.7954545454545454,0.8659924662753903,1.1973575986664144,0.8491253355329033,3.1818181818181817,2020-06-26,,,9
