,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],is_gravid?,behavior
0,60,80.34132527570564,60,A. Farensis,-7.99163,False,98.3747747277284,s,male,1,207.45962824446508,37.01025,"['Barnacle', 'Sea Star', 'Hermit Crab', 'Small Fish']",8,False,Color changes during molting.
1,130,86.41733730164043,60,A. Farensis,,True,74.80713240290761,s,female,2,176.08639459453514,,"['Sea Urchin', 'Small Fish', 'Sea Anemone', 'Mussel']",9,True,Pausing frequently during exploration.
2,160,70.2441240528684,40,A. Farensis,,False,516.3604683236666,p,male,3,175.86703865503904,,"['Hermit Crab', 'Polychaete Worm', 'Mussel', 'Crab (Other Species)', 'Shrimp']",6,False,Hiding beneath rocks.
3,200,78.28338405744307,30,u. olhanen.,,False,193.34284474429225,s,nan,4,176.0263158111792,,['Small Fish'],6,False,Moving sideways along sandy bottom.
4,160,89.9392603373756,50,A. Farensis,,False,4.449076034399266,p,male,5,212.57720620890765,,"['Snail', 'Hermit Crab', 'Shrimp', 'Barnacle']",10,False,Scavenging near tidal pools.
5,90,102.57049484735435,60,A. Farensis,,True,11.70222382594568,a, ,6,178.61736201183902,,"['Sea Star', 'Mussel']",6,True,Defensive posture when approached.
6,120,115.00215912671675,70,A farensis,,False,15.193229559275254,s,female,7,179.30808871961364,,"['Algae', 'Hermit Crab', 'Shrimp', 'Snail']",6,False,Hiding under seagrass blades.
7,170,110.41457252836571,30,u. olhanen.,,False,527.0230299809298,a,male,8,211.5891077667577,,"['Barnacle', 'Sea Sponge']",10,False,Struggling with entangled seaweed.
8,270,51.642232710995096,40,u. olhanen.,,True,84.92819435288894,s,female,9,194.55093309575588,,"['Sea Star', 'Sea Sponge', 'Algae', 'Sea Urchin', 'Small Fish']",6,True,Rapid claw movement while feeding.
9,170,85.59017741163181,20,u. olhanen.,,True,1500.0,a, ,10,180.0088791603916,,"['Snail', 'Algae']",7,True,Interaction with hermit crabs.
10,270,96.60373331244499,30,A. Farensis,,False,51.97483870056697,s,male or female,11,183.97545693201113,,"['Sea Star', 'Snail', 'Barnacle', 'Jellyfish']",8,False,Crab moving quickly across rocks.
11,200,103.27931302110582,20,A farensis,,True,20.325523223446325,a,male,12,175.4124647228072,,"['Shrimp', 'Sea Urchin', 'Mussel']",4,True,Mating behavior with antenna touching.
12,120,113.97194796393859,50,A. Farensis,,True,275.87624739072874,p,?,13,166.14668126225678,,"['Jellyfish', 'Shrimp', 'Hermit Crab', 'Sea Anemone', 'Sea Urchin']",7,True,Picking biofilm on submerged wood.
