,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,Ucides alvorensis,male,pre_puberty,True,Grazing on mollusks among debris.,"['Sea Urchin', 'Snail', 'Sea Sponge', 'Small Fish']",9.0,24.0,17.420551265019522,171.8821536441921,15.454907878985933,37.02606,-8.01873,0
1,A farensis,female,adult,False,Feeding on decaying matter among rocks.,"['Hermit Crab', 'Polychaete Worm', 'Sea Star', 'Coral Fragment']",8.0,25.1964350895273,29.380488781449095,18.66795918683011,25.319836963715872,,,1
2,U. olhanensis,male,pre_puberty,,Sifting through sediment for scraps.,"['Small Fish', 'Shrimp', 'Sea Sponge', 'Hermit Crab']",9.0,26.25,23.186959431162055,17.94650542964437,332.79906842101025,,,2
3,A. Farensis,female,pre_puberty,False,Engaging in antennae-to-antennae contact.,['Small Fish'],8.0,14.050223846817559,15.423680648436177,11.516006141476419,11.218006250914577,,,3
4,u. olhanen.,female,sub_adult,False,Picking algae carefully off rock faces.,"['Small Fish', 'Jellyfish']",5.0,26.848514412641,24.87924263041241,15.970949968780111,18.29333354585905,,,4
5,u. olhanen.,female,pre_puberty,True,"Stationary, blending into rocky backdrop.","['Hermit Crab', 'Barnacle']",7.0,3.1015951412020315,3.003603033246685,2.061992870661999,2.60018762471908,,,5
6,A farensis,male,sub_adult,,Claw shaking post-contact gesture.,['Barnacle'],9.0,32.5,28.851288556684498,21.554599212702826,522.5248292602588,,,6
7,A. Farensis,male,pre_puberty,,Picking algae carefully off rock faces.,"['Algae', 'Barnacle', 'Mussel']",6.0,31.5,37.68041669521297,30.285020928948974,726.034859960345,,,7
8,A farensis,female,adult,False,Guarding eggs beneath body flap.,"['Algae', 'Sea Star', 'Polychaete Worm', 'Sea Urchin', 'Jellyfish']",8.0,36.63947500160435,45.46724358759792,44.00709400067048,36.47324478928526,,,8
9,A farensis,female,adult,False,Engaging in antennae-to-antennae contact.,"['Jellyfish', 'Sea Star']",6.0,21.717007328131885,22.69376622784621,20.676930738433988,19.514729561794603,,,9
10,u. olhanen.,male,adult,True,Frequent pausing while exploring.,"['Mussel', 'Snail', 'Sea Urchin', 'Jellyfish', 'Coral Fragment']",8.0,24.0,21.64636964712018,341.7721578572003,19.270286891158968,,,10
11,u. olhanen.,male or female,sub_adult,,Brief social contact with fellow crabs.,"['Polychaete Worm', 'Sea Star']",12.0,25.0,23.40034703220158,142.69928743387766,20.480312864212426,,,11
12,u. olhanen.,female,adult,True,Grazing on mollusks among debris.,['Snail'],11.0,9.329885198202863,8.996594732254666,7.652787523559025,7.566523559653529,,,12
13,u. olhanen.,female,adult,False,Hiding beneath overhanging rock.,"['Coral Fragment', 'Barnacle', 'Small Fish']",7.0,43.371104712329775,43.21784852979849,35.54282032253534,30.46878403880818,,,13
14,U. olhanensis,female,pre_puberty,False,Camouflaging with nearby mud.,['Mussel'],9.0,10.435927673568061,12.634691458890714,12.496916366781733,9.295123909396803,,,14
