species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
A. Farensis,female,juvenile,False,Exploring new territory.,"['Sea Urchin', 'Crab (Other Species)', 'Small Fish', 'Sea Star']",5.0,5.208367226187194,4.194524709179089,6.002692188972438,5.547359542143425,36.0,2021-06-04,37.02606,-8.01873,0
U. olhanensis,male,adult,,Hiding under floating debris.,"['Crab (Other Species)', 'Algae', 'Coral Fragment']",3.0,30.0,28.329838273992625,39.16204241345467,30.18099593861681,35.0,2021-06-04,,,1
u. olhanen.,male,adult,,Moving in groups.,"['Mussel', 'Barnacle']",8.0,27.0,28.247905340302722,38.1922507441304,28.773896859196697,35.0,2021-06-04,,,2
Ucides alvorensis,male,juvenile,,Crab moving quickly across rocks.,"['Sea Anemone', 'Coral Fragment', 'Barnacle', 'Snail', 'Jellyfish']",9.0,9.5,9.898585325767861,12.442656279683595,10.010657348170819,36.0,2021-06-04,,,3
U. olhanensis,male,sub_adult,,Claw snapping at diver.,['Barnacle'],7.0,35.0,29.862925904167884,38.677347902516196,35.643862157399454,35.0,2021-06-04,,,4
Ucides alvorensis,male,sub_adult,,Escaping predator silhouette overhead.,"['Hermit Crab', 'Polychaete Worm']",8.0,18.75,17.844455114112726,25.37711168849698,19.773627282493326,35.0,2021-06-04,,,5
u. olhanen., ,adult,,Vibrating antennae in water currents.,"['Sea Sponge', 'Sea Star']",14.0,22.5,23.854679993801593,31.929452350355362,22.533177679213644,35.0,2021-06-04,,,6
A farensis,female,pre_puberty,True,Picking detritus from seabed.,"['Algae', 'Sea Urchin', 'Sea Star', 'Snail', 'Shrimp']",10.0,23.395047877711754,21.903806450838026,32.17663626189241,25.639460944283517,36.0,2021-06-04,,,7
U. olhanensis,male,pre_puberty,,Exchanging antenna taps.,"['Snail', 'Sea Star']",7.0,17.25,16.245077534607315,21.5161219336427,17.573233398843097,34.0,2021-06-04,,,8
A farensis,male,juvenile,,Moving sideways along sandy bottom.,['Mussel'],10.0,13.5,17.13039384912011,22.5816668795848,14.272266125494925,34.0,2021-06-04,,,9
