,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],latitude,longitude,id
0,Ucides alvorensis,male,pre_puberty,True,Adopting threatening stance when approached.,"['Small Fish', 'Crab (Other Species)', 'Polychaete Worm', 'Sea Sponge']",3.0,45.0,37.757916980741214,28.85569496028845,753.6565917711486,37.02606,-8.01873,0
1,U. olhanensis,male,sub_adult,,Gradual movement in cold conditions.,"['Snail', 'Algae', 'Sea Anemone']",5.0,37.5,39.71342836784816,30.09485653833722,937.0068055040392,,,1
2,A. Farensis,female,juvenile,False,Vibrating antennae in flowing current.,"['Mussel', 'Polychaete Worm', 'Small Fish']",7.0,5.662828781560805,7.699952326696324,6.766890529805945,6.591605323618721,,,2
3,A. Farensis,male,juvenile,,Inspecting remains of another crab.,"['Snail', 'Algae', 'Sea Sponge']",4.0,7.5,5.728886353882662,4.14396978826626,21.21997218255669,,,3
4,u. olhanen.,nan,juvenile,,Engaging in struggle with seaweed entanglement.,['Shrimp'],8.0,8.646094024766507,8.023614201251519,7.00804539090759,8.027632000792469,,,4
5,U. olhanensis,-,sub_adult,,Protecting territory in confined space.,"['Sea Anemone', 'Sea Star', 'Coral Fragment']",7.0,25.0,28.94743945888053,235.98685313587282,20.596595387491714,,,5
6,U. olhanensis,female,juvenile,False,Waving claw in signal to another crab.,['Shrimp'],3.0,13.42621591258748,17.240011834146266,16.42549992944527,12.408239800071438,,,6
7,A. Farensis,female,adult,False,Rhythmic waving as social cue.,"['Barnacle', 'Mussel', 'Jellyfish', 'Sea Urchin']",9.0,28.921957037677327,30.97261831128753,20.133085125278736,23.190606296585877,,,7
8,U. olhanensis,male,adult,,Claw snapping in aggressive encounter.,['Shrimp'],11.0,78.0,78.1386337345082,57.03399366322992,4648.047828723754,,,8
9,Ucides alvorensis,male,pre_puberty,,Concealing self beneath floating matter.,"['Barnacle', 'Sea Urchin', 'Sea Sponge']",5.0,16.5,18.241896890840952,13.806507732491399,226.9758596701049,,,9
10,A. Farensis,male,adult,True,Reacting to sudden changes in temperature.,"['Snail', 'Jellyfish', 'Coral Fragment']",5.0,69.0,74.7937705983772,62.39098452765861,3504.6300608554434,,,10
11,u. olhanen.,female,pre_puberty,False,Displaying territorial behavior against intruder.,['Coral Fragment'],8.0,16.622137648591043,16.804656246190888,11.447663869486513,12.714907280992369,,,11
12,U. olhanensis,female,sub_adult,False,Reacting to sudden changes in temperature.,"['Sea Urchin', 'Mussel', 'Sea Star', 'Algae', 'Snail']",6.0,24.630527058090593,25.007504019812917,23.873882867627017,19.89540676032791,,,12
13,A farensis,male,sub_adult,,Guarding eggs beneath body flap.,"['Crab (Other Species)', 'Polychaete Worm', 'Sea Star', 'Jellyfish']",8.0,31.25,25.482060270952122,20.33003663529454,372.9423988257512,,,13
14,U. olhanensis,male,pre_puberty,,Slowly navigating around seagrass beds.,"['Sea Star', 'Hermit Crab']",7.0,27.75,20.353820302118812,275.57779190256446,15.49329363974258,,,14
15,A farensis,male,adult,,Escaping from pursuing predator silhouette.,"['Polychaete Worm', 'Sea Sponge', 'Sea Urchin', 'Crab (Other Species)']",5.0,45.0,48.644620030621724,42.350485090456466,1465.4295684110048,,,15
16,u. olhanen.,male,sub_adult,,Grazing on mollusks among debris.,"['Algae', 'Sea Sponge', 'Small Fish']",9.0,21.25,20.66020573641207,16.280978840311537,324.4240528393436,,,16
17,A farensis,male,sub_adult,,Feeding on decaying matter among rocks.,"['Jellyfish', 'Small Fish', 'Mussel', 'Hermit Crab', 'Sea Sponge']",9.0,17.5,16.443638509863522,14.77441368663896,204.06284867557483,,,17
18,u. olhanen.,female,sub_adult,True,Claw shaking post-contact gesture.,"['Hermit Crab', 'Snail', 'Jellyfish']",12.0,44.06386316069944,35.31776198724972,23.80898936845598,26.40038981179127,,,18
19,u. olhanen.,male,adult,,Rhythmic waving as social cue.,"['Mussel', 'Coral Fragment', 'Sea Urchin', 'Small Fish', 'Hermit Crab']",9.0,24.0,23.03096770067976,361.04790070896945,18.90800457812057,,,19
20,A farensis,female,pre_puberty,True,Group migration across shallow seabed.,"['Sea Urchin', 'Polychaete Worm', 'Sea Anemone', 'Hermit Crab']",4.0,24.087339876651704,19.17159570311648,17.423052917215085,16.62280291630838,,,20
21,A. Farensis,female,pre_puberty,True,Claw snapping in aggressive encounter.,"['Shrimp', 'Sea Sponge', 'Polychaete Worm', 'Algae', 'Crab (Other Species)']",9.0,17.896868658096068,22.092536807759398,14.81082596984584,17.732059801404635,,,21
22,Ucides alvorensis,male or female,juvenile,,Performing dominance display by body lifting.,['Sea Sponge'],6.0,4.5,5.546435557761583,10.894836160745623,3.92093754247874,,,22
23,U. olhanensis,male,juvenile,,Scavenging at the edge of tidal pools.,"['Polychaete Worm', 'Sea Sponge']",7.0,8.5,10.174896508284931,9.130327921530013,67.25245070481198,,,23
24,A farensis,nan,pre_puberty,,Scavenging at the edge of tidal pools.,"['Sea Urchin', 'Sea Anemone', 'Hermit Crab', 'Snail', 'Small Fish']",6.0,29.637773266680075,26.71609984334792,20.558977971488943,24.324679053078455,,,24
25,U. olhanensis,male,adult,,Brief social contact with fellow crabs.,"['Shrimp', 'Algae']",11.0,63.0,60.89627321200698,2382.0044117046355,43.536656853726775,,,25
26,A. Farensis,female,pre_puberty,True,Sifting through sediment for scraps.,['Hermit Crab'],12.0,4.444954339788145,6.095732244898752,4.049784032616276,4.537952061029095,,,26
27,u. olhanen.,male,adult,,Reacting to sudden changes in temperature.,['Sea Sponge'],10.0,57.0,59.40163193237045,49.11084497295183,2484.7277869804825,,,27
28,A. Farensis,-,pre_puberty,,Claw shaking post-contact gesture.,"['Sea Star', 'Shrimp']",9.0,36.75,26.42775124164102,161.03959272524202,18.837173181440043,,,28
29,Ucides alvorensis,N/R,adult,,Creeping under the cover of seagrass.,['Sea Star'],9.0,24.931807769996272,27.123025962483226,22.255435502633574,29.51648545627847,,,29
30,u. olhanen.,female,sub_adult,False,Clambering up submerged tree trunks.,"['Barnacle', 'Sea Sponge']",11.0,32.59547619779167,31.4926055972129,22.93253002920866,23.907058112147606,,,30
31,U. olhanensis,female,adult,False,Brief social contact with fellow crabs.,"['Jellyfish', 'Sea Anemone', 'Sea Sponge', 'Algae', 'Barnacle']",7.0,45.77180737759472,47.52369856447848,39.2152019219415,38.481190664423565,,,31
32,A. Farensis,male,sub_adult,,Inspecting remains of another crab.,"['Small Fish', 'Snail', 'Sea Anemone']",7.0,32.5,38.9585663623955,29.247732146330005,1207.5640485579586,,,32
33,U. olhanensis,male,pre_puberty,,Harvesting food beneath floating debris.,['Barnacle'],7.0,39.0,37.48634275545789,29.122098285821416,993.1656437809039,,,33
34,A farensis,male,pre_puberty,,Guarding eggs beneath body flap.,['Snail'],8.0,22.5,22.903927009182965,304.3571532089261,19.73755183636111,,,34
35,Ucides alvorensis,-,juvenile,,Advancing toward bait in water.,"['Algae', 'Jellyfish', 'Sea Anemone']",8.0,21.0,29.186126816502387,231.3130742444911,25.495406853496764,,,35
36,A. Farensis,male,adult,,Brief social contact with fellow crabs.,"['Barnacle', 'Jellyfish']",7.0,45.0,48.733576197940955,42.48597818780368,1214.7222070761745,,,36
37,A farensis,male,sub_adult,,Gradual movement in cold conditions.,"['Algae', 'Shrimp', 'Sea Anemone', 'Sea Urchin', 'Small Fish']",10.0,51.25,51.024138740922965,36.46927905203923,1932.0594971904143,,,37
38,A farensis,female,sub_adult,False,Gradual movement in cold conditions.,"['Shrimp', 'Sea Urchin']",10.0,14.162974171309505,13.881689474491496,12.589250583240336,12.408855345861845,,,38
39,u. olhanen.,male,sub_adult,,Engaging in struggle with seaweed entanglement.,"['Crab (Other Species)', 'Hermit Crab', 'Coral Fragment']",5.0,56.25,52.63445254003535,43.30066795519068,1806.6577554322544,,,39
40,A. Farensis,male,pre_puberty,True,Clambering up submerged tree trunks.,"['Algae', 'Sea Anemone', 'Hermit Crab']",6.0,25.5,28.632207656414334,25.118875548485278,646.0927249731269,,,40
41,u. olhanen.,male,sub_adult,,Peering out cautiously from cover.,"['Algae', 'Mussel']",8.0,25.0,20.44840718567096,312.5818502027752,16.24129189181629,,,41
42,u. olhanen.,female,juvenile,True,Performing dominance display by body lifting.,"['Polychaete Worm', 'Sea Sponge', 'Snail', 'Sea Anemone', 'Jellyfish']",9.0,10.00392851790191,12.80336469096241,11.153873141841864,10.017306556286796,,,42
43,U. olhanensis,nan,adult,,Swiftly dashing across exposed sand.,"['Sea Sponge', 'Coral Fragment']",8.0,35.98371365601338,31.00744073742026,23.633494597546818,30.5535694034432,,,43
44,u. olhanen.,female,sub_adult,True,Group migration across shallow seabed.,"['Sea Sponge', 'Sea Star', 'Barnacle', 'Crab (Other Species)', 'Jellyfish']",8.0,50.62634647728369,47.3130532356674,29.273385882187874,41.27096823464905,,,44
45,Ucides alvorensis,male or female,sub_adult,,Scuttling swiftly over rocky terrain.,"['Small Fish', 'Polychaete Worm']",10.0,45.0,44.279894409524424,450.6623587184618,39.172263461411426,,,45
46,U. olhanensis,male,pre_puberty,,Scaling steep rock faces near shore.,"['Coral Fragment', 'Sea Sponge']",7.0,19.5,16.54790779386608,218.334360691554,13.141493809962332,,,46
47,u. olhanen.,male,pre_puberty,,Harvesting food beneath floating debris.,"['Sea Urchin', 'Barnacle', 'Snail']",12.0,24.75,26.62367809453777,485.98929977474427,21.859692441327304,,,47
48,A. Farensis,male,sub_adult,,Brief social contact with fellow crabs.,"['Algae', 'Jellyfish', 'Coral Fragment', 'Sea Sponge', 'Crab (Other Species)']",10.0,16.25,17.721946475446792,15.038446161189952,243.81297729289935,,,48
49,A farensis,male,sub_adult,,Entering burrow after disturbance.,['Sea Sponge'],7.0,11.25,10.359873811869507,8.653694381949194,63.67997282382275,,,49
50,U. olhanensis, ,juvenile,True,Interaction with nearby hermit crab.,"['Sea Anemone', 'Small Fish']",6.0,7.0,7.7174381107712575,20.245091549197166,5.721302830004239,,,50
51,A. Farensis,female,sub_adult,False,Reacting to sudden changes in temperature.,['Shrimp'],10.0,19.430568900820518,20.06275337692589,14.303024864645906,17.07506695954451,,,51
52,A farensis,female,juvenile,False,Color change during molting stress.,"['Algae', 'Polychaete Worm', 'Sea Urchin', 'Crab (Other Species)']",5.0,20.683139653768656,12.786171044059023,10.100044319762107,10.261036663108811,,,52
53,u. olhanen.,male,pre_puberty,,Claw snapping in diver confrontation.,"['Jellyfish', 'Coral Fragment']",10.0,24.0,-999.0,13.236038189525626,179.1807704270605,,,53
54,u. olhanen.,female,adult,True,Displaying territorial behavior against intruder.,"['Hermit Crab', 'Coral Fragment', 'Sea Anemone']",7.0,34.107937804633686,31.426775059664163,23.88168473331367,27.232737453592886,,,54
55,u. olhanen.,nan,pre_puberty,,Feeding on small crustaceans in crevices.,"['Shrimp', 'Sea Sponge']",11.0,12.218952077181134,9.60120784978927,8.393083194384353,8.93884163368037,,,55
56,U. olhanensis,male,sub_adult,,Scuttling swiftly over rocky terrain.,"['Sea Anemone', 'Hermit Crab', 'Jellyfish', 'Algae']",8.0,32.5,30.25333144880389,26.30424294925296,528.70845819038,,,56
57,A farensis,male,sub_adult,,Foraging through tangled seagrass roots.,"['Jellyfish', 'Crab (Other Species)', 'Shrimp']",9.0,38.75,40.73436647149522,29.42943205202458,883.4831815977266,,,57
58,u. olhanen.,female,pre_puberty,False,Filtering detritus from shallow bottom.,"['Small Fish', 'Algae', 'Barnacle', 'Mussel', 'Hermit Crab']",7.0,20.805971919854226,22.166528282680606,16.809509308785188,15.868662151108808,,,58
59,u. olhanen.,female,pre_puberty,True,Scaling steep rock faces near shore.,['Polychaete Worm'],8.0,11.132029292761565,8.862070244054319,5.337915045696531,7.486644951792401,,,59
60,u. olhanen.,female,sub_adult,True,Resisting aggressive fish encounter.,"['Crab (Other Species)', 'Small Fish', 'Mussel', 'Coral Fragment']",8.0,11.916939823562597,12.91479751832049,11.611869246090066,10.048365993442367,,,60
61,A farensis,female,sub_adult,False,Feeding on decaying matter among rocks.,"['Shrimp', 'Sea Star']",10.0,38.519679174349335,33.41703548469007,27.486047512033593,25.36606285878753,,,61
62,A farensis,male,sub_adult,,Taking cover beneath seagrass leaves.,['Barnacle'],8.0,10.0,11.248436894304747,9.000901326515198,69.54911153368658,,,62
63,A farensis,male,sub_adult,,Swiftly dashing across exposed sand.,"['Polychaete Worm', 'Sea Sponge', 'Coral Fragment', 'Algae']",5.0,27.5,24.42201878808039,20.136265304447136,401.6867604333748,,,63
64,A. Farensis,female,pre_puberty,False,Lying still to avoid detection.,"['Jellyfish', 'Crab (Other Species)', 'Sea Urchin', 'Sea Anemone', 'Small Fish']",7.0,13.828661329828298,12.900893700768343,11.876316854628755,9.776340650961455,,,64
65,A. Farensis,male,juvenile,,Darting away in response to sudden shadow.,"['Algae', 'Sea Sponge', 'Shrimp', 'Sea Urchin']",8.0,8.5,9.897946813898455,8.043956011079961,50.28640073818994,,,65
66,A farensis,male,juvenile,,"Burrowing into soft, sandy sediment.","['Barnacle', 'Sea Urchin']",7.0,27.5,27.28897155125342,506.49504569643665,22.719143809773243,,,66
67,Ucides alvorensis,female,sub_adult,False,Engaging in struggle with seaweed entanglement.,"['Snail', 'Coral Fragment', 'Algae', 'Barnacle']",12.0,45.28691999709572,50.10111077903234,30.279306457609348,39.98598593628,,,67
68,Ucides alvorensis,female,juvenile,False,Vibrating antennae in flowing current.,['Shrimp'],6.0,8.68963477434715,12.065785597138783,9.888353317854422,9.118462073677046,,,68
69,U. olhanensis,male,pre_puberty,,Frequent pausing while exploring.,['Coral Fragment'],7.0,30.0,29.654073444027972,23.184030938514038,678.0566005997163,,,69
70,u. olhanen.,male,adult,True,Protecting territory in confined space.,['Mussel'],7.0,61.5,56.40865454335134,42.36805190615936,2534.054927921597,,,70
71,A. Farensis,N/R,pre_puberty,,Hiding beneath overhanging rock.,"['Algae', 'Sea Star', 'Crab (Other Species)']",7.0,17.25,17.758324618470446,95.50958562024049,15.154878612040736,,,71
72,u. olhanen.,female,juvenile,True,Entering burrow after disturbance.,"['Crab (Other Species)', 'Mussel', 'Polychaete Worm', 'Algae']",8.0,12.918218773733285,11.914219276910949,9.399462268684148,8.770984857761624,,,72
73,u. olhanen.,male,pre_puberty,,Staying half-submerged in loose sand.,['Sea Anemone'],8.0,24.0,29.648194140786675,21.183907270950336,537.6107224969335,,,73
74,A. Farensis,male,juvenile,,Guarding eggs beneath body flap.,"['Snail', 'Algae', 'Sea Star', 'Sea Urchin', 'Small Fish']",9.0,30.0,33.85480194144137,29.86317316013643,628.3572905791211,,,74
75,A. Farensis,female,adult,True,Sifting through sediment for scraps.,"['Sea Star', 'Sea Anemone', 'Polychaete Worm', 'Snail', 'Coral Fragment']",10.0,24.91384114394054,28.24831576827624,20.783349697590673,21.349580571225957,,,75
76,U. olhanensis,male,sub_adult,,Engaging in struggle with seaweed entanglement.,"['Sea Anemone', 'Sea Sponge']",11.0,65.0,73.70030149303436,3470.9080505690417,53.39382394003463,,,76
77,A. Farensis,male,adult,,Retreating quickly into hidden burrow.,"['Mussel', 'Jellyfish']",7.0,24.0,21.88146310271886,18.43269255853472,259.70543839999965,,,77
78,A. Farensis,female,pre_puberty,True,"Burrowing into soft, sandy sediment.","['Algae', 'Sea Sponge', 'Shrimp', 'Barnacle', 'Mussel']",10.0,8.36272424417533,7.547554788165869,5.846487542776844,5.77643865182384,,,78
