,cl [cm],lcl [cm],fw [cm],species,longitude,is_gravid,rcl [cm],stage,sex,id,cw [cm],latitude,associated_species,depth [m],behaviour,101,80,11
0,14.0,9.57524973449704,2.0,A farensis,-8.01873,False,48.13875381338909,juvenile,female,1.0,6.7346446155716135,37.02606,"['Crab (Other Species)', 'Shrimp', 'Snail']",12.0,Stillness in cold water.,,,
1,24.0,10.070281093535664,5.0,u. olhanen.,,False,46.77950370111689,juvenile,male,2.0,9.058549529931621,,['Jellyfish'],12.0,Feeding on small mollusks.,,,
2,11.0,8.303593367079408,4.0,u. olhanen.,,True,124.45709343287226,sub_adult,male,3.0,5.547949234928077,,"['Hermit Crab', 'Sea Anemone']",6.0,Vibrating antennae in water currents.,,,
3,41.0,6.682505116098311,4.0,A. Farensis,,False,168.34832760933713,juvenile,female,4.0,11.152936527958772,,"['Barnacle', 'Sea Star']",6.0,Retreating into burrow.,,,
4,22.0,9.870528042823285,2.0,A farensis,,False,127.68488208101935,adult,male,5.0,9.164133127336697,,['Crab (Other Species)'],8.0,Shaking claws after contact.,,,
5,11.0,8.331597854687411,3.0,A farensis,,False,108.65452978487922,adult,female,6.0,7.476742441381164,,['Sea Star'],8.0,Sideways walking along bay edge.,,,
6,25.0,7.871001287127651,6.0,A farensis,,False,175.16138345008736,sub_adult,female,7.0,9.501551481172333,,"['Sea Urchin', 'Algae', 'Mussel', 'Small Fish']",12.0,Using claws to dig into sediment.,,,
7,33.0,8.61452699144779,7.0,A. Farensis,,False,150.0,sub_adult,male,8.0,10.167276042430764,,"['Small Fish', 'Jellyfish', 'Sea Star', 'Sea Urchin']",10.0,Moving in groups.,,,
8,45.0,7.39477124335066,2.0,u. olhanen.,,False,35.78233392993288,sub_adult,male,9.0,10.261845745326971,,"['Sea Anemone', 'Shrimp', 'Sea Urchin', 'Snail', 'Sea Star']",11.0,Stillness in cold water.,,,
9,17.0,9.128718305883904,9.0,u. olhanen.,,False,98.42375712013173,sub_adult, ,10.0,7.143991940791387,,"['Shrimp', 'Mussel', 'Snail']",10.0,Cleaning claws with rubbing motion.,,,
10,31.0,9.564731771433067,5.0,u. olhanen.,,False,150.0,sub_adult,male,11.0,10.200790484355581,,['Mussel'],9.0,Climbing onto submerged logs.,,,
11,15.0,8.180604970816802,3.0,U. olhanensis,,False,85.76830270103085,juvenile,male,12.0,6.759088050512438,,"['Coral Fragment', 'Algae', 'Sea Star', 'Hermit Crab']",8.0,Climbing barnacle-covered surfaces.,,,
12,12.0,9.139616010098287,2.0,u. olhanen.,,False,85.04932241488856,juvenile,male,13.0,5.884180747361809,,"['Polychaete Worm', 'Sea Anemone']",7.0,Vibrating antennae in water currents.,,,
13,38.0,7.300829034572605,4.0,u. olhanen.,,True,48.085177398224246,sub_adult,female,14.0,11.12676981284367,,"['Mussel', 'Hermit Crab', 'Sea Sponge', 'Small Fish', 'Coral Fragment']",8.0,Crab moving quickly across rocks.,,,
14,35.0,9.521212961493399,4.0,u. olhanen.,,False,150.0,pre_puberty,male or female,15.0,10.713355696116869,,"['Polychaete Worm', 'Sea Urchin', 'Barnacle', 'Snail']",7.0,Climbing barnacle-covered surfaces.,,,
15,29.0,8.347438305358235,3.0,A. Farensis,,False,70.04562243513638,sub_adult,male,16.0,9.59049523982437,,['Hermit Crab'],10.0,Stillness in cold water.,,,
16,37.0,7.594836888400139,3.0,u. olhanen.,,True,150.52838091889546,juvenile,female,17.0,10.633432726322882,,['Snail'],8.0,Hiding beneath rocks.,,,
17,23.0,7.448467338875076,8.0,A farensis,,False,42.14270564040063,pre_puberty,N/R,18.0,7.8413519178555084,,"['Coral Fragment', 'Mussel', 'Snail']",7.0,Moving in groups.,,,
18,11.0,7.8041007590989695,6.0,u. olhanen.,,False,147.7341513099368,adult, ,19.0,6.865834986097358,,['Crab (Other Species)'],6.0,Territorial display against intruder.,,,
19,29.0,8.555938913835382,7.0,A. Farensis,,True,20.826882271546182,pre_puberty,male,20.0,8.961650986146967,,['Sea Anemone'],8.0,Resting under shell fragment.,,,
20,31.0,6.1151502134178495,2.0,A. Farensis,,False,154.15706422456654,juvenile,male,21.0,10.385865130314121,,"['Small Fish', 'Sea Star']",5.0,Interaction with hermit crabs.,,,
21,22.0,10.39614946910688,5.0,A. Farensis,,True,96.06028706323629,sub_adult,male,22.0,7.483677484751675,,"['Sea Urchin', 'Sea Star', 'Crab (Other Species)', 'Hermit Crab']",7.0,Guarding a small hole in sediment.,,,
22,15.0,8.586371225495137,2.0,A. Farensis,,False,34.62367648459587,juvenile,male,23.0,6.3381166543415794,,"['Crab (Other Species)', 'Polychaete Worm']",8.0,Retreating into burrow.,,,
23,30.0,7.8108816260643295,3.0,A farensis,,False,150.0,pre_puberty,female,24.0,8.955286855779192,,"['Coral Fragment', 'Barnacle', 'Sea Urchin']",7.0,Rapid claw movement while feeding.,,,
24,44.0,9.697132256125247,6.0,u. olhanen.,,False,38.126585772548175,sub_adult,male,25.0,11.694015284310105,,['Mussel'],5.0,Rapid claw movement while feeding.,,,
25,19.0,7.096677155527522,4.0,u. olhanen.,,False,26.33801336394148,adult,male,26.0,7.618703288234656,,"['Sea Anemone', 'Coral Fragment', 'Sea Star', 'Polychaete Worm', 'Barnacle']",8.0,Retreating quickly from shadow.,,,
26,26.0,9.522962526872918,7.0,u. olhanen.,,False,86.21904625015519,adult,male,27.0,9.315601963286042,,"['Algae', 'Snail', 'Sea Anemone', 'Sea Urchin']",10.0,Searching for food in tidal pools.,,,
27,8.0,7.2832878399448475,2.0,A. Farensis,,False,84.87782691383532,pre_puberty,male,28.0,7.450375336776199,,"['Jellyfish', 'Sea Anemone', 'Crab (Other Species)']",7.0,Feeding on small crustaceans.,,,
28,55.0,8.258206191184714,2.0,A. Farensis,,False,55.299578406107145,pre_puberty,male,29.0,12.474599100246088,,"['Hermit Crab', 'Barnacle', 'Shrimp', 'Sea Urchin']",7.0,Guarding a small hole in sediment.,,,
29,18.0,8.215232803706234,2.0,u. olhanen.,,False,14.315804331213785,sub_adult,male,30.0,8.48357533426967,,['Barnacle'],11.0,Climbing seaweed stalks.,,,
30,12.0,8.881658320891642,6.0,u. olhanen.,,False,150.0,sub_adult,male,31.0,6.491151713635751,,"['Mussel', 'Jellyfish', 'Small Fish']",7.0,Sideways walking along bay edge.,,,
31,28.0,8.491507279235455,4.0,A farensis,,False,86.13020753441093,pre_puberty,male,32.0,9.60288895726291,,"['Jellyfish', 'Barnacle', 'Algae', 'Sea Anemone', 'Snail']",6.0,Slow movement near seagrass patches.,,,
32,13.0,8.395894714551972,2.0,A. Farensis,,False,39.682642855887266,adult,male,33.0,6.983436067632707,,"['Snail', 'Sea Sponge', 'Crab (Other Species)', 'Coral Fragment', 'Barnacle']",7.0,Exchanging antenna taps.,,,
