,species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],latitude,longitude,id
0,A farensis,female,s,True,Resisting aggressive fish encounter.,"['Jellyfish', 'Sea Anemone']",8.0,1.0904031737060373,1.2639506117594839,0.9301387931150888,1.05051700707107,37.1,-8.62,0
1,U. olhanensis,male,s,,Scuttling swiftly over rocky terrain.,"['Shrimp', 'Small Fish']",5.0,2.9545454545454546,3.3388947496203825,2.739661285642311,27.858629039336883,,,1
2,U. olhanensis,female,a,False,Searching tidal pools for nutrients.,['Sea Urchin'],11.0,1.5944963510177417,1.753868626186062,1.1395973319858503,1.5046714238811063,,,2
3,A farensis,female,s,False,Camouflaging with nearby mud.,"['Mussel', 'Small Fish']",4.0,0.9316580975702903,1.183319622400404,0.8256212471636925,0.9721145403931396,,,3
4,A farensis,male,s,,Engaging in antennae-to-antennae contact.,"['Algae', 'Mussel', 'Jellyfish', 'Hermit Crab', 'Crab (Other Species)']",9.0,1.9318181818181819,1.7053528677376675,1.3695652893203882,10.611793045205655,,,4
5,A. Farensis,female,a,False,Reacting to sudden changes in temperature.,"['Coral Fragment', 'Mussel', 'Sea Urchin', 'Small Fish']",7.0,3.056030455702812,2.7946636816178514,1.734840727019131,2.355016108397592,,,5
6,u. olhanen.,female,s,True,Nibbling detritus off seabed patches.,"['Hermit Crab', 'Mussel', 'Crab (Other Species)']",11.0,1.2760186889329395,1.5018631134952825,0.9285119690947194,1.2513431010555303,,,6
7,U. olhanensis,male,s,,Concealing self beneath floating matter.,['Algae'],7.0,1.25,1.2211176627004408,1.024626336570453,4.91630681533541,,,7
8,A farensis,male,s,,Consuming algae scraped from barnacles.,"['Snail', 'Small Fish', 'Coral Fragment', 'Sea Sponge', 'Barnacle']",4.0,4.318181818181818,4.981435551689545,3.7769754307242267,60.71533367722419,,,8
9,Ucides alvorensis, ,a,,Feeding on decaying matter among rocks.,"['Coral Fragment', 'Crab (Other Species)', 'Algae', 'Sea Star']",7.0,1.5,1.481087610412761,2.9978881785366656,1.187873091979237,,,9
10,u. olhanen.,male,a,True,Picking algae carefully off rock faces.,"['Polychaete Worm', 'Small Fish', 'Sea Star', 'Hermit Crab']",6.0,3.5454545454545454,3.744670199732006,3.346032319061047,38.28475982543953,,,10
11,U. olhanensis,male,a,,Guarding eggs beneath body flap.,"['Coral Fragment', 'Sea Urchin']",9.0,3.8181818181818183,3.9389370271754127,3.4965366773617235,40.806897035964646,,,11
12,A farensis,male,p,,Performing dominance display by body lifting.,['Barnacle'],6.0,2.1136363636363638,2.592534262752097,2.040494675117435,17.468116980991677,,,12
13,u. olhanen.,male,a,,Entering burrow after disturbance.,"['Coral Fragment', 'Polychaete Worm', 'Sea Urchin', 'Shrimp']",6.0,2.727272727272727,2.7515565901567123,1.951730000517778,20.52074932143791,,,13
14,A. Farensis,female,s,False,Vibrating antennae in flowing current.,"['Sea Urchin', 'Polychaete Worm', 'Sea Star', 'Sea Sponge', 'Jellyfish']",7.0,3.160138609015639,2.989142937642474,2.1290575096648756,-999.0,,,14
15,u. olhanen.,female,p,False,Traversing algae-slick rock surfaces.,"['Hermit Crab', 'Sea Sponge', 'Coral Fragment', 'Jellyfish']",7.0,0.3573684062750167,0.33035842868986626,0.260708214411283,0.296421925608393,,,15
16,U. olhanensis,male,a,,Rhythmic waving as social cue.,"['Jellyfish', 'Sea Anemone', 'Sea Urchin', 'Snail']",6.0,2.8636363636363638,2.886807617133196,21.280406327022046,2.275845802509654,,,16
17,u. olhanen.,male,p,,"Stationary, blending into rocky backdrop.",['Jellyfish'],4.0,0.6136363636363636,0.6556330211886602,1.8239101307482846,0.5371340533337082,,,17
18,U. olhanensis,male,j,,Frequent pausing while exploring.,"['Mussel', 'Sea Star', 'Sea Sponge']",11.0,1.0909090909090908,1.0221451156138368,0.81342515668649,4.392919087647801,,,18
19,A. Farensis,female,j,False,Swiftly dashing across exposed sand.,"['Sea Star', 'Algae', 'Small Fish', 'Sea Urchin', 'Barnacle']",6.0,0.3671175100043863,0.2103214124185815,0.1679008793782798,0.1886589073401866,,,19
20,U. olhanensis,female,a,True,Mating ritual involving antennae brushing.,"['Hermit Crab', 'Polychaete Worm', 'Algae']",5.0,0.994631367809991,1.036315091673915,0.639781908594391,0.8747356974586435,,,20
21,u. olhanen.,male,j,,Guarding eggs beneath body flap.,"['Polychaete Worm', 'Snail', 'Small Fish']",7.0,0.5909090909090909,0.8017119036241241,0.5648730265935027,2.4045287461507687,,,21
22,u. olhanen.,female,p,False,Color change during molting stress.,"['Jellyfish', 'Sea Anemone', 'Barnacle', 'Sea Sponge', 'Mussel']",5.0,1.9608971018139059,2.647785447253028,2.0845241440728794,2.203026383085891,,,22
23,Ucides alvorensis,female,a,False,Staying half-submerged in loose sand.,['Shrimp'],7.0,4.262103626866658,3.8042483973667642,2.54513881760083,3.41779922076926,,,23
24,u. olhanen.,female,a,False,Hiding beneath overhanging rock.,"['Barnacle', 'Sea Star', 'Crab (Other Species)']",5.0,0.8736288782114952,0.8272745745295407,0.5533258597300231,0.6855043623362914,,,24
25,A farensis,male,p,,Escaping from pursuing predator silhouette.,['Jellyfish'],10.0,2.8636363636363638,3.079990594266543,2.4411154861977766,28.35245906502179,,,25
26,A farensis,male,a,,Retreating quickly into hidden burrow.,"['Mussel', 'Sea Anemone', 'Polychaete Worm', 'Shrimp']",6.0,1.6363636363636365,1.7156654612262399,1.2017467896728815,8.083099817873931,,,26
27,A farensis,male,s,,Rhythmic waving as social cue.,"['Sea Anemone', 'Coral Fragment', 'Hermit Crab', 'Small Fish', 'Mussel']",7.0,2.5,2.8339591261184918,2.2516923433930365,21.372155563168615,,,27
28,A farensis,female,s,False,Engaging in antennae-to-antennae contact.,['Sea Urchin'],8.0,3.7986680064590788,3.1689734035055093,2.055510259395112,2.6247934264150685,,,28
29,Ucides alvorensis,female,s,False,Resting in shaded crevice along cliff.,"['Mussel', 'Sea Anemone', 'Sea Urchin', 'Shrimp']",5.0,2.1316096107773705,2.3182901301399914,1.6909632427434482,1.9555178069021808,,,29
30,A farensis,female,a,False,Swiftly dashing across exposed sand.,['Sea Sponge'],8.0,1.0558131844899192,1.0664165821075693,0.7042725336147334,0.8944169530790226,,,30
31,A. Farensis,male,j,,Picking algae carefully off rock faces.,"['Sea Sponge', 'Crab (Other Species)', 'Polychaete Worm']",5.0,1.0454545454545454,1.3429968527177147,5.31316309206194,1.1130920324025722,,,31
32,A. Farensis,male,a,,Claw snapping in aggressive encounter.,"['Mussel', 'Coral Fragment']",6.0,2.3181818181818183,2.4988562397360994,15.670958735584072,1.8636249295709975,,,32
33,A farensis,male,a,,Clambering up submerged tree trunks.,"['Coral Fragment', 'Mussel', 'Barnacle']",5.0,4.909090909090909,4.563872588225452,48.53306392958616,3.5119192305163893,,,33
34,A. Farensis,male,a,,Guarding eggs beneath body flap.,"['Snail', 'Sea Anemone', 'Hermit Crab', 'Sea Sponge', 'Barnacle']",3.0,1.6363636363636365,1.5964175530503057,1.3035533073613212,9.373281047479503,,,34
35,u. olhanen.,male,a,,Collecting biofilm from sunken wood.,['Algae'],5.0,6.681818181818182,6.167243285360876,5.4105223847021495,73.46981804999692,,,35
36,A farensis,male,s,,Feeding on small crustaceans in crevices.,['Shrimp'],10.0,2.6136363636363638,2.5082400866928407,2.1244154456468176,19.33061171064894,,,36
37,u. olhanen.,female,j,False,Side-stepping along sandy coastal floor.,"['Algae', 'Barnacle']",6.0,1.3613463260830392,1.0352961295580583,0.772739309835528,0.9138057875964698,,,37
38,A farensis,female,a,False,Displaying territorial behavior against intruder.,"['Coral Fragment', 'Shrimp', 'Polychaete Worm']",5.0,1.9794340199116887,2.0916502685861613,1.534076133715373,1.6905509617083962,,,38
39,A farensis,male,s,,Claw shaking post-contact gesture.,"['Sea Sponge', 'Snail', 'Sea Star']",4.0,1.7045454545454546,1.468112370819378,7.304585718786544,1.1338885315973977,,,39
40,u. olhanen.,female,a,False,Rhythmic waving as social cue.,"['Algae', 'Mussel', 'Snail', 'Sea Sponge']",5.0,2.488946266654284,2.403454031615601,1.896987664814101,1.9273778421882823,,,40
41,u. olhanen.,female,s,False,Side-stepping along sandy coastal floor.,"['Jellyfish', 'Crab (Other Species)', 'Snail', 'Barnacle', 'Mussel']",6.0,1.8821160400697463,1.9678493675939435,1.3340781375641677,1.635954181356828,,,41
42,A. Farensis,-,s,,Resisting aggressive fish encounter.,"['Polychaete Worm', 'Mussel', 'Shrimp', 'Sea Urchin']",10.0,1.9318181818181819,2.000307024009427,4.396346618823778,1.4217871572272367,,,42
43,A. Farensis,male,s,,Frequent pausing while exploring.,"['Shrimp', 'Algae', 'Sea Sponge', 'Barnacle', 'Hermit Crab']",7.0,1.4772727272727273,1.5126884327263002,8.023544814957042,1.084049262800046,,,43
44,A farensis,male,j,,Feeding on decaying matter among rocks.,"['Snail', 'Shrimp', 'Sea Anemone']",7.0,1.2727272727272727,1.1890859999024521,4.604861436781042,0.8943051550284659,,,44
45,u. olhanen.,female,j,False,Camouflaging with nearby mud.,"['Barnacle', 'Hermit Crab', 'Snail']",8.0,0.2649191300819879,0.37172988218483743,0.23487614578224233,0.33299173790054143,,,45
