species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
U. olhanensis,female,sub_adult,False,Climbing barnacle-covered surfaces.,"['Algae', 'Crab (Other Species)', 'Snail']",6.0,14.434952226296064,11.927354973657785,15.248782740836555,14.496436423649753,42.0,2020-11-07,37.02606,-8.01873,0
A farensis,-,sub_adult,,Moving in groups.,['Sea Anemone'],10.0,8.75,9.795151056574651,12.826643605290366,9.348955847145183,42.0,2020-11-07,,,1
u. olhanen.,female,sub_adult,False,Moving toward warmer water pockets.,['Jellyfish'],8.0,16.661450188758284,13.863714046906345,17.56751007809547,18.247390512168003,41.0,2020-11-07,,,2
u. olhanen.,male,pre_puberty,,Vibrating antennae in water currents.,"['Sea Sponge', 'Barnacle', 'Polychaete Worm', 'Mussel']",9.0,24.75,21.855125514149883,28.545534834275013,25.746568087517943,41.0,2020-11-07,,,3
Ucides alvorensis,nan,adult,,Interacting with small fish nearby.,['Coral Fragment'],9.0,12.0,11.752334891927724,17.193852799737734,12.13567714964214,40.0,2020-11-07,,,4
A. Farensis,female,adult,False,Escaping from aggressive fish.,"['Sea Anemone', 'Algae', 'Hermit Crab', 'Mussel']",8.0,9.670077773454052,9.850866463544302,14.415309200229913,9.786407554723118,41.0,2020-11-07,,,5
u. olhanen.,male,adult,,Searching for food in tidal pools.,"['Snail', 'Hermit Crab', 'Crab (Other Species)', 'Coral Fragment', 'Mussel']",14.0,9.0,8.311782442059462,12.455434959427093,9.857289189560255,43.0,2020-11-07,,,6
u. olhanen.,female,pre_puberty,False,Crab moving quickly across rocks.,"['Coral Fragment', 'Sea Anemone']",10.0,8.737167213308243,7.65384549581495,9.607725282570955,9.081254992980929,42.0,2020-11-07,,,7
U. olhanensis,female,pre_puberty,False,Feeding on algae scraped from rocks.,"['Algae', 'Sea Urchin', 'Crab (Other Species)', 'Coral Fragment', 'Small Fish']",8.0,12.309211789926412,11.293475923345545,15.033437487603345,12.61479934785439,39.0,2020-11-07,,,8
Ucides alvorensis,male,pre_puberty,,Feeding on small mollusks.,"['Small Fish', 'Snail', 'Algae']",7.0,10.5,8.34935861370648,10.393448816110102,11.46441828942057,39.0,2020-11-07,,,9
U. olhanensis,female,pre_puberty,True,Searching for mates at twilight.,"['Snail', 'Crab (Other Species)', 'Barnacle', 'Sea Urchin']",7.0,20.395425652160135,29.718838743599164,36.01189743442136,20.913037305137596,42.0,2020-11-07,,,10
Ucides alvorensis,-,juvenile,,Feeding on detritus in shallow water.,['Mussel'],6.0,9.0,8.99168169040577,11.080168721688578,9.783417634929943,41.0,2020-11-07,,,11
U. olhanensis,female,sub_adult,False,Moving toward warmer water pockets.,"['Mussel', 'Sea Sponge', 'Small Fish']",12.0,15.126435381827605,17.966589398997534,24.343689528768902,16.03908901958475,41.0,2020-11-07,,,12
A farensis,male,adult,,Camouflaging with surrounding mud.,"['Sea Star', 'Hermit Crab', 'Sea Anemone', 'Sea Sponge', 'Sea Urchin']",7.0,81.0,79.37523756900478,97.36891113344909,85.86102336218912,42.0,2020-11-07,,,13
u. olhanen.,male,pre_puberty,,Sitting still blending with environment.,"['Coral Fragment', 'Hermit Crab']",6.0,12.75,14.035759189070866,20.49894300572964,13.407216908006669,40.0,2020-11-07,,,14
A farensis,female,sub_adult,False,Using claws to dig into sediment.,"['Crab (Other Species)', 'Barnacle', 'Mussel']",12.0,24.354014665249565,19.6008000513247,23.89513951016112,24.522552706888504,42.0,2020-11-07,,,15
