species_name,sex,stage,is_gravid?,behavior,associated_species,depth [m],cl [cm],cw [cm],lcl [cm],rcl [cm],fw [cm],date,latitude,longitude,id
A. Farensis,male,sub_adult,True,Scavenging near tidal pools.,"['Crab (Other Species)', 'Mussel', 'Barnacle', 'Sea Urchin', 'Shrimp']",7.0,2.6136363636363638,2.1999728344039777,2.947869766249381,2.771142850800329,2.727272727272727,2021-08-09,37.1,-8.62,0
u. olhanen.,nan,sub_adult,,Territorial display against intruder.,"['Barnacle', 'Small Fish', 'Sea Sponge', 'Algae', 'Jellyfish']",5.0,3.75,3.655546955154034,4.452016953497345,4.102779187522374,2.6363636363636362,2021-08-09,,,1
A farensis,male,sub_adult,,Climbing vertical rock face.,"['Shrimp', 'Polychaete Worm', 'Coral Fragment', 'Sea Urchin', 'Sea Anemone']",8.0,3.1818181818181817,3.482035091717202,4.376474889421778,3.20670215279893,2.727272727272727,2021-08-09,,,2
U. olhanensis,male,sub_adult,,Stillness in cold water.,"['Sea Anemone', 'Snail', 'Polychaete Worm']",6.0,3.1818181818181817,3.1437944663830364,4.04413903869559,3.477084387494187,2.4545454545454546,2021-08-09,,,3
A farensis,nan,sub_adult,,Moving sideways along sandy bottom.,['Coral Fragment'],12.0,4.659090909090909,3.7966317540243293,4.8141275038995035,4.7304667633598925,2.5454545454545454,2021-08-09,,,4
u. olhanen.,female,juvenile,False,Exchanging antenna taps.,['Polychaete Worm'],2.0,1.0727745550674979,1.2631064262041785,1.802111538689458,1.1717289844605008,2.5454545454545454,2021-08-09,,,5
A farensis,male,sub_adult,,Struggling with entangled seaweed.,"['Sea Anemone', 'Polychaete Worm', 'Sea Urchin', 'Sea Sponge', 'Hermit Crab']",6.0,3.0681818181818183,3.3216139493721104,4.569095426669006,3.230258744951537,2.6363636363636362,2021-08-09,,,6
A farensis,male,sub_adult,,Swimming short distance to escape.,"['Small Fish', 'Algae', 'Snail', 'Mussel', 'Shrimp']",5.0,3.8636363636363638,4.0903594623380775,6.060950506042882,4.2244409327091015,2.8181818181818183,2021-08-09,,,7
u. olhanen.,female,adult,True,Moving toward warmer water pockets.,"['Sea Sponge', 'Small Fish', 'Sea Star', 'Algae', 'Polychaete Worm']",1.0,2.0822932117879684,2.4195842860549397,3.1247058292938146,2.241518324423419,2.727272727272727,2021-08-09,,,8
u. olhanen.,male,adult,,Social contact with other crabs.,"['Polychaete Worm', 'Sea Urchin', 'Hermit Crab', 'Crab (Other Species)', 'Snail']",5.0,5.454545454545454,4.9113146193932815,6.460074073623577,5.750605204408261,2.5454545454545454,2021-08-09,,,9
u. olhanen.,female,adult,False,Picking biofilm on submerged wood.,"['Sea Anemone', 'Snail', 'Algae']",5.0,3.5213822459860107,3.623816690065823,5.105169740462411,3.5848789371683667,2.727272727272727,2021-08-09,,,10
U. olhanensis,female,sub_adult,False,Moving toward warmer water pockets.,['Shrimp'],9.0,4.351267803171233,3.550313172857008,4.846828597913326,4.623318123791907,2.5454545454545454,2021-08-09,,,11
A. Farensis,female,sub_adult,False,Color changes during molting.,"['Sea Urchin', 'Jellyfish', 'Snail']",5.0,3.49162823209015,3.929294608518377,4.964389898934659,3.5857840810491224,2.4545454545454546,2021-08-09,,,12
