,species,sex,stage,is_gravid,behaviour,associated_species,depth [m],cl [mm],cw [mm],lcl [mm],rcl [mm],fw [mm],date,latitude,longitude,id
0,U. olhanensis,female,pre_puberty,False,Slowly navigating around seagrass beds.,"['Sea Sponge', 'Snail', 'Hermit Crab', 'Sea Urchin']",5.0,15.1901440601292,18.341528545826666,26.4381963042635,15.835512071032465,37.0,2021-03-01,37.02606,-8.01873,0
1,A. Farensis,female,pre_puberty,False,Traversing algae-slick rock surfaces.,"['Sea Star', 'Sea Sponge', 'Algae', 'Small Fish', 'Mussel']",9.0,13.92871285644409,15.944541646125664,20.36979195651982,15.01494916428467,36.0,2021-03-01,,,1
2,A farensis,female,pre_puberty,True,Lying still to avoid detection.,"['Sea Urchin', 'Sea Sponge', 'Sea Anemone']",9.0,10.804588702316414,15.228762595063746,19.396320207505347,11.406557672034143,37.0,2021-03-01,,,2
3,U. olhanensis,male,adult,,Protecting territory in confined space.,"['Sea Anemone', 'Sea Sponge', 'Shrimp']",5.0,19.5,19.625594616783776,23.763036022996864,20.694864883870256,40.0,2021-03-01,,,3
4,U. olhanensis,male or female,sub_adult,,Vibrating antennae in flowing current.,"['Barnacle', 'Crab (Other Species)', 'Mussel']",9.0,46.25,37.379904491078435,50.19335616790431,48.561783963675,38.0,2021-03-01,,,4
5,u. olhanen.,male,pre_puberty,,Resting in shaded crevice along cliff.,"['Coral Fragment', 'Small Fish', 'Algae']",13.0,6.75,8.679451880670808,12.199558351267425,6.98992195255893,38.0,2021-03-01,,,5
6,A. Farensis,male,sub_adult,,Group migration across shallow seabed.,"['Sea Urchin', 'Sea Star', 'Small Fish', 'Snail']",6.0,36.25,37.75038399613706,48.03156094423566,39.60685574027938,38.0,2021-03-01,,,6
7,u. olhanen.,female,sub_adult,False,Protecting territory in confined space.,"['Algae', 'Small Fish']",10.0,20.693985698383496,19.3692207483444,26.24187232408194,21.18303476993615,36.0,2021-03-01,,,7
8,A farensis,female,adult,True,Concealing self beneath floating matter.,"['Sea Sponge', 'Mussel', 'Small Fish']",8.0,33.594914751594004,33.18731347746873,41.604162021208374,34.20000074040498,38.0,2021-03-01,,,8
9,A. Farensis,male,sub_adult,,Mating ritual involving antennae brushing.,"['Coral Fragment', 'Polychaete Worm']",7.0,42.5,50.47195404714025,75.22452816422937,45.02067958724717,36.0,2021-03-01,,,9
