,cl [mm],lcl [mm],fw [mm],species_name,longitude,is_gravid,rcl [mm],stage,sex,id,cw [mm],latitude,associated_species,depth [m],is_gravid?,behavior
0,390,104.70344574049142,110,U. olhanensis,-7.99163,False,65.35806570973256,p,nan,1,149.60285663281303,37.01025,"['Snail', 'Sea Anemone']",12,False,Inspecting discarded crab shell.
1,300,82.64782834690429,80,A farensis,,False,182.81770064895525,s,male,2,126.12232808706652,,['Algae'],7,False,Climbing seaweed stalks.
2,140,96.02387137068922,30,u. olhanen.,,False,0.5180706821286272,s,female,3,162.0153421241472,,"['Hermit Crab', 'Jellyfish', 'Algae']",8,False,Feeding on small mollusks.
3,310,133.99699653957435,60,u. olhanen.,,False,48.51344569151914,a,male,4,142.8763095482309,,['Polychaete Worm'],7,False,Resting in shaded rock crevice.
4,360,93.38912529968825,70,A farensis,,False,0.25303991792642233,s,female,5,161.58950858239064,,"['Sea Urchin', 'Crab (Other Species)', 'Shrimp']",6,False,Feeding on small mollusks.
5,80,94.06037405314737,50,A. Farensis,,False,0.39811090086430273,s,female,6,153.91877545412257,,['Algae'],10,False,Picking detritus from seabed.
6,60,69.65470695491649,30,u. olhanen.,,False,0.18733869433964112,s,male or female,7,112.37266054864577,,"['Sea Anemone', 'Snail', 'Coral Fragment', 'Sea Urchin']",7,False,Guarding a small hole in sediment.
7,330,90.6090931040944,40,A farensis,,False,1.227920464015077,a, ,8,140.31827515882546,,"['Crab (Other Species)', 'Hermit Crab', 'Sea Urchin', 'Shrimp', 'Barnacle']",10,False,Resting in shaded rock crevice.
8,470,137.69913505856158,110,A. Farensis,,False,8.548222167586303,a,female,9,127.2725853186604,,"['Sea Sponge', 'Crab (Other Species)']",7,False,Climbing submerged rocks.
9,280,112.31718104867286,40,u. olhanen.,,False,4.292278188360191,p,male or female,10,191.30562744786644,,"['Hermit Crab', 'Jellyfish', 'Small Fish', 'Coral Fragment', 'Barnacle']",5,False,Waving claws rhythmically.
10,60,114.70240044498223,30,A. Farensis,,False,3.611318195968548,s,male,11,157.84790009829732,,"['Sea Star', 'Jellyfish', 'Small Fish', 'Coral Fragment', 'Algae']",8,False,Sitting still blending with environment.
11,140,86.59067676003212,20,A farensis,,False,2.111610976001694,s,male,12,134.47547080883243,,"['Shrimp', 'Sea Anemone']",7,False,Retreating quickly from shadow.
12,270,82.10737982421892,20,A farensis,,False,0.15990363394698004,s,?,13,151.67395922231088,,"['Jellyfish', 'Mussel', 'Barnacle']",9,False,Moving sideways along sandy bottom.
13,260,91.70210363219353,20,u. olhanen.,,False,13.648483130656281,s,male,14,108.3580664160489,,['Small Fish'],8,False,Interaction with hermit crabs.
14,60,94.76228034321639,30,u. olhanen.,,False,139.14765438647245,s,female,15,85.42337037254273,,"['Hermit Crab', 'Sea Sponge']",9,False,Climbing seaweed stalks.
15,50,98.56629754377971,20,A farensis,,False,1.434477595784196,p, ,16,126.37718510654231,,"['Crab (Other Species)', 'Snail', 'Sea Anemone', 'Mussel']",6,False,Half buried in sand.
16,80,76.46380438877253,30,A. Farensis,,True,2.604539080076918,s,female,17,127.46220384431128,,"['Hermit Crab', 'Small Fish', 'Snail', 'Algae', 'Jellyfish']",11,True,Crab moving quickly across rocks.
17,230,121.30955486042353,60,A. Farensis,,False,27.844300685848488,s,male,18,132.0132847306999,,"['Sea Star', 'Sea Sponge', 'Algae', 'Hermit Crab']",8,False,Moving toward bait.
18,90,87.5938558293654,60,A farensis,,False,4.163354784315516,s,male,19,133.96483434328115,,"['Sea Urchin', 'Shrimp', 'Coral Fragment']",11,False,Rapid crossing of open sand.
19,150,92.85968034503443,20,A farensis,,False,0.3176804821205503,a,male,20,135.84767310920617,,"['Jellyfish', 'Shrimp', 'Small Fish', 'Mussel']",10,False,Escaping from aggressive fish.
20,100,92.96618645671825,20,A. Farensis,,False,2.2574551815043624,p,nan,21,122.77082514513626,,"['Polychaete Worm', 'Sea Star', 'Sea Anemone', 'Shrimp', 'Barnacle']",8,False,Picking biofilm on submerged wood.
21,110,63.78108242280582,50,u. olhanen.,,False,1.3612608732466105,j,male,22,156.87987865105256,,"['Hermit Crab', 'Sea Anemone']",13,False,Guarding eggs under abdominal flap.
22,90,126.65310013851389,40,A farensis,,False,31.223242596284948,j,female,23,112.42064413140602,,"['Snail', 'Polychaete Worm']",6,False,Picking detritus from seabed.
23,240,78.22489148410573,20,A. Farensis,,False,0.24024874579562702,s, ,24,150.68690617943895,,['Mussel'],8,False,Moving in groups.
24,170,99.81202666957032,70,A farensis,,False,0.3836934953242993,s,male,25,160.13880980735775,,"['Algae', 'Hermit Crab']",9,False,Swimming short distance to escape.
25,190,104.1182815027995,30,A farensis,,False,2.5849830206841737,p,female,26,74.03712942498866,,"['Polychaete Worm', 'Algae']",9,False,Claw waving directed at nearby crab.
26,410,96.55328906968236,50,A farensis,,False,0.16681885041609007,p,male,27,156.73607191601724,,"['Sea Sponge', 'Crab (Other Species)', 'Polychaete Worm', 'Jellyfish']",7,False,Resting under shell fragment.
27,140,78.37405200083391,40,A. Farensis,,False,3.397194978086513,s,male,28,135.6078318642991,,"['Mussel', 'Sea Urchin']",7,False,Sitting still blending with environment.
28,190,71.39514755416627,30,A farensis,,True,2.397070077477348,s, ,29,174.0065022879951,,"['Barnacle', 'Crab (Other Species)']",10,True,Camouflaging with surrounding mud.
29,100,77.27697258825702,80,A farensis,,False,0.8186470354865498,s, ,30,128.50813033848192,,"['Snail', 'Sea Urchin']",9,False,Stillness in cold water.
30,160,88.96959233387122,40,U. olhanensis,,False,0.9914224887953884,a, ,31,106.94146832763097,,"['Sea Urchin', 'Small Fish', 'Snail']",6,False,Territorial display against intruder.
31,100,81.49542937382422,20,A. Farensis,,True,3.3536580889044476,a,female,32,125.74031449655521,,"['Sea Anemone', 'Jellyfish', 'Barnacle', 'Algae', 'Small Fish']",10,True,Stillness in cold water.
32,160,115.57573734378316,80,u. olhanen.,,False,1.2060246792769893,p,female,33,115.49649197077791,,"['Polychaete Worm', 'Sea Sponge', 'Sea Star', 'Barnacle']",6,False,Searching for mates at twilight.
33,160,88.34082429144361,30,A. Farensis,,False,16.751904663769253,a,female,34,134.74883607015255,,"['Jellyfish', 'Small Fish', 'Snail']",6,False,Struggling with entangled seaweed.
34,210,90.9392762110815,40,u. olhanen.,,False,1.1660727610220283,s,male,35,165.23908349717732,,"['Sea Urchin', 'Polychaete Worm']",6,False,Crab moving quickly across rocks.
35,180,92.13896072106515,50,U. olhanensis,,True,0.751221255115973,p,male,36,115.68281407880589,,"['Shrimp', 'Hermit Crab', 'Small Fish', 'Snail', 'Coral Fragment']",8,True,Exchanging antenna taps.
36,210,72.02384172242716,40,U. olhanensis,,False,21.132305504893836,s, ,37,127.14920221297746,,"['Algae', 'Hermit Crab', 'Small Fish']",10,False,Claw waving directed at nearby crab.
37,430,88.55894164891212,70,A. Farensis,,False,0.5016335218951657,s, ,38,164.40750964185224,,"['Barnacle', 'Polychaete Worm']",7,False,Social contact with other crabs.
38,390,95.16551067096549,110,A farensis,,False,1.2965571162191145,s,female,39,154.1387803606976,,['Barnacle'],9,False,Climbing submerged rocks.
39,170,106.23819843288717,30,A farensis,,False,3.9828917613602095,p,female,40,101.53994382148994,,['Sea Sponge'],10,False,Claw snapping at diver.
40,90,107.93840383793467,50,A. Farensis,,False,0.5875317506481436,a,male,41,85.8137299621432,,"['Small Fish', 'Shrimp', 'Jellyfish', 'Coral Fragment']",4,False,Claw snapping at diver.
41,220,66.1499928130032,80,A farensis,,False,0.2409093100903365,p,male,42,211.87429762415547,,"['Small Fish', 'Barnacle', 'Algae', 'Hermit Crab', 'Jellyfish']",10,False,Picking detritus from seabed.
42,230,115.42897898182477,20,A farensis,,False,329.27228895646454,s,male,43,172.29359666949918,,"['Sea Sponge', 'Hermit Crab', 'Polychaete Worm']",7,False,Sideways walking along bay edge.
43,190,98.22564744029664,30,A. Farensis,,False,6.488560367835205,a,male,44,101.99083575187134,,"['Barnacle', 'Sea Star', 'Shrimp']",9,False,Territorial display against intruder.
44,250,98.90687293159694,50,A farensis,,False,0.5723737111718005,s,male or female,45,115.24820915042807,,"['Barnacle', 'Hermit Crab']",6,False,Retreating quickly from shadow.
45,240,85.02188136820314,30,A farensis,,False,2.4161397027603955,s,male,46,94.31013595244288,,"['Hermit Crab', 'Snail', 'Small Fish', 'Mussel']",6,False,Picking detritus from seabed.
46,100,157.80551127245727,40,A farensis,,False,5.000442945676604,j,female,47,122.70017544392329,,"['Polychaete Worm', 'Sea Star', 'Coral Fragment']",8,False,Waving claws rhythmically.
47,90,96.17376568611047,40,u. olhanen.,,False,2.9764508702107815,s,male,48,130.57527192519754,,"['Jellyfish', 'Snail']",10,False,Emerging cautiously from hiding.
48,390,107.06844641894989,30,u. olhanen.,,False,16.94377451230919,a,female,49,107.2819104930669,,"['Shrimp', 'Sea Star', 'Sea Urchin', 'Mussel']",9,False,Crab moving quickly across rocks.
49,270,81.15403283406718,50,A farensis,,False,11.626373724736268,p,male,50,117.2942293984826,,"['Shrimp', 'Sea Anemone', 'Sea Urchin']",5,False,Stillness in cold water.
50,290,96.1346052122751,20,u. olhanen.,,True,2.4539755570753856,s,male,51,139.72147985485478,,"['Jellyfish', 'Polychaete Worm', 'Crab (Other Species)']",7,True,Cleaning claws with rubbing motion.
51,140,94.01101611216014,60,A farensis,,False,6.131660878146521,a,?,52,99.65082826713873,,"['Sea Star', 'Small Fish', 'Jellyfish', 'Barnacle']",9,False,Displaying dominance by lifting body.
52,140,109.81223050743716,20,A farensis,,False,0.2374563121090731,s, ,53,159.42926091524623,,"['Hermit Crab', 'Sea Sponge']",7,False,Guarding eggs under abdominal flap.
53,140,76.51935642759403,60,A. Farensis,,False,22.28673852508626,p, ,54,112.74166887120404,,['Barnacle'],9,False,Climbing barnacle-covered surfaces.
54,80,81.04014531911837,40,A farensis,,True,255.8270979116979,s,male,55,125.72297365448904,,"['Mussel', 'Crab (Other Species)', 'Polychaete Worm', 'Hermit Crab']",11,True,Vibrating antennae in water currents.
55,250,73.65770841528078,30,u. olhanen.,,False,10.473184627978556,s,male,56,132.33822427176764,,"['Coral Fragment', 'Sea Sponge']",6,False,Defensive posture when approached.
56,390,78.61472810114185,20,A. Farensis,,False,1.9562575793192185,s,male,57,160.51673592610808,,"['Crab (Other Species)', 'Snail']",9,False,Resting in shaded rock crevice.
57,50,64.58517531752318,20,u. olhanen.,,False,2.232082455866961,s,female,58,122.3109722359483,,"['Polychaete Worm', 'Snail']",8,False,Dragging shell fragment backward.
58,100,76.16755043648224,30,A. Farensis,,False,0.7843465642553227,j, ,59,141.39107816589419,,"['Jellyfish', 'Sea Anemone', 'Sea Sponge', 'Sea Urchin', 'Snail']",12,False,Picking detritus from seabed.
59,420,95.35488393311925,40,A farensis,,True,3.81294145099403,s,male,60,102.49474741178956,,"['Jellyfish', 'Sea Sponge']",4,True,Struggling with entangled seaweed.
60,260,83.45910865817274,40,A farensis,,False,0.5702498043494617,a,-,61,158.17230881560283,,['Shrimp'],11,False,Climbing onto submerged logs.
61,110,111.30595391361864,20,A. Farensis,,False,0.17720164139188,p,male,62,141.06481912836554,,"['Polychaete Worm', 'Shrimp', 'Crab (Other Species)', 'Small Fish']",9,False,Pausing frequently during exploration.
62,70,120.02583063216466,20,A. Farensis,,True,2.115105152876991,s,male,63,157.8544876038032,,"['Sea Sponge', 'Crab (Other Species)', 'Sea Anemone', 'Mussel']",9,True,Claw waving directed at nearby crab.
63,380,83.44406404235417,50,A. Farensis,,False,6.075797047100641,p, ,64,151.85634282398152,,"['Sea Star', 'Algae', 'Hermit Crab', 'Mussel']",8,False,Slow movement near seagrass patches.
64,170,79.29231784372325,50,A. Farensis,,False,0.026627215682914814,a,male or female,65,114.39495890642343,,"['Sea Anemone', 'Sea Urchin', 'Barnacle', 'Polychaete Worm']",8,False,Shaking claws after contact.
65,110,92.77820478744547,20,A farensis,,False,2.4888168283777627,s,male,66,165.62017682924065,,['Crab (Other Species)'],9,False,Moving toward bait.
66,90,85.50658398132018,70,A. Farensis,,False,7.399985463323437,s,male,67,97.14768708066418,,"['Sea Urchin', 'Jellyfish']",8,False,Displaying dominance by lifting body.
67,230,63.52327375372258,40,A. Farensis,,True,29.96111185798761,p, ,68,121.59353110865716,,"['Coral Fragment', 'Crab (Other Species)']",11,True,Rapid crossing of open sand.
68,130,83.54485026094751,70,A farensis,,False,1.8267914679038166,p,female,69,126.07201009381004,,"['Hermit Crab', 'Shrimp', 'Crab (Other Species)', 'Coral Fragment', 'Small Fish']",11,False,Hiding beneath rocks.
69,90,97.4768630981296,60,A. Farensis,,True,2.9242690192997376,j,male,70,116.1594897326262,,"['Shrimp', 'Crab (Other Species)', 'Coral Fragment', 'Algae']",12,True,Moving toward warmer water pockets.
70,160,123.43184487794264,50,A farensis,,False,0.1148520562845322,s,male,71,125.53194447929924,,"['Crab (Other Species)', 'Polychaete Worm']",6,False,Pausing frequently during exploration.
71,480,94.20539769201653,20,A. Farensis,,False,7.129223807784807,p,male,72,127.7836966804977,,"['Polychaete Worm', 'Shrimp', 'Small Fish', 'Jellyfish', 'Coral Fragment']",5,False,Territorial display against intruder.
